project,vendor,slice,metric,n,q25,median,q75,p90,mean,n_units
ActPlane,claude,early,repeat_read_share,45,0.0,0.5,0.75,0.8490372272143774,0.4415407487035272,45
ActPlane,claude,early,reread_call_share,45,0.0,0.5,0.75,0.8490372272143774,0.4435786586022181,45
ActPlane,claude,early,failure_share,59,0.0,0.0,0.04040816326530612,0.08614146060954579,0.037560025250277664,59
ActPlane,claude,early,resolved_failure_share,59,0.0,0.0,0.04040816326530612,0.08614146060954579,0.03757178480052607,59
ActPlane,claude,early,observed_share,59,0.0,0.0,0.0,0.0,0.0002730068852755097,59
ActPlane,claude,early,recent_reedit_share,31,0.5492307692307692,0.75,0.8500000000000001,0.9230769230769231,0.6296069003681588,31
ActPlane,claude,early,edit_calls_per_path,30,4.083333333333333,5.333333333333334,10.532894736842106,14.900000000000002,7.8309935787180365,30
ActPlane,claude,early,paths_per_edit_call,31,1.0,1.0,1.0,1.0,0.9259586998296674,31
ActPlane,claude,early,patch_lines_median,0,,,,,,0
ActPlane,claude,early,edit_share,59,0.0,0.015873015873015872,0.3044391909640136,0.4784313725490197,0.15340683526016954,59
ActPlane,claude,early,tool_read_share,59,0.00963855421686747,0.24,0.36397058823529416,0.5,0.23691025935915336,59
ActPlane,claude,early,tool_edit_share,59,0.0,0.0380952380952381,0.3193695313436414,0.4784313725490197,0.16366442477807447,59
ActPlane,claude,early,tool_shell_share,59,0.20493827160493827,0.42718446601941745,0.8574561403508771,1.0,0.5150666389531566,59
ActPlane,claude,early,tool_network_share,59,0.0,0.0,0.0,0.1962168176760453,0.06046511070830221,59
ActPlane,claude,early,tool_plan_share,59,0.0,0.0,0.0,0.0,0.0,59
ActPlane,claude,early,tool_subagent_share,59,0.0,0.0,0.010159852607589006,0.027266650362761883,0.011145364312666956,59
ActPlane,claude,early,tool_tool_share,59,0.0,0.0,0.0036415314545218767,0.024837832182464954,0.01274820188864642,59
ActPlane,claude,late,repeat_read_share,46,0.7020833333333333,0.8572463768115942,1.0,1.0,0.7951994087306496,46
ActPlane,claude,late,reread_call_share,46,0.7020833333333333,0.8608294930875575,1.0,1.0,0.7982076687359456,46
ActPlane,claude,late,failure_share,59,0.0,0.02208835341365462,0.04682362492388878,0.08218181818181822,0.054005018599498626,59
ActPlane,claude,late,resolved_failure_share,59,0.0,0.02208835341365462,0.046886446886446886,0.08218181818181822,0.05402391096601393,59
ActPlane,claude,late,observed_share,59,0.0,0.0,0.0,0.0,0.0008689206869371532,59
ActPlane,claude,late,recent_reedit_share,37,0.42955326460481097,0.6842105263157895,0.8571428571428571,1.0,0.6292670137812633,37
ActPlane,claude,late,edit_calls_per_path,35,3.3315217391304346,5.2,8.9,13.0,6.454439186302539,35
ActPlane,claude,late,paths_per_edit_call,37,1.0,1.0,1.0,1.0,0.9028561528561528,37
ActPlane,claude,late,patch_lines_median,0,,,,,,0
ActPlane,claude,late,edit_share,59,0.0,0.11428571428571428,0.3333333333333333,0.48434484905073144,0.183270720406945,59
