project,vendor,calls,nonfailed_resolved_read_actions,all_resolved_read_actions,source_read_paths
ActPlane,claude,17994,4223,4244,4630
ActPlane,codex,48244,10529,10562,11846
academic-writing-skills,claude,948,208,212,262
agentsight,claude,12525,3386,3432,3838
agentsight,codex,85034,22408,22467,28681
agentsight,gemini,27,10,10,10
agentskill-observability-paper,claude,991,242,242,367
bpf-developer-tutorial,claude,1052,359,380,417
bpf-developer-tutorial,codex,595,126,129,163
bpf-developer-tutorial,gemini,17,11,11,11
eunomia-dev,claude,3316,458,462,670
eunomia-dev,codex,10560,1702,1727,2111
