project,vendor,sessions,min,q25,median,q75,p90,p95,p99,max,sessions_ge_9,sessions_ge_30
ActPlane,claude,62,1,20.0,91.5,342.5,562.4,1205.3999999999996,2713.28,2989,57,40
ActPlane,codex,77,1,20.0,48.0,205.0,1197.6000000000015,2890.800000000003,9964.719999999976,13520,66,51
academic-writing-skills,claude,17,2,7.0,21.0,65.0,160.80000000000007,252.39999999999998,263.28,266,12,7
agentsight,claude,123,1,9.0,18.0,35.5,243.79999999999995,625.5999999999995,1324.5800000000002,1710,95,35
agentsight,codex,176,1,1.0,1.0,63.25,427.0,1055.0,10807.25,36147,58,52
agentsight,gemini,2,13,13.25,13.5,13.75,13.9,13.95,13.99,14,2,0
agentskill-observability-paper,claude,8,8,14.0,24.5,159.25,390.7,421.84999999999997,446.77,453,7,4
bpf-developer-tutorial,claude,31,2,8.0,18.0,35.0,94.0,117.0,142.49999999999997,153,22,10
bpf-developer-tutorial,codex,3,39,124.5,210.0,278.0,318.8,332.4,343.28,346,3,3
bpf-developer-tutorial,gemini,1,17,17.0,17.0,17.0,17.0,17.0,17.0,17,1,0
eunomia-dev,claude,24,4,12.75,21.5,96.25,356.59999999999997,705.8499999999991,931.55,981,20,10
eunomia-dev,codex,27,6,34.5,74.0,388.5,1187.8000000000004,1635.9999999999998,2325.9999999999986,2521,25,21
