project,vendor,gap_bin,n,q25,median,q75,p90
ActPlane,claude,<1h,34,0.0,0.1,0.4,0.6
ActPlane,claude,1–6h,7,0.1,0.2,0.2,0.24000000000000005
ActPlane,claude,6–24h,11,0.1,0.2,0.3,0.6
ActPlane,claude,1–3d,2,0.2,0.3,0.4,0.46
ActPlane,claude,3–7d,1,0.1,0.1,0.1,0.1
ActPlane,claude,≥7d,1,0.3,0.3,0.3,0.3
ActPlane,codex,<1h,28,0.0,0.1,0.4,0.6
ActPlane,codex,1–6h,14,0.025,0.15000000000000002,0.275,0.4700000000000001
ActPlane,codex,6–24h,10,0.1,0.1,0.275,0.5199999999999999
ActPlane,codex,1–3d,10,0.0,0.1,0.1,0.13999999999999987
ActPlane,codex,3–7d,2,0.2,0.2,0.2,0.2
ActPlane,codex,≥7d,1,0.6,0.6,0.6,0.6
academic-writing-skills,claude,<1h,2,0.25,0.39999999999999997,0.5499999999999999,0.64
academic-writing-skills,claude,6–24h,3,0.1,0.2,0.30000000000000004,0.36000000000000004
academic-writing-skills,claude,1–3d,3,0.15000000000000002,0.2,0.25,0.28
academic-writing-skills,claude,3–7d,1,0.0,0.0,0.0,0.0
academic-writing-skills,claude,≥7d,1,0.0,0.0,0.0,0.0
agentsight,claude,<1h,62,0.1,0.2,0.4,0.5
agentsight,claude,1–6h,8,0.1,0.15000000000000002,0.525,0.6
agentsight,claude,6–24h,12,0.0,0.1,0.125,0.29000000000000004
agentsight,claude,1–3d,6,0.025,0.15000000000000002,0.35000000000000003,0.4
agentsight,claude,3–7d,3,0.1,0.1,0.15000000000000002,0.18000000000000002
agentsight,codex,<1h,22,0.1,0.25,0.4,0.6800000000000004
agentsight,codex,1–6h,14,0.125,0.2,0.3,0.3700000000000001
agentsight,codex,6–24h,4,0.17500000000000002,0.35,0.525,0.57
agentsight,codex,1–3d,7,0.05,0.2,0.4,0.4800000000000001
agentsight,codex,3–7d,3,0.0,0.0,0.05,0.08000000000000002
agentsight,codex,≥7d,1,0.7,0.7,0.7,0.7
agentsight,gemini,<1h,1,0.1,0.1,0.1,0.1
agentsight,gemini,6–24h,1,0.2,0.2,0.2,0.2
agentskill-observability-paper,claude,<1h,5,0.1,0.4,0.5,0.56
bpf-developer-tutorial,claude,<1h,14,0.025,0.15000000000000002,0.275,0.5400000000000003
bpf-developer-tutorial,claude,1–6h,3,0.30000000000000004,0.4,0.55,0.64
bpf-developer-tutorial,claude,6–24h,3,0.0,0.0,0.1,0.16000000000000003
bpf-developer-tutorial,claude,1–3d,1,0.4,0.4,0.4,0.4
bpf-developer-tutorial,claude,≥7d,1,0.1,0.1,0.1,0.1
bpf-developer-tutorial,codex,<1h,1,0.3,0.3,0.3,0.3
bpf-developer-tutorial,codex,≥7d,2,0.17500000000000002,0.25,0.325,0.37
eunomia-dev,claude,<1h,7,0.1,0.1,0.35,0.44000000000000006
eunomia-dev,claude,1–6h,2,0.1,0.1,0.1,0.1
eunomia-dev,claude,6–24h,1,0.0,0.0,0.0,0.0
eunomia-dev,claude,1–3d,3,0.0,0.0,0.05,0.08000000000000002
eunomia-dev,claude,3–7d,5,0.0,0.0,0.0,0.0
eunomia-dev,claude,≥7d,1,0.1,0.1,0.1,0.1
eunomia-dev,codex,<1h,5,0.4,0.6,0.6,0.6599999999999999
eunomia-dev,codex,6–24h,6,0.025,0.1,0.325,0.5
eunomia-dev,codex,1–3d,8,0.1,0.2,0.3,0.3899999999999999
eunomia-dev,codex,3–7d,2,0.125,0.15000000000000002,0.17500000000000002,0.19
eunomia-dev,codex,≥7d,3,0.15000000000000002,0.2,0.44999999999999996,0.6
