project,vendor,metric,n,positive_share,negative_share,zero_share
ActPlane,claude,repeat_read_share_late_minus_early,33,0.9090909090909091,0.09090909090909091,0.0
ActPlane,claude,reread_call_share_late_minus_early,33,0.9090909090909091,0.09090909090909091,0.0
ActPlane,claude,failure_share_late_minus_early,40,0.55,0.3,0.15
ActPlane,claude,resolved_failure_share_late_minus_early,40,0.55,0.3,0.15
ActPlane,claude,observed_share_late_minus_early,40,0.125,0.025,0.85
ActPlane,claude,recent_reedit_share_late_minus_early,31,0.45161290322580644,0.4838709677419355,0.06451612903225806
ActPlane,claude,edit_calls_per_path_late_minus_early,29,0.5172413793103449,0.41379310344827586,0.06896551724137931
ActPlane,claude,paths_per_edit_call_late_minus_early,31,0.16129032258064516,0.12903225806451613,0.7096774193548387
ActPlane,claude,patch_lines_median_late_minus_early,0,,,
ActPlane,claude,edit_share_late_minus_early,40,0.55,0.325,0.125
ActPlane,claude,tool_read_share_late_minus_early,40,0.55,0.4,0.05
ActPlane,claude,tool_edit_share_late_minus_early,40,0.55,0.325,0.125
ActPlane,claude,tool_shell_share_late_minus_early,40,0.4,0.55,0.05
ActPlane,claude,tool_network_share_late_minus_early,40,0.175,0.225,0.6
ActPlane,claude,tool_plan_share_late_minus_early,40,0.05,0.0,0.95
ActPlane,claude,tool_subagent_share_late_minus_early,40,0.275,0.225,0.5
ActPlane,claude,tool_tool_share_late_minus_early,40,0.075,0.3,0.625
ActPlane,codex,repeat_read_share_late_minus_early,42,0.8333333333333334,0.16666666666666666,0.0
ActPlane,codex,reread_call_share_late_minus_early,42,0.8333333333333334,0.16666666666666666,0.0
ActPlane,codex,failure_share_late_minus_early,51,0.4117647058823529,0.3137254901960784,0.27450980392156865
ActPlane,codex,resolved_failure_share_late_minus_early,51,0.39215686274509803,0.3333333333333333,0.27450980392156865
ActPlane,codex,observed_share_late_minus_early,51,0.45098039215686275,0.21568627450980393,0.3333333333333333
ActPlane,codex,recent_reedit_share_late_minus_early,22,0.5454545454545454,0.45454545454545453,0.0
ActPlane,codex,edit_calls_per_path_late_minus_early,21,0.5238095238095238,0.47619047619047616,0.0
ActPlane,codex,paths_per_edit_call_late_minus_early,22,0.3181818181818182,0.45454545454545453,0.22727272727272727
ActPlane,codex,patch_lines_median_late_minus_early,22,0.2727272727272727,0.7272727272727273,0.0
ActPlane,codex,edit_share_late_minus_early,51,0.3137254901960784,0.2549019607843137,0.43137254901960786
ActPlane,codex,tool_read_share_late_minus_early,51,0.0,0.0,1.0
ActPlane,codex,tool_edit_share_late_minus_early,51,0.3137254901960784,0.2549019607843137,0.43137254901960786
