project,vendor,display_kind,accesses,reads,writes,unique_paths
ActPlane,claude,instruction,260,238,22,69
ActPlane,claude,memory,16,7,9,6
ActPlane,claude,ordinary,9062,4001,5061,455
ActPlane,claude,skill,132,55,77,24
ActPlane,claude,task_plan_status,15,6,9,5
ActPlane,codex,experiment_status,54,30,24,2
ActPlane,codex,instruction,134,117,17,60
ActPlane,codex,ordinary,15898,10542,5356,1776
ActPlane,codex,skill,111,111,0,24
ActPlane,codex,task_plan_status,212,72,140,17
academic-writing-skills,claude,instruction,2,2,0,2
academic-writing-skills,claude,memory,3,0,3,3
academic-writing-skills,claude,ordinary,73,66,7,56
academic-writing-skills,claude,skill,571,182,389,102
academic-writing-skills,claude,task_plan_status,1,1,0,1
agentsight,claude,experiment_status,12,12,0,4
agentsight,claude,instruction,23,13,10,2
agentsight,claude,memory,10,3,7,5
agentsight,claude,ordinary,5045,3207,1838,396
agentsight,claude,skill,413,292,121,89
agentsight,claude,task_plan_status,13,4,9,5
agentsight,codex,experiment_status,3130,2310,820,104
agentsight,codex,instruction,164,139,25,15
agentsight,codex,ordinary,29418,19987,9431,3178
agentsight,codex,skill,4637,3922,715,269
agentsight,codex,task_plan_status,1709,1013,696,154
agentsight,gemini,ordinary,10,10,0,10
agentskill-observability-paper,claude,experiment_status,21,12,9,2
agentskill-observability-paper,claude,ordinary,417,230,187,22
agentskill-observability-paper,claude,skill,180,121,59,16
bpf-developer-tutorial,claude,ordinary,611,351,260,88
bpf-developer-tutorial,claude,skill,42,38,4,10
bpf-developer-tutorial,codex,ordinary,204,127,77,81
bpf-developer-tutorial,codex,skill,3,3,0,2
bpf-developer-tutorial,gemini,ordinary,15,11,4,11
eunomia-dev,claude,instruction,16,9,7,9
eunomia-dev,claude,memory,9,2,7,4
eunomia-dev,claude,ordinary,970,446,524,188
eunomia-dev,claude,skill,105,57,48,18
eunomia-dev,claude,task_plan_status,53,6,47,3
eunomia-dev,codex,instruction,63,37,26,17
eunomia-dev,codex,memory,15,1,14,1
eunomia-dev,codex,ordinary,2291,1635,656,298
eunomia-dev,codex,skill,414,261,153,76
eunomia-dev,codex,task_plan_status,3,3,0,2
