project,vendor,slice,metric,n,q25,median,q75,p90,mean,n_units
ActPlane,claude,1,repeat_read_share,33,0.0,0.3333333333333333,0.6153846153846154,0.8115555555555556,0.34634697522527436,33
ActPlane,claude,1,reread_call_share,33,0.0,0.3333333333333333,0.6153846153846154,0.8115555555555556,0.3462159312653384,33
ActPlane,claude,1,failure_share,40,0.0,0.0,0.04080188679245283,0.18363636363636368,0.06346674495934987,40
ActPlane,claude,1,resolved_failure_share,40,0.0,0.0,0.04080188679245283,0.18363636363636368,0.06346674495934987,40
ActPlane,claude,1,observed_share,40,0.0,0.0,0.0,0.0,0.0,40
ActPlane,claude,1,recent_reedit_share,22,0.551948051948052,0.6666666666666666,0.75,0.8675000000000002,0.5631281847859387,22
ActPlane,claude,1,edit_calls_per_path,22,2.8125,3.75,5.173076923076923,8.850000000000003,4.337509712509712,22
ActPlane,claude,1,paths_per_edit_call,22,1.0,1.0,1.0,1.0,0.96996021996022,22
ActPlane,claude,1,patch_lines_median,0,,,,,,0
ActPlane,claude,1,edit_share,40,0.0,0.07173174872665534,0.2722159730033746,0.4319952774498229,0.15781345563737229,40
ActPlane,claude,1,tool_read_share,40,0.1468253968253968,0.2638888888888889,0.41134149940968123,0.5041666666666668,0.2714740033148996,40
ActPlane,claude,1,tool_edit_share,40,0.0,0.07173174872665534,0.2857142857142857,0.4638973466724663,0.165932673129457,40
ActPlane,claude,1,tool_shell_share,40,0.20625000000000002,0.4365079365079365,0.6844541910331384,0.9608695652173914,0.465307023242706,40
ActPlane,claude,1,tool_network_share,40,0.0,0.0,0.0,0.13031496062992154,0.068405004678835,40
ActPlane,claude,1,tool_plan_share,40,0.0,0.0,0.0,0.0,0.0,40
ActPlane,claude,1,tool_subagent_share,40,0.0,0.0,0.002066115702479339,0.05055555555555557,0.016624164802356695,40
ActPlane,claude,1,tool_tool_share,40,0.0,0.0,0.0,0.0481203007518797,0.012257130831745625,40
ActPlane,claude,2,repeat_read_share,31,0.375,0.75,0.9615384615384616,1.0,0.6367007427815733,31
ActPlane,claude,2,reread_call_share,31,0.375,0.75,0.9615384615384616,1.0,0.6367007427815733,31
ActPlane,claude,2,failure_share,40,0.0,0.0,0.029551630434782608,0.0711598746081505,0.03896698674659911,40
ActPlane,claude,2,resolved_failure_share,40,0.0,0.0,0.029551630434782608,0.0711598746081505,0.03896698674659911,40
