project,vendor,session_id,repeat_read_share_late_minus_early,reread_call_share_late_minus_early,failure_share_late_minus_early,resolved_failure_share_late_minus_early,observed_share_late_minus_early,recent_reedit_share_late_minus_early,edit_calls_per_path_late_minus_early,paths_per_edit_call_late_minus_early,patch_lines_median_late_minus_early,edit_share_late_minus_early,tool_read_share_late_minus_early,tool_edit_share_late_minus_early,tool_shell_share_late_minus_early,tool_network_share_late_minus_early,tool_plan_share_late_minus_early,tool_subagent_share_late_minus_early,tool_tool_share_late_minus_early
ActPlane,claude,claude:029626e5-7e67-4ba3-a1a0-7255de9d6169,0.005720823798627039,0.005720823798627039,-0.009888491479065849,-0.009888491479065849,0.0,0.40222222222222226,2.65,0.0,,0.07405848937513146,0.07626762045024194,0.0947822427940248,-0.1916684199452977,0.0,0.0,0.020618556701030927,0.0
ActPlane,claude,claude:04ca59d2-9389-4832-9d65-692027b16da3,0.0445079624336463,0.042653780854120416,0.006040208980354719,0.006040208980354719,0.0,-0.37142953637799,-7.547482837528605,0.004914004914004955,,-0.11605599932327099,0.049453581628419396,-0.12106600927279831,0.11974276242381765,-0.03008523562655839,0.0,-0.016039081098717843,-0.0020060180541624875
ActPlane,claude,claude:0ccecb8d-f285-4ec8-9322-f80a3ca25226,0.5,0.5,0.0,0.0,0.0,0.25,0.0,0.0,,0.0,-0.08333333333333334,0.0,0.08333333333333331,0.0,0.0,0.0,0.0
ActPlane,claude,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,,,-0.022098075729360647,-0.022098075729360647,0.0,0.0,,0.0,,0.08429546865301056,-0.015766604593420247,0.09546865301055245,-0.14702048417132219,-0.02216014897579143,0.0,0.08947858472998138,0.0
ActPlane,claude,claude:1206cca6-d292-4d81-b609-57ee8382c2c0,0.1731974921630094,0.1731974921630094,0.01083530338849488,0.01083530338849488,0.0,-0.014285714285714346,0.0,0.0,,0.11209613869188337,0.07027468197680964,0.11209613869188337,-0.22500844309354945,0.010638297872340425,0.0425531914893617,-0.010553866936845659,0.0
ActPlane,claude,claude:18531398-00eb-4bb8-816f-6995a2fc07ed,0.2857142857142857,0.2857142857142857,0.030303030303030304,0.030303030303030304,0.0,,,,,0.09090909090909091,-0.025846702317290554,0.09090909090909091,0.46434937611408195,-0.5,0.0,-0.029411764705882353,0.0
ActPlane,claude,claude:22ffeddd-8777-4e05-af12-df96fd639138,0.5882352941176471,0.5882352941176471,0.025858322468491957,0.025858322468491957,0.0,-0.028787878787878696,3.8000000000000007,0.0,,0.24894973200057946,0.197522816166884,0.3002317832826307,-0.15029697233087064,-0.288135593220339,0.0,-0.03389830508474576,-0.025423728813559324
ActPlane,claude,claude:246029ca-1cda-47a4-9a34-973c3c704c24,0.5629629629629629,0.5629629629629629,0.046153846153846156,0.046153846153846156,0.0,0.03809523809523807,0.5,0.0,,-0.13846153846153847,0.24615384615384617,-0.1076923076923077,-0.13846153846153847,0.0,0.0,0.015384615384615385,-0.015384615384615385
ActPlane,claude,claude:2a49a297-1f98-4407-848c-47ac6e223cc6,0.11344537815126055,0.11344537815126055,0.008333333333333331,0.008333333333333331,0.0,0.02056277056277056,6.333333333333334,0.0,,0.15833333333333338,0.04999999999999999,0.175,-0.21666666666666667,0.0,0.0,0.0,-0.008333333333333333
ActPlane,claude,claude:3bfa6632-02db-43d0-af47-9c23f6508142,,,-0.10638297872340426,-0.10638297872340426,0.0,-0.6349206349206349,1.0999999999999996,-0.6071428571428572,,0.03422756706753005,0.025901942645698423,-0.07215541165587414,0.04625346901017577,0.0,0.0,0.0,0.0
ActPlane,claude,claude:3d4a3d7b-1732-4142-83b6-8da1a8dfbd5c,0.17460317460317454,0.17460317460317454,-0.0625,-0.0625,0.0,,,,,0.0,0.16249999999999998,0.0,-0.16249999999999998,0.0,0.0,0.0,0.0
ActPlane,claude,claude:565172de-c87a-47fb-95e4-6f2b994e2ee3,0.06758290253435884,0.07920286152273892,0.019851116625310174,0.020149629657269724,0.009925558312655087,-0.3671084388364314,-13.231481481481483,0.0,,-0.2382133995037221,-0.0694789081885856,-0.24069478908188585,0.29032258064516125,0.014888337468982632,0.0,0.004962779156327544,0.0
ActPlane,claude,claude:575be6e0-adf8-4334-8b69-647cb12f3506,0.0625,0.0625,0.02,0.02,0.0,-0.06593406593406603,-16.666666666666664,0.038461538461538436,,0.05019607843137264,-0.03294117647058825,0.07019607843137254,-0.03725490196078432,0.0,0.0,0.0,0.0
ActPlane,claude,claude:5820ca50-54ca-47f4-b7bc-17a949f0a5c8,0.47058823529411764,0.47058823529411764,0.03003003003003002,0.03003003003003002,0.0,0.0641025641025641,1.666666666666667,0.0,,-0.018018018018018056,0.0683183183183183,0.06606606606606602,-0.13438438438438438,0.0,0.0,0.0,0.0
ActPlane,claude,claude:5e275eed-7938-4534-ad1a-bd4539296ff4,0.15555555555555556,0.15555555555555556,-0.047619047619047616,-0.047619047619047616,0.0,0.16666666666666666,0.5,0.0,,0.07936507936507936,-0.25396825396825395,0.07936507936507936,0.15873015873015872,0.015873015873015872,0.015873015873015872,0.0,-0.015873015873015872
