project,vendor,calls,file_bookkeeping_calls_strict,file_bookkeeping_share_strict,control_plane_calls_strict,control_plane_share_strict,control_plane_calls_broad,control_plane_share_broad,exclusive_bookkeeping_calls_strict,exclusive_bookkeeping_share_strict,mixed_bookkeeping_ordinary_calls,adjusted_control_plane_share_strict,plan_tool_calls,skill_invocations,skill_attributed_calls,bookkeeping_reads,bookkeeping_writes,bookkeeping_write_read_ratio,bookkeeping_written_revisit_share,bookkeeping_h50_eligible_writes,bookkeeping_unique_paths,ordinary_reads,ordinary_writes,ordinary_write_read_ratio,ordinary_written_revisit_share,ordinary_h50_eligible_writes,ordinary_unique_paths
ActPlane,claude,17994,423,0.023507835945315105,455,0.025286206513282204,456,0.025341780593531177,454,0.025230632433033234,1,0.025286206513282204,9,23,157,306,117,0.38235294117647056,0.36936936936936937,111,104,4001,5061,1.2649337665583604,0.598364008179959,4890,455
ActPlane,codex,48244,506,0.010488350883011359,1242,0.025744133985573337,1261,0.02613796534284056,1200,0.02487355940635105,42,0.025744133985573337,736,0,0,330,181,0.5484848484848485,0.37222222222222223,180,103,10542,5356,0.5080629861506355,0.4359508041627247,5285,1776
academic-writing-skills,claude,948,583,0.6149789029535865,584,0.6160337552742616,584,0.6160337552742616,584,0.6160337552742616,0,0.20042194092827004,0,1,60,185,392,2.118918918918919,0.2976190476190476,252,108,66,7,0.10606060606060606,0.3333333333333333,3,56
agentsight,claude,12525,483,0.03856287425149701,520,0.04151696606786427,521,0.04159680638722555,515,0.04111776447105788,5,0.04151696606786427,6,31,900,324,147,0.4537037037037037,0.2641509433962264,106,105,3207,1838,0.5731212971624571,0.7675489067894131,1738,396
agentsight,codex,85034,7529,0.08854105416656867,8266,0.09720817555330809,9243,0.10869769739163158,7320,0.08608321377331421,946,0.09720817555330809,737,0,0,7384,2256,0.3055254604550379,0.5955816050495942,2218,542,19987,9431,0.47185670685945863,0.4808104631217839,9328,3178
agentsight,gemini,27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,,,0,0,10,0,0.0,,0,10
agentskill-observability-paper,claude,991,204,0.2058526740665994,217,0.218970736629667,217,0.218970736629667,217,0.218970736629667,0,0.218970736629667,0,13,596,133,68,0.5112781954887218,0.4576271186440678,59,18,230,187,0.8130434782608695,0.9050279329608939,179,22
bpf-developer-tutorial,claude,1052,53,0.05038022813688213,56,0.053231939163498096,56,0.053231939163498096,56,0.053231939163498096,0,0.053231939163498096,0,3,22,38,4,0.10526315789473684,0.25,4,10,351,260,0.7407407407407407,0.9940119760479041,167,88
bpf-developer-tutorial,codex,595,3,0.005042016806722689,7,0.011764705882352941,7,0.011764705882352941,7,0.011764705882352941,0,0.011764705882352941,4,0,0,3,0,0.0,,0,2,127,77,0.6062992125984252,0.6056338028169014,71,81
bpf-developer-tutorial,gemini,17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,,,0,0,11,4,0.36363636363636365,,0,11
eunomia-dev,claude,3316,120,0.03618817852834741,125,0.03769601930036188,129,0.03890229191797346,124,0.03739445114595899,1,0.03769601930036188,0,5,80,74,109,1.472972972972973,0.16,100,34,446,524,1.1748878923766817,0.5810526315789474,475,188
eunomia-dev,codex,10560,243,0.023011363636363635,271,0.025662878787878787,282,0.026704545454545453,256,0.024242424242424242,15,0.025662878787878787,28,0,0,302,193,0.6390728476821192,0.2670157068062827,191,96,1635,656,0.40122324159021405,0.3328149300155521,643,298
