project,vendor,n_prefix,metric,n,q25,median,q75,p90,mean,n_units
ActPlane,claude,5,narrow_share,62,0.0,0.0,0.2,0.2,0.0774193548387097,62
ActPlane,claude,5,extended_share,62,0.0,0.2,0.4,0.5799999999999997,0.232258064516129,62
ActPlane,claude,5,broad_share,62,0.4,0.6,0.8,1.0,0.5645161290322581,62
ActPlane,claude,5,instruction_share,62,0.0,0.0,0.0,0.0,0.0,62
ActPlane,claude,5,root_readme_share,62,0.0,0.0,0.0,0.0,0.0032258064516129032,62
ActPlane,claude,5,git_strict_share,62,0.0,0.0,0.2,0.2,0.0774193548387097,62
ActPlane,claude,5,prior_reread_share,62,0.0,0.0,0.2,0.4,0.15161290322580642,62
ActPlane,claude,5,prior_mutation_reread_share,62,0.0,0.0,0.0,0.4,0.09032258064516129,62
ActPlane,claude,5,orientation_share,62,0.0,0.1,0.4,0.5799999999999997,0.19677419354838713,62
ActPlane,claude,10,narrow_share,62,0.0,0.0,0.1,0.18999999999999986,0.05000000000000001,62
ActPlane,claude,10,extended_share,62,0.0,0.1,0.3,0.6,0.21827956989247305,62
ActPlane,claude,10,broad_share,62,0.2,0.5,0.7,0.8,0.46182795698924733,62
ActPlane,claude,10,instruction_share,62,0.0,0.0,0.0,0.0,0.0016129032258064516,62
ActPlane,claude,10,root_readme_share,62,0.0,0.0,0.0,0.0,0.0032258064516129032,62
ActPlane,claude,10,git_strict_share,62,0.0,0.0,0.1,0.1,0.048387096774193554,62
ActPlane,claude,10,prior_reread_share,62,0.0,0.0,0.2,0.4899999999999999,0.1650537634408602,62
ActPlane,claude,10,prior_mutation_reread_share,62,0.0,0.0,0.1,0.28999999999999987,0.0967741935483871,62
ActPlane,claude,10,orientation_share,62,0.0,0.1,0.2,0.3899999999999999,0.12903225806451613,62
ActPlane,claude,20,narrow_share,62,0.0,0.0,0.0625,0.13333333333333333,0.04359212893368491,62
ActPlane,claude,20,extended_share,62,0.05,0.14166666666666666,0.3458333333333333,0.5399999999999999,0.20954537960679978,62
ActPlane,claude,20,broad_share,62,0.16842105263157894,0.35,0.5541666666666667,0.7,0.38187576208648816,62
ActPlane,claude,20,instruction_share,62,0.0,0.0,0.0,0.0,0.0008064516129032258,62
ActPlane,claude,20,root_readme_share,62,0.0,0.0,0.0,0.0,0.004838709677419355,62
ActPlane,claude,20,git_strict_share,62,0.0,0.0,0.05,0.13333333333333333,0.04278567732078168,62
ActPlane,claude,20,prior_reread_share,62,0.0,0.05,0.29318181818181815,0.4599999999999999,0.1611145409956955,62
ActPlane,claude,20,prior_mutation_reread_share,62,0.0,0.0,0.1,0.3449999999999999,0.10278592375366567,62
ActPlane,claude,20,orientation_share,62,0.0,0.05,0.1375,0.25,0.08439402514105401,62
ActPlane,codex,5,narrow_share,77,0.0,0.2,0.2,0.2,0.12467532467532468,77
ActPlane,codex,5,extended_share,77,0.0,0.2,0.2,0.4,0.17662337662337663,77
ActPlane,codex,5,broad_share,77,0.2,0.5,0.8,0.8800000000000012,0.4805194805194804,77
ActPlane,codex,5,instruction_share,77,0.0,0.0,0.0,0.0,0.0025974025974025974,77
ActPlane,codex,5,root_readme_share,77,0.0,0.0,0.0,0.0,0.015584415584415584,77
ActPlane,codex,5,git_strict_share,77,0.0,0.0,0.2,0.2,0.12207792207792208,77
ActPlane,codex,5,prior_reread_share,77,0.0,0.0,0.0,0.2,0.044155844155844164,77
ActPlane,codex,5,prior_mutation_reread_share,77,0.0,0.0,0.0,0.0,0.02077922077922078,77
ActPlane,codex,5,orientation_share,77,0.0,0.2,0.4,0.5,0.19740259740259744,77
ActPlane,codex,10,narrow_share,77,0.0,0.1,0.1,0.2,0.07467532467532467,77
ActPlane,codex,10,extended_share,77,0.0,0.1,0.2,0.5,0.17467532467532468,77
ActPlane,codex,10,broad_share,77,0.125,0.375,0.6,0.8400000000000006,0.38961038961038963,77
ActPlane,codex,10,instruction_share,77,0.0,0.0,0.0,0.0,0.0016233766233766235,77
ActPlane,codex,10,root_readme_share,77,0.0,0.0,0.0,0.04000000000000057,0.014285714285714287,77
ActPlane,codex,10,git_strict_share,77,0.0,0.1,0.1,0.2,0.07305194805194805,77
ActPlane,codex,10,prior_reread_share,77,0.0,0.0,0.1,0.4,0.09350649350649351,77
ActPlane,codex,10,prior_mutation_reread_share,77,0.0,0.0,0.0,0.0,0.029870129870129866,77
ActPlane,codex,10,orientation_share,77,0.0,0.1,0.2,0.3400000000000006,0.13831168831168833,77
ActPlane,codex,20,narrow_share,77,0.0,0.05,0.05,0.13214285714285723,0.048254343059537866,77
ActPlane,codex,20,extended_share,77,0.0,0.05,0.3,0.55,0.17289593523359756,77
ActPlane,codex,20,broad_share,77,0.1,0.3,0.5,0.75,0.33202094669968896,77
ActPlane,codex,20,instruction_share,77,0.0,0.0,0.0,0.0,0.0016233766233766235,77
ActPlane,codex,20,root_readme_share,77,0.0,0.0,0.0,0.05,0.011595547309833023,77
ActPlane,codex,20,git_strict_share,77,0.0,0.05,0.05,0.13214285714285723,0.04663096643616124,77
ActPlane,codex,20,prior_reread_share,77,0.0,0.0,0.25,0.5,0.11747343565525382,77
ActPlane,codex,20,prior_mutation_reread_share,77,0.0,0.0,0.0,0.05,0.03181818181818182,77
ActPlane,codex,20,orientation_share,77,0.0,0.05,0.15,0.3200000000000003,0.11144412092805804,77
academic-writing-skills,claude,5,narrow_share,17,0.0,0.0,0.0,0.2,0.03823529411764706,17
academic-writing-skills,claude,5,extended_share,17,0.0,0.2,0.4,0.8800000000000001,0.3147058823529412,17
academic-writing-skills,claude,5,broad_share,17,0.4,0.6,0.8,1.0,0.5529411764705883,17
academic-writing-skills,claude,5,instruction_share,17,0.0,0.0,0.0,0.0,0.0,17
academic-writing-skills,claude,5,root_readme_share,17,0.0,0.0,0.2,0.3500000000000001,0.10882352941176471,17
academic-writing-skills,claude,5,git_strict_share,17,0.0,0.0,0.0,0.2,0.03823529411764706,17
academic-writing-skills,claude,5,prior_reread_share,17,0.0,0.0,0.4,0.8800000000000001,0.2529411764705882,17
academic-writing-skills,claude,5,prior_mutation_reread_share,17,0.0,0.0,0.0,0.2800000000000001,0.09411764705882353,17
academic-writing-skills,claude,5,orientation_share,17,0.0,0.0,0.2,0.4,0.15294117647058825,17
academic-writing-skills,claude,10,narrow_share,17,0.0,0.0,0.1,0.1,0.03823529411764706,17
academic-writing-skills,claude,10,extended_share,17,0.0,0.1111111111111111,0.4,0.8500000000000001,0.2918300653594771,17
academic-writing-skills,claude,10,broad_share,17,0.3,0.5,0.8,1.0,0.5206349206349206,17
academic-writing-skills,claude,10,instruction_share,17,0.0,0.0,0.0,0.0,0.0,17
academic-writing-skills,claude,10,root_readme_share,17,0.0,0.0,0.1,0.3500000000000001,0.09183006535947713,17
academic-writing-skills,claude,10,git_strict_share,17,0.0,0.0,0.1,0.1,0.03823529411764706,17
academic-writing-skills,claude,10,prior_reread_share,17,0.0,0.1,0.4,0.8200000000000001,0.2418300653594771,17
academic-writing-skills,claude,10,prior_mutation_reread_share,17,0.0,0.0,0.0,0.2800000000000001,0.09999999999999999,17
academic-writing-skills,claude,10,orientation_share,17,0.0,0.0,0.2,0.38000000000000006,0.14098972922502334,17
academic-writing-skills,claude,20,narrow_share,17,0.0,0.0,0.05,0.1,0.03897058823529412,17
academic-writing-skills,claude,20,extended_share,17,0.05,0.15,0.4,0.8500000000000001,0.28521241830065364,17
academic-writing-skills,claude,20,broad_share,17,0.25,0.42857142857142855,0.65,1.0,0.47259570494864617,17
academic-writing-skills,claude,20,instruction_share,17,0.0,0.0,0.0,0.0,0.0,17
academic-writing-skills,claude,20,root_readme_share,17,0.0,0.0,0.05,0.3500000000000001,0.08888888888888889,17
academic-writing-skills,claude,20,git_strict_share,17,0.0,0.0,0.05,0.1,0.03897058823529412,17
academic-writing-skills,claude,20,prior_reread_share,17,0.0,0.1,0.35,0.7300000000000002,0.24035947712418296,17
academic-writing-skills,claude,20,prior_mutation_reread_share,17,0.0,0.0,0.0,0.21500000000000008,0.09264705882352942,17
academic-writing-skills,claude,20,orientation_share,17,0.0,0.08333333333333333,0.15,0.2642857142857143,0.09883286647992529,17
agentsight,claude,5,narrow_share,123,0.0,0.0,0.2,0.2,0.1100271002710027,123
agentsight,claude,5,extended_share,123,0.0,0.2,0.4,0.4,0.22710027100271002,123
agentsight,claude,5,broad_share,123,0.2,0.6,0.8,1.0,0.4915989159891599,123
agentsight,claude,5,instruction_share,123,0.0,0.0,0.0,0.0,0.0,123
agentsight,claude,5,root_readme_share,123,0.0,0.0,0.0,0.0,0.0,123
agentsight,claude,5,git_strict_share,123,0.0,0.0,0.2,0.2,0.1100271002710027,123
agentsight,claude,5,prior_reread_share,123,0.0,0.0,0.2,0.4,0.11707317073170734,123
agentsight,claude,5,prior_mutation_reread_share,123,0.0,0.0,0.0,0.0,0.019512195121951223,123
agentsight,claude,5,orientation_share,123,0.0,0.0,0.0,0.4,0.09268292682926829,123
agentsight,claude,10,narrow_share,123,0.0,0.0,0.1,0.12222222222222218,0.06686991869918699,123
agentsight,claude,10,extended_share,123,0.0,0.1,0.31666666666666665,0.5,0.20959801264679315,123
agentsight,claude,10,broad_share,123,0.10555555555555556,0.4,0.6666666666666666,0.9,0.4182797780358756,123
agentsight,claude,10,instruction_share,123,0.0,0.0,0.0,0.0,0.0,123
agentsight,claude,10,root_readme_share,123,0.0,0.0,0.0,0.0,0.0,123
agentsight,claude,10,git_strict_share,123,0.0,0.0,0.1,0.12222222222222218,0.06686991869918699,123
agentsight,claude,10,prior_reread_share,123,0.0,0.0,0.3,0.4,0.14272809394760616,123
agentsight,claude,10,prior_mutation_reread_share,123,0.0,0.0,0.0,0.07999999999999972,0.016260162601626018,123
agentsight,claude,10,orientation_share,123,0.0,0.0,0.1,0.3,0.07171247902955219,123
agentsight,claude,20,narrow_share,123,0.0,0.0,0.06904761904761905,0.1,0.04877698417964974,123
agentsight,claude,20,extended_share,123,0.025,0.1111111111111111,0.3,0.5,0.18774953420898452,123
agentsight,claude,20,broad_share,123,0.10555555555555556,0.3333333333333333,0.55,0.7722222222222221,0.3546775576064634,123
agentsight,claude,20,instruction_share,123,0.0,0.0,0.0,0.0,0.0,123
agentsight,claude,20,root_readme_share,123,0.0,0.0,0.0,0.0,0.0004065040650406504,123
agentsight,claude,20,git_strict_share,123,0.0,0.0,0.06904761904761905,0.1,0.04877698417964974,123
agentsight,claude,20,prior_reread_share,123,0.0,0.05,0.2426470588235294,0.4,0.13897255002933476,123
agentsight,claude,20,prior_mutation_reread_share,123,0.0,0.0,0.0,0.1,0.024390243902439025,123
agentsight,claude,20,orientation_share,123,0.0,0.0,0.09545454545454546,0.2,0.05783125480324,123
agentsight,codex,5,narrow_share,176,0.0,0.0,0.0,0.2,0.06022727272727273,176
agentsight,codex,5,extended_share,176,0.0,0.0,0.2,0.4,0.08522727272727272,176
agentsight,codex,5,broad_share,176,0.0,0.0,0.4,0.6,0.17613636363636365,176
agentsight,codex,5,instruction_share,176,0.0,0.0,0.0,0.0,0.0011363636363636365,176
agentsight,codex,5,root_readme_share,176,0.0,0.0,0.0,0.0,0.014772727272727272,176
agentsight,codex,5,git_strict_share,176,0.0,0.0,0.0,0.2,0.059090909090909104,176
agentsight,codex,5,prior_reread_share,176,0.0,0.0,0.0,0.0,0.01931818181818182,176
agentsight,codex,5,prior_mutation_reread_share,176,0.0,0.0,0.0,0.0,0.01363636363636364,176
agentsight,codex,5,orientation_share,176,0.0,0.0,0.0,0.2,0.07386363636363637,176
agentsight,codex,10,narrow_share,176,0.0,0.0,0.1,0.1,0.03636363636363637,176
agentsight,codex,10,extended_share,176,0.0,0.0,0.1,0.3,0.08238636363636363,176
agentsight,codex,10,broad_share,176,0.0,0.0,0.3,0.6,0.15833333333333333,176
agentsight,codex,10,instruction_share,176,0.0,0.0,0.0,0.0,0.001704545454545455,176
agentsight,codex,10,root_readme_share,176,0.0,0.0,0.0,0.0,0.013636363636363636,176
agentsight,codex,10,git_strict_share,176,0.0,0.0,0.025,0.1,0.03465909090909091,176
agentsight,codex,10,prior_reread_share,176,0.0,0.0,0.0,0.1,0.04147727272727273,176
agentsight,codex,10,prior_mutation_reread_share,176,0.0,0.0,0.0,0.0,0.02045454545454545,176
agentsight,codex,10,orientation_share,176,0.0,0.0,0.1,0.2,0.05321969696969697,176
agentsight,codex,20,narrow_share,176,0.0,0.0,0.05,0.1,0.02588505244755245,176
agentsight,codex,20,extended_share,176,0.0,0.0,0.05,0.35,0.08298732517482517,176
agentsight,codex,20,broad_share,176,0.0,0.0,0.2,0.575,0.13664408508158507,176
agentsight,codex,20,instruction_share,176,0.0,0.0,0.0,0.0,0.0011363636363636365,176
agentsight,codex,20,root_readme_share,176,0.0,0.0,0.0,0.025,0.008806818181818181,176
agentsight,codex,20,git_strict_share,176,0.0,0.0,0.05,0.1,0.024748688811188812,176
agentsight,codex,20,prior_reread_share,176,0.0,0.0,0.0,0.25,0.05369318181818183,176
agentsight,codex,20,prior_mutation_reread_share,176,0.0,0.0,0.0,0.0,0.02329545454545455,176
agentsight,codex,20,orientation_share,176,0.0,0.0,0.05,0.15,0.03994937354312354,176
agentsight,gemini,5,narrow_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,5,extended_share,2,0.2,0.2,0.2,0.2,0.2,2
agentsight,gemini,5,broad_share,2,0.4,0.4,0.4,0.4,0.4,2
agentsight,gemini,5,instruction_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,5,root_readme_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,5,git_strict_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,5,prior_reread_share,2,0.2,0.2,0.2,0.2,0.2,2
agentsight,gemini,5,prior_mutation_reread_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,5,orientation_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,10,narrow_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,10,extended_share,2,0.125,0.15000000000000002,0.17500000000000002,0.19,0.15000000000000002,2
