project,session_id,vendor,slice,calls,repeat_read_share,read_actions,repeat_read_actions,reread_call_share,failure_share,resolved_failure_share,observed_share,recent_reedit_share,edit_calls_per_path,paths_per_edit_call,patch_lines_median,patch_lines_n,edit_share,tool_read_share,tool_edit_share,tool_shell_share,tool_network_share,tool_plan_share,tool_subagent_share,tool_tool_share,max_internal_gap_hours,noncomposite_8h
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,1,110,0.41025641025641024,39,16,0.42105263157894735,0.02727272727272727,0.036585365853658534,0.2545454545454545,0.35,1.8181818181818181,0.95,15.0,20,0.18181818181818182,0.0,0.18181818181818182,0.7454545454545455,0.0,0.01818181818181818,0.0,0.05454545454545454,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,2,110,0.9629629629629629,27,26,0.9565217391304348,0.03636363636363636,0.05,0.2727272727272727,0.2777777777777778,1.8,1.0,23.0,18,0.16363636363636364,0.0,0.16363636363636364,0.7272727272727273,0.0,0.03636363636363636,0.0,0.07272727272727272,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,3,109,0.85,20,17,0.8,0.03669724770642202,0.056338028169014086,0.3486238532110092,0.14285714285714285,1.6470588235294117,1.0,15.5,28,0.25688073394495414,0.0,0.25688073394495414,0.6513761467889908,0.0,0.01834862385321101,0.0,0.07339449541284404,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,4,110,0.875,32,28,0.8846153846153846,0.00909090909090909,0.011764705882352941,0.22727272727272727,0.34782608695652173,2.090909090909091,1.0,14.0,23,0.20909090909090908,0.0,0.20909090909090908,0.7727272727272727,0.0,0.0,0.0,0.01818181818181818,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,5,110,0.9,20,18,0.9473684210526315,0.0,0.0,0.2727272727272727,0.14285714285714285,2.0,1.2857142857142858,6.0,14,0.12727272727272726,0.0,0.12727272727272726,0.7272727272727273,0.0,0.0,0.0,0.14545454545454545,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,6,110,0.8695652173913043,23,20,0.8695652173913043,0.03636363636363636,0.06153846153846154,0.4090909090909091,0.3181818181818182,1.2222222222222223,1.3636363636363635,16.0,21,0.2,0.0,0.2,0.5818181818181818,0.0,0.01818181818181818,0.0,0.2,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,7,110,0.9354838709677419,31,29,0.9666666666666667,0.05454545454545454,0.08,0.3181818181818182,0.22727272727272727,1.5714285714285714,1.0,10.0,22,0.2,0.0,0.2,0.6454545454545455,0.0,0.03636363636363636,0.0,0.11818181818181818,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,8,109,0.8,30,24,0.8148148148148148,0.05504587155963303,0.07692307692307693,0.28440366972477066,0.0,1.0769230769230769,1.0,16.5,14,0.12844036697247707,0.0,0.12844036697247707,0.6972477064220184,0.0,0.03669724770642202,0.0,0.13761467889908258,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,9,110,0.5641025641025641,39,22,0.5945945945945946,0.05454545454545454,0.07142857142857142,0.23636363636363636,0.375,1.7142857142857142,1.6666666666666667,60.0,23,0.21818181818181817,0.0,0.21818181818181817,0.7090909090909091,0.0,0.0,0.01818181818181818,0.05454545454545454,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,10,110,0.8888888888888888,9,8,1.0,0.07272727272727272,0.07920792079207921,0.08181818181818182,0.0,1.25,1.0,1.0,5,0.045454545454545456,0.0,0.045454545454545456,0.9090909090909091,0.0,0.0,0.00909090909090909,0.03636363636363636,11.914851666666667,False
