project,session_id,vendor,n_prefix,observed_prefix_calls,complete_prefix,previous_session_id,previous_vendor,predecessor_available,unique_worktree,gap_hours,gap_bin,instruction_calls,instruction_share,root_readme_calls,root_readme_share,git_strict_calls,git_strict_share,git_broad_calls,git_broad_share,prior_reread_calls,prior_reread_share,prior_mutation_reread_calls,prior_mutation_reread_share,orientation_calls,orientation_share,narrow_calls,narrow_share,extended_calls,extended_share,broad_calls,broad_share
ActPlane,codex:019e5330-9be0-7382-a97a-4c877af56b82,codex,5,5,True,,,False,True,,,0,0.0,2,0.4,1,0.2,1,0.2,0,0.0,0,0.0,1,0.2,1,0.2,3,0.6,4,0.8
ActPlane,codex:019e5330-9be0-7382-a97a-4c877af56b82,codex,10,10,True,,,False,True,,,0,0.0,2,0.2,1,0.1,1,0.1,0,0.0,0,0.0,1,0.1,1,0.1,3,0.3,4,0.4
ActPlane,codex:019e5330-9be0-7382-a97a-4c877af56b82,codex,20,14,False,,,False,True,,,0,0.0,2,0.14285714285714285,2,0.14285714285714285,3,0.21428571428571427,0,0.0,0,0.0,1,0.07142857142857142,2,0.14285714285714285,4,0.2857142857142857,6,0.42857142857142855
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,5,5,True,codex:019e5330-9be0-7382-a97a-4c877af56b82,codex,True,True,0.9994275,<1h,0,0.0,1,0.2,1,0.2,1,0.2,1,0.2,0,0.0,2,0.4,1,0.2,2,0.4,4,0.8
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,10,10,True,codex:019e5330-9be0-7382-a97a-4c877af56b82,codex,True,True,0.9994275,<1h,0,0.0,1,0.1,1,0.1,1,0.1,1,0.1,0,0.0,2,0.2,1,0.1,2,0.2,4,0.4
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,20,20,True,codex:019e5330-9be0-7382-a97a-4c877af56b82,codex,True,True,0.9994275,<1h,0,0.0,1,0.05,1,0.05,1,0.05,1,0.05,0,0.0,2,0.1,1,0.05,2,0.1,4,0.2
ActPlane,codex:019e56c1-cc4f-7c33-9958-7253c390d1f7,codex,5,1,False,codex:019e5330-9be0-7382-a97a-4c877af56b82,codex,True,True,16.59976361111111,6–24h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c1-cc4f-7c33-9958-7253c390d1f7,codex,10,1,False,codex:019e5330-9be0-7382-a97a-4c877af56b82,codex,True,True,16.59976361111111,6–24h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c1-cc4f-7c33-9958-7253c390d1f7,codex,20,1,False,codex:019e5330-9be0-7382-a97a-4c877af56b82,codex,True,True,16.59976361111111,6–24h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c2-032c-7a02-a6dc-0afe1fc6049c,codex,5,1,False,codex:019e56c1-cc4f-7c33-9958-7253c390d1f7,codex,True,True,0.003704722222222222,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c2-032c-7a02-a6dc-0afe1fc6049c,codex,10,1,False,codex:019e56c1-cc4f-7c33-9958-7253c390d1f7,codex,True,True,0.003704722222222222,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c2-032c-7a02-a6dc-0afe1fc6049c,codex,20,1,False,codex:019e56c1-cc4f-7c33-9958-7253c390d1f7,codex,True,True,0.003704722222222222,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c2-3fee-74f1-b6fd-5641a89ae75c,codex,5,1,False,codex:019e56c2-032c-7a02-a6dc-0afe1fc6049c,codex,True,True,0.0043347222222222224,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c2-3fee-74f1-b6fd-5641a89ae75c,codex,10,1,False,codex:019e56c2-032c-7a02-a6dc-0afe1fc6049c,codex,True,True,0.0043347222222222224,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c2-3fee-74f1-b6fd-5641a89ae75c,codex,20,1,False,codex:019e56c2-032c-7a02-a6dc-0afe1fc6049c,codex,True,True,0.0043347222222222224,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c2-8152-73e1-8f7b-9919611f1983,codex,5,1,False,codex:019e56c2-3fee-74f1-b6fd-5641a89ae75c,codex,True,True,0.004945833333333333,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c2-8152-73e1-8f7b-9919611f1983,codex,10,1,False,codex:019e56c2-3fee-74f1-b6fd-5641a89ae75c,codex,True,True,0.004945833333333333,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c2-8152-73e1-8f7b-9919611f1983,codex,20,1,False,codex:019e56c2-3fee-74f1-b6fd-5641a89ae75c,codex,True,True,0.004945833333333333,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c2-fe92-7380-bc7e-a11ebf89ecb5,codex,5,1,False,codex:019e56c2-8152-73e1-8f7b-9919611f1983,codex,True,True,0.008633055555555555,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c2-fe92-7380-bc7e-a11ebf89ecb5,codex,10,1,False,codex:019e56c2-8152-73e1-8f7b-9919611f1983,codex,True,True,0.008633055555555555,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c2-fe92-7380-bc7e-a11ebf89ecb5,codex,20,1,False,codex:019e56c2-8152-73e1-8f7b-9919611f1983,codex,True,True,0.008633055555555555,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c3-a6cc-7fd3-b639-2922fdf0ae9d,codex,5,1,False,codex:019e56c2-fe92-7380-bc7e-a11ebf89ecb5,codex,True,True,0.011980555555555555,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c3-a6cc-7fd3-b639-2922fdf0ae9d,codex,10,1,False,codex:019e56c2-fe92-7380-bc7e-a11ebf89ecb5,codex,True,True,0.011980555555555555,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56c3-a6cc-7fd3-b639-2922fdf0ae9d,codex,20,1,False,codex:019e56c2-fe92-7380-bc7e-a11ebf89ecb5,codex,True,True,0.011980555555555555,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56df-0b23-7713-b77b-1fb654e48f58,codex,5,1,False,codex:019e56c3-a6cc-7fd3-b639-2922fdf0ae9d,codex,True,True,0.49924722222222223,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56df-0b23-7713-b77b-1fb654e48f58,codex,10,1,False,codex:019e56c3-a6cc-7fd3-b639-2922fdf0ae9d,codex,True,True,0.49924722222222223,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e56df-0b23-7713-b77b-1fb654e48f58,codex,20,1,False,codex:019e56c3-a6cc-7fd3-b639-2922fdf0ae9d,codex,True,True,0.49924722222222223,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ActPlane,codex:019e58d2-4a46-7850-b8ff-4d1187b05e5f,codex,5,2,False,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,True,True,3.1206469444444442,1–6h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5
ActPlane,codex:019e58d2-4a46-7850-b8ff-4d1187b05e5f,codex,10,2,False,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,True,True,3.1206469444444442,1–6h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5
ActPlane,codex:019e58d2-4a46-7850-b8ff-4d1187b05e5f,codex,20,2,False,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,True,True,3.1206469444444442,1–6h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5
ActPlane,codex:019e58d5-1ccc-73a1-ab44-1dbf1ca6569b,codex,5,5,True,codex:019e58d2-4a46-7850-b8ff-4d1187b05e5f,codex,True,True,0.0500425,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,1,0.2
ActPlane,codex:019e58d5-1ccc-73a1-ab44-1dbf1ca6569b,codex,10,10,True,codex:019e58d2-4a46-7850-b8ff-4d1187b05e5f,codex,True,True,0.0500425,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.2,0,0.0,0,0.0,2,0.2
ActPlane,codex:019e58d5-1ccc-73a1-ab44-1dbf1ca6569b,codex,20,12,False,codex:019e58d2-4a46-7850-b8ff-4d1187b05e5f,codex,True,True,0.0500425,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.16666666666666666,0,0.0,0,0.0,2,0.16666666666666666
ActPlane,codex:019e58dd-87ec-7e81-8cf0-6078a4c22482,codex,5,5,True,codex:019e58d5-1ccc-73a1-ab44-1dbf1ca6569b,codex,True,True,0.04507722222222222,<1h,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
