project,vendor,chains,failed_calls_in_chains,median_length,p90_length,max_length,all_calls,chain_call_share
ActPlane,claude,4,15,3.5,4.7,5,17994,0.0008336112037345782
ActPlane,codex,3,9,3.0,3.0,3,48244,0.00018655169554763286
academic-writing-skills,claude,4,15,3.5,4.7,5,948,0.015822784810126583
agentsight,claude,1,7,7.0,7.0,7,12525,0.0005588822355289421
agentskill-observability-paper,claude,1,3,3.0,3.0,3,991,0.0030272452068617556
bpf-developer-tutorial,claude,3,9,3.0,3.0,3,1052,0.008555133079847909
