project,vendor,metric,n,q25,median,q75,p90,mean,n_units
bpf-developer-tutorial,gemini,narrow_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,extended_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,broad_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,instruction_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,root_readme_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,git_strict_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,prior_reread_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,prior_mutation_reread_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,orientation_share,1,0.0,0.0,0.0,0.0,0.0,1
eunomia-dev,claude,narrow_share,19,0.0,0.0,0.1,0.1,0.03684210526315789,19
eunomia-dev,claude,extended_share,19,0.0,0.1,0.1,0.31999999999999995,0.10526315789473686,19
eunomia-dev,claude,broad_share,19,0.15000000000000002,0.4,0.55,0.7,0.39473684210526316,19
eunomia-dev,claude,instruction_share,19,0.0,0.0,0.0,0.0,0.005263157894736842,19
eunomia-dev,claude,root_readme_share,19,0.0,0.0,0.0,0.0,0.0,19
eunomia-dev,claude,git_strict_share,19,0.0,0.0,0.05,0.1,0.031578947368421054,19
eunomia-dev,claude,prior_reread_share,19,0.0,0.0,0.1,0.1599999999999998,0.06842105263157895,19
eunomia-dev,claude,prior_mutation_reread_share,19,0.0,0.0,0.0,0.0,0.0,19
eunomia-dev,claude,orientation_share,19,0.0,0.1,0.3,0.41999999999999993,0.1894736842105263,19
eunomia-dev,codex,narrow_share,25,0.0,0.1,0.1,0.2,0.10400000000000001,25
eunomia-dev,codex,extended_share,25,0.1,0.2,0.4,0.6,0.28,25
eunomia-dev,codex,broad_share,25,0.2,0.5,0.7,0.7,0.444,25
eunomia-dev,codex,instruction_share,25,0.0,0.0,0.0,0.0,0.0,25
eunomia-dev,codex,root_readme_share,25,0.0,0.0,0.0,0.0,0.008,25
eunomia-dev,codex,git_strict_share,25,0.0,0.1,0.1,0.2,0.10400000000000001,25
eunomia-dev,codex,prior_reread_share,25,0.0,0.1,0.3,0.5,0.17600000000000002,25
eunomia-dev,codex,prior_mutation_reread_share,25,0.0,0.0,0.0,0.36000000000000015,0.08800000000000001,25
eunomia-dev,codex,orientation_share,25,0.0,0.1,0.2,0.36000000000000015,0.14800000000000002,25
