project,vendor,strict_class,metric,n,q25,median,q75,p90,mean,n_units
bpf-developer-tutorial,codex,ordinary,writes,25,1.0,2.0,3.0,7.800000000000004,3.08,25
bpf-developer-tutorial,codex,ordinary,write_read_ratio,19,0.5833333333333333,1.0,1.9,2.666666666666666,1.3982456140350876,19
bpf-developer-tutorial,codex,ordinary,write_revisit_share,23,0.25,0.5,1.0,1.0,0.5839371980676329,23
bpf-developer-tutorial,gemini,ordinary,reads,2,0.0,0.0,0.0,0.0,0.0,2
bpf-developer-tutorial,gemini,ordinary,writes,2,1.5,2.0,2.5,2.8,2.0,2
bpf-developer-tutorial,gemini,ordinary,write_read_ratio,0,,,,,,0
bpf-developer-tutorial,gemini,ordinary,write_revisit_share,0,,,,,,0
eunomia-dev,claude,bookkeeping,reads,26,0.0,1.0,2.75,7.0,2.4615384615384617,26
eunomia-dev,claude,bookkeeping,writes,26,1.0,1.0,6.5,9.0,4.1923076923076925,26
eunomia-dev,claude,bookkeeping,write_read_ratio,17,1.0,1.6666666666666667,2.0,6.000000000000003,3.0872549019607844,17
eunomia-dev,claude,bookkeeping,write_revisit_share,26,0.0,0.0,0.1369047619047619,1.0,0.1877289377289377,26
eunomia-dev,claude,ordinary,reads,74,0.0,2.0,4.0,7.400000000000006,3.77027027027027,74
eunomia-dev,claude,ordinary,writes,74,1.0,1.0,3.0,5.0,7.081081081081081,74
eunomia-dev,claude,ordinary,write_read_ratio,53,0.5,1.0,1.0,1.8303030303030303,1.1333233836702206,53
eunomia-dev,claude,ordinary,write_revisit_share,72,0.0,0.0,0.3333333333333333,0.9203431372549016,0.19103392018904908,72
eunomia-dev,codex,bookkeeping,reads,50,0.0,0.0,6.0,9.900000000000013,4.0,50
eunomia-dev,codex,bookkeeping,writes,50,1.0,2.0,3.75,14.0,3.86,50
eunomia-dev,codex,bookkeeping,write_read_ratio,24,0.42857142857142855,0.7272727272727273,1.0833333333333333,2.0,1.4344875576493223,24
eunomia-dev,codex,bookkeeping,write_revisit_share,50,0.0,0.0,0.21875,0.6066666666666667,0.1601904761904762,50
eunomia-dev,codex,ordinary,reads,161,0.0,3.0,10.0,18.0,7.521739130434782,161
eunomia-dev,codex,ordinary,writes,161,1.0,2.0,4.0,7.0,4.074534161490683,161
eunomia-dev,codex,ordinary,write_read_ratio,102,0.25,0.4557692307692308,0.9083333333333333,1.6250000000000024,0.7683173927133335,102
eunomia-dev,codex,ordinary,write_revisit_share,159,0.0,0.0,0.05555555555555555,0.5324675324675333,0.12666326594868468,159
