project,vendor,metric,n,q25,median,q75,p90,mean,n_units
ActPlane,claude,repeat_read_share_late_minus_early,21,0.1399999999999999,0.23774954627949185,0.48573975044563283,0.6083333333333334,0.2789161784807048,21
ActPlane,claude,reread_call_share_late_minus_early,21,0.1399999999999999,0.23774954627949185,0.48573975044563283,0.6083333333333334,0.2789161784807048,21
ActPlane,claude,failure_share_late_minus_early,28,-0.020969921231190736,0.0,0.026412466185193457,0.04325791855203621,-0.016444558372825067,28
ActPlane,claude,resolved_failure_share_late_minus_early,28,-0.02082320761616726,0.0,0.026412466185193457,0.04325791855203621,-0.01646180151204634,28
ActPlane,claude,observed_share_late_minus_early,28,0.0,0.0,0.0,0.0,0.0005041082466455601,28
ActPlane,claude,recent_reedit_share_late_minus_early,21,-0.0980392156862745,0.012711864406779627,0.22344322344322343,0.40222222222222226,0.03673442871908334,21
ActPlane,claude,edit_calls_per_path_late_minus_early,19,-3.7083333333333335,0.2999999999999998,3.425,6.333333333333333,-0.8294486215538845,19
ActPlane,claude,paths_per_edit_call_late_minus_early,21,0.0,0.0,0.0,0.038461538461538436,-0.016671899529042387,21
ActPlane,claude,patch_lines_median_late_minus_early,0,,,,,,0
ActPlane,claude,edit_share_late_minus_early,28,-0.02436833033847962,0.027211269123033836,0.14149359979101359,0.2905075335919492,0.03962481702028309,28
ActPlane,claude,tool_read_share_late_minus_early,28,-0.042563025210084045,0.05602218597908254,0.15994318181818185,0.2473076923076923,0.05766632962293298,28
ActPlane,claude,tool_edit_share_late_minus_early,28,-0.06179733323961303,0.041028334410687345,0.14954284221525602,0.32857142857142857,0.04980640713112232,28
ActPlane,claude,tool_shell_share_late_minus_early,28,-0.1697921049863244,-0.05476588923384841,0.05359766478284191,0.185,-0.1021843431910593,28
ActPlane,claude,tool_network_share_late_minus_early,28,0.0,0.0,0.0,0.03958333333333343,-0.0007806612060035416,28
ActPlane,claude,tool_plan_share_late_minus_early,28,0.0,0.0,0.0,0.0,0.0,28
ActPlane,claude,tool_subagent_share_late_minus_early,28,0.0,0.0,0.013586053209776756,0.02212484035759898,-0.002624840627855013,28
