variant,view,raw_unique,canonical_unique,unique_reduction_pct,changed_tags,raw_top20_coverage_pct,canonical_top20_coverage_pct,raw_long_tail_weight_pct,canonical_long_tail_weight_pct
raw,session_effect,53,53,0.0,0,99.465,99.465,0.39,0.39
raw,prompt_effect,263,263,0.0,0,90.445,90.445,2.933,2.933
raw,prompt_rows,328,328,0.0,0,79.573,79.573,10.038,10.038
raw,llm_events,1423,1423,0.0,0,94.546,94.546,1.903,1.903
raw,llm_tokens,1423,1423,0.0,0,99.999,99.999,0.0,0.0
raw,system_stack_consolidation,26829,26829,0.0,,14.549,14.549,,
raw,token_stack_consolidation,8569,8569,0.0,,95.039,95.039,,
alias_only,session_effect,53,48,9.434,8,99.465,99.521,0.39,0.334
alias_only,prompt_effect,263,241,8.365,24,90.445,91.485,2.933,2.608
alias_only,prompt_rows,328,304,7.317,24,79.573,81.777,10.038,9.409
alias_only,llm_events,1423,1392,2.178,31,94.546,94.946,1.903,1.861
alias_only,llm_tokens,1423,1392,2.178,31,99.999,99.999,0.0,0.0
alias_only,system_stack_consolidation,26829,26612,0.809,,14.549,14.549,,
alias_only,token_stack_consolidation,8569,8190,4.423,,95.039,95.077,,
lexical_only,session_effect,53,44,16.981,12,99.465,99.755,0.39,0.334
lexical_only,prompt_effect,263,200,23.954,77,90.445,93.076,2.933,2.079
lexical_only,prompt_rows,328,251,23.476,77,79.573,84.575,10.038,7.73
lexical_only,llm_events,1423,868,39.002,557,94.546,95.69,1.903,1.176
lexical_only,llm_tokens,1423,868,39.002,557,99.999,100.0,0.0,0.0
lexical_only,system_stack_consolidation,26829,25985,3.146,,14.549,14.577,,
lexical_only,token_stack_consolidation,8569,7169,16.338,,95.039,95.444,,
profile_guarded_current,session_effect,53,45,15.094,11,99.465,99.714,0.39,0.334
profile_guarded_current,prompt_effect,263,216,17.871,49,90.445,92.72,2.933,2.275
profile_guarded_current,prompt_rows,328,279,14.939,49,79.573,83.666,10.038,8.674
profile_guarded_current,llm_events,1423,1254,11.876,171,94.546,95.337,1.903,1.689
profile_guarded_current,llm_tokens,1423,1254,11.876,171,99.999,100.0,0.0,0.0
profile_guarded_current,system_stack_consolidation,26829,26067,2.84,,14.549,14.577,,
profile_guarded_current,token_stack_consolidation,8569,7661,10.596,,95.039,95.422,,
