task,dataset,stack_kind,policy,policy_kind,uses_r325_feedback,drop_features,groups,ap,delta_ap_vs_width,delta_ap_vs_task_weighted,top5_lift,delta_top5_lift_vs_width,first_positive_work,delta_first_positive_work_vs_width,delta_first_positive_work_vs_task_weighted
agentreward_looping,agent-reward-bench,semantic,width,baseline,False,,40,0.7653,0.0,-0.1155,1.0359,0.0,0.2058,0.0,0.0
agentreward_looping,agent-reward-bench,semantic,task_weighted,task_specific,False,,40,0.8808,0.1155,0.0,1.3179,0.282,0.2058,0.0,0.0
agentreward_looping,agent-reward-bench,semantic,task_equal,task_specific_equal_weight,False,,40,0.8509,0.0856,-0.0299,1.3179,0.282,0.2058,0.0,0.0
agentreward_looping,agent-reward-bench,semantic,global_equal,global_equal_weight,False,,40,0.8647,0.0994,-0.0161,1.2751,0.2392,0.2058,0.0,0.0
agentreward_looping,agent-reward-bench,semantic,r325_repaired,profile_guided_repair,True,,40,0.8808,0.1155,0.0,1.3179,0.282,0.2058,0.0,0.0
agentreward_looping,agent-reward-bench,coarse,width,baseline,False,,16,0.6633,0.0,-0.1541,1.0075,0.0,0.3539,0.0,0.214
agentreward_looping,agent-reward-bench,coarse,task_weighted,task_specific,False,,16,0.8174,0.1541,0.0,1.2009,0.1934,0.1399,-0.214,0.0
agentreward_looping,agent-reward-bench,coarse,task_equal,task_specific_equal_weight,False,,16,0.7864,0.1231,-0.031,1.0412,0.0337,0.1399,-0.214,0.0
agentreward_looping,agent-reward-bench,coarse,global_equal,global_equal_weight,False,,16,0.8151,0.1518,-0.0023,1.1801,0.1726,0.1399,-0.214,0.0
agentreward_looping,agent-reward-bench,coarse,r325_repaired,profile_guided_repair,True,,16,0.8174,0.1541,0.0,1.2009,0.1934,0.1399,-0.214,0.0
agentreward_side_effect,agent-reward-bench,semantic,width,baseline,False,,40,0.3661,0.0,-0.0286,1.0559,0.0,0.2058,0.0,0.1413
agentreward_side_effect,agent-reward-bench,semantic,task_weighted,task_specific,False,,40,0.3947,0.0286,0.0,0.7831,-0.2728,0.0645,-0.1413,0.0
