task,dataset,stack_kind,drop_features,delta_ap_vs_task_weighted,delta_top5_lift_vs_task_weighted,delta_first_positive_work_vs_task_weighted,repaired_ap,task_weighted_ap
satraj_unsafe,satraj-os-safety,semantic,loop-like,0.1734,0.6507,0.0,0.6506,0.4772
osworld_group_start,osworld-human,semantic,input-phase,-0.0136,-0.914,-0.1017,0.2078,0.2214
osworld_group_start,osworld-human,coarse,input-phase,0.0225,0.2363,-0.3261,0.2085,0.186
