method,family,rows,scoreable,correct,wrong,abstain,correct_coverage,conditional_accuracy,scoreable_rate
final_state,ALL,120,120,30,0,90,0.25,1.0,1.0
final_state,B+C,60,60,0,0,60,0.0,0.0,1.0
counts,ALL,120,120,3,15,102,0.025,0.16666666666666666,1.0
counts,B+C,60,60,0,0,60,0.0,0.0,1.0
procgrep,ALL,120,120,12,18,90,0.1,0.4,1.0
procgrep,B+C,60,60,0,0,60,0.0,0.0,1.0
trajectory,ALL,120,120,102,18,0,0.85,0.85,1.0
trajectory,B+C,60,60,60,0,0,1.0,1.0,1.0
raw_model,ALL,360,260,191,56,113,0.5305555555555556,0.7732793522267206,0.7222222222222222
raw_model,B+C,180,130,94,28,58,0.5222222222222223,0.7704918032786885,0.7222222222222222
