project,family,rows,scoreable,correct,wrong,abstain,correct_coverage,conditional_accuracy,scoreable_rate
agentsight,A,15,10,5,5,5,0.3333333333333333,0.5,0.6666666666666666
agentsight,B,15,10,6,4,5,0.4,0.6,0.6666666666666666
agentsight,C,15,10,10,0,5,0.6666666666666666,1.0,0.6666666666666666
agentsight,D,15,10,10,0,5,0.6666666666666666,1.0,0.6666666666666666
agentsight,B+C,30,20,16,4,10,0.5333333333333333,0.8,0.6666666666666666
agentsight,ALL,60,40,31,9,20,0.5166666666666667,0.775,0.6666666666666666
ActPlane,A,15,15,0,10,5,0.0,0.0,1.0
ActPlane,B,15,15,15,0,0,1.0,1.0,1.0
ActPlane,C,15,15,6,6,3,0.4,0.5,1.0
ActPlane,D,15,15,15,0,0,1.0,1.0,1.0
ActPlane,B+C,30,30,21,6,3,0.7,0.7777777777777778,1.0
ActPlane,ALL,60,60,36,16,8,0.6,0.6923076923076923,1.0
bpf-developer-tutorial,A,15,0,0,0,15,0.0,0.0,0.0
bpf-developer-tutorial,B,15,0,0,0,15,0.0,0.0,0.0
bpf-developer-tutorial,C,15,0,0,0,15,0.0,0.0,0.0
bpf-developer-tutorial,D,15,0,0,0,15,0.0,0.0,0.0
bpf-developer-tutorial,B+C,30,0,0,0,30,0.0,0.0,0.0
bpf-developer-tutorial,ALL,60,0,0,0,60,0.0,0.0,0.0
eunomia.dev,A,15,15,7,8,0,0.4666666666666667,0.4666666666666667,1.0
eunomia.dev,B,15,15,11,4,0,0.7333333333333333,0.7333333333333333,1.0
eunomia.dev,C,15,15,6,4,5,0.4,0.6,1.0
eunomia.dev,D,15,15,15,0,0,1.0,1.0,1.0
eunomia.dev,B+C,30,30,17,8,5,0.5666666666666667,0.68,1.0
eunomia.dev,ALL,60,60,39,16,5,0.65,0.7090909090909091,1.0
agentskill-observability-paper,A,15,10,8,2,5,0.5333333333333333,0.8,0.6666666666666666
agentskill-observability-paper,B,15,10,10,0,5,0.6666666666666666,1.0,0.6666666666666666
agentskill-observability-paper,C,15,10,10,0,5,0.6666666666666666,1.0,0.6666666666666666
agentskill-observability-paper,D,15,10,10,0,5,0.6666666666666666,1.0,0.6666666666666666
agentskill-observability-paper,B+C,30,20,20,0,10,0.6666666666666666,1.0,0.6666666666666666
agentskill-observability-paper,ALL,60,40,38,2,20,0.6333333333333333,0.95,0.6666666666666666
academic-writing-skills,A,15,15,12,3,0,0.8,0.8,1.0
academic-writing-skills,B,15,15,13,2,0,0.8666666666666667,0.8666666666666667,1.0
academic-writing-skills,C,15,15,7,8,0,0.4666666666666667,0.4666666666666667,1.0
academic-writing-skills,D,15,15,15,0,0,1.0,1.0,1.0
academic-writing-skills,B+C,30,30,20,10,0,0.6666666666666666,0.6666666666666666,1.0
academic-writing-skills,ALL,60,60,47,13,0,0.7833333333333333,0.7833333333333333,1.0
