method,family,rows,scoreable,correct,wrong,abstain,correct_coverage,conditional_accuracy,scoreable_rate
raw_model,A,90,65,32,28,30,0.35555555555555557,0.5333333333333333,0.7222222222222222
raw_model,B,90,65,55,10,25,0.6111111111111112,0.8461538461538461,0.7222222222222222
raw_model,C,90,65,39,18,33,0.43333333333333335,0.6842105263157895,0.7222222222222222
raw_model,D,90,65,65,0,25,0.7222222222222222,1.0,0.7222222222222222
raw_model,ALL,360,260,191,56,113,0.5305555555555556,0.7732793522267206,0.7222222222222222
raw_model,B+C,180,130,94,28,58,0.5222222222222223,0.7704918032786885,0.7222222222222222
