source,path,status,sha256
generator script,script/paper_diagnosis_card_gate.py,tracked_dirty_allowed,5d644c1ae91040557417b31e5579aa2c2b16be6acf3013fce7552f20974ea80b
R365 headline case studies,docs/visexp/out/paper-headline-case-studies-r365/headline-case-studies.json,tracked_clean,3b801c7ad9400b1fbabf251e8d0a8d0b9674b2d3e4fce5e17fe8aaa7c99a0709
R365 task cards,docs/visexp/out/paper-headline-case-studies-r365/task-case-cards.csv,tracked_clean,87b55085a7501c0dc0c453a14bb554c341b0852dafe772d140ac9dd9444972c0
R373 task verdict,docs/visexp/out/paper-task-claim-verdict-r373/task-claim-verdict-report.json,tracked_clean,717aecb6299bcab8a075ca756642219c4689e351230494dd7085e8b0db07e44f
R373 task verdict rows,docs/visexp/out/paper-task-claim-verdict-r373/task-claim-verdict.csv,tracked_clean,ab333d512c6d8a7d1b71b20b02a52cc15e2e7b6c6531368f9910e6f20b84732b
R380 experiment-block gate,docs/visexp/out/paper-experiment-block-consolidation-r380/experiment-block-consolidation-report.json,tracked_dirty_allowed,9b9742c9033239244ee62e3c95134de19b7a825792a9be7b34c85068d683efd1
English paper,docs/agentpprof-paper/main.tex,tracked_clean,b79bcb3870c38156909c721595d817c2a7c1a76813cbc7f2ae2224558fe64dc2
Chinese paper,docs/visexp/paper/main.tex,tracked_dirty_allowed,d0cf2d426a7f87e41588421a87bb621b32ab9cf32bbbeff9ad641e0f647db22d
evaluation ledger,docs/evaluation.md,tracked_clean,f90f12854a2421263978eb98f9a87380b9d646044eca5252f000934e8b9ec97c
English paper submodule gitlink,docs/agentpprof-paper,tracked_dirty_allowed,submodule_head=21e14232fa894e3d99c27ce75bc7dff4c3d5f449;parent_index=21e14232fa894e3d99c27ce75bc7dff4c3d5f449
