dimension,row_count,support_total,raw_unique_tags,canonical_unique_tags,canonical_unique_reduction,canonical_unique_reduction_pct,raw_top20_coverage_pct,canonical_top20_coverage_pct,top20_coverage_gain_pct_points,long_tail_rows,long_tail_support_pct,review_required_rows,review_required_support_pct
overall,1811,482398,1546,1364,182,11.772,93.683,95.186,1.503,1575,1.746,323,1.926
llm,1423,114837,1423,1254,169,11.876,94.546,95.337,0.791,1284,1.903,259,1.376
prompt,328,183833,328,279,49,14.939,90.387,92.66,2.273,253,2.996,56,3.258
session,60,183728,60,49,11,18.333,99.458,99.708,0.25,38,0.397,8,0.938
