stratum_type,project,vendor,sequence_scope,sequence_granularity,n,rank,ngram,count,share,total_ngrams
overall,ALL,ALL,full_stream,hybrid_shell,2,1,shell:search/text → shell:search/text,40501,0.2257769601694679,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,2,shell:git/repository → shell:git/repository,10832,0.06038409008557014,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,3,edit → edit,9566,0.053326643810798005,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,4,wait/control → wait/control,6751,0.03763413886333863,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,5,read → read,4375,0.02438888424338713,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,6,shell:git/repository → shell:search/text,3883,0.02164618000390222,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,7,coordination → coordination,3795,0.02115561501797809,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,8,shell:other → wait/control,3790,0.02112774200741422,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,9,shell:other → shell:other,3765,0.020988376954594865,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,10,shell:search/text → edit,3717,0.020720796053181705,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,11,shell:search/text → shell:git/repository,3462,0.019299272514424284,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,12,edit → shell:search/text,3030,0.01689104440170583,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,13,shell:search/text → shell:other,2938,0.016378181007330603,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,14,wait/control → shell:other,2617,0.014588733729130084,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,15,shell:data/analysis/runtime → shell:data/analysis/runtime,2567,0.014310003623491373,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,16,wait/control → shell:search/text,2483,0.01384173704601834,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,17,read → edit,2482,0.013836162443905566,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,18,shell:other → shell:search/text,2146,0.011963096134013435,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,19,shell:data/analysis/runtime → shell:search/text,1995,0.01112133121498453,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,20,shell:search/text → shell:data/analysis/runtime,1887,0.010519274186804917,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,21,shell:filesystem/navigation → shell:search/text,1642,0.009153496669175238,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,22,edit → read,1625,0.009058728433258076,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,23,shell:search/text → shell:filesystem/navigation,1607,0.00895838559522814,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,24,shell:filesystem/navigation → shell:filesystem/navigation,1568,0.008740976112829946,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,25,shell:search/text → read,1524,0.008495693619867881,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,26,search → search,1434,0.007993979429718204,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,27,shell:search/text → wait/control,1331,0.007419795412102461,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,28,shell:data/analysis/runtime → wait/control,1171,0.006527859074058589,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,29,wait/control → shell:data/analysis/runtime,1110,0.006187808345179363,179385
overall,ALL,ALL,full_stream,hybrid_shell,2,30,coordination → shell:search/text,1084,0.006042868690247233,179385
overall,ALL,ALL,full_stream,hybrid_shell,3,1,shell:search/text → shell:search/text → shell:search/text,29635,0.16685434378694894,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,2,shell:git/repository → shell:git/repository → shell:git/repository,7036,0.039614886549180786,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,3,edit → edit → edit,6347,0.03573560047294634,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,4,wait/control → wait/control → wait/control,4812,0.027093069083947974,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,5,read → read → read,2676,0.015066719216260346,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,6,coordination → coordination → coordination,2605,0.014666966950059118,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,7,shell:search/text → shell:search/text → edit,2373,0.013360734192894545,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,8,shell:git/repository → shell:search/text → shell:search/text,2245,0.012640054051010641,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,9,wait/control → shell:other → wait/control,2205,0.01241484150667192,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,10,shell:other → wait/control → shell:other,2116,0.011913743595518271,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,11,shell:other → shell:other → shell:other,1942,0.01093406902764484,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,12,shell:search/text → shell:search/text → shell:git/repository,1738,0.00978548505151737,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,13,shell:search/text → edit → edit,1676,0.009436405607792355,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,14,shell:git/repository → shell:git/repository → shell:search/text,1546,0.008704464838691516,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,15,edit → shell:search/text → shell:search/text,1415,0.007966893755982208,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,16,edit → edit → shell:search/text,1382,0.007781093406902764,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,17,shell:search/text → shell:git/repository → shell:git/repository,1316,0.007409492708743877,177610
