stratum_type,project,vendor,sequence_scope,tool_family,run_n,run_mean,run_p50,run_p90,run_p95,run_p99,run_max,runs_ge_3_share,runs_ge_5_share
overall,ALL,ALL,full_stream,coordination,2743,2.3835216915785638,1.0,6.0,8.0,12.0,31,0.24753919066715274,0.14072183740430186
overall,ALL,ALL,full_stream,edit,8234,2.161768277872237,1.0,4.0,6.0,12.0,118,0.20828273014330823,0.08537770221034734
overall,ALL,ALL,full_stream,fetch,438,2.8881278538812785,2.0,5.0,8.0,18.25999999999999,33,0.3607305936073059,0.1461187214611872
overall,ALL,ALL,full_stream,multimodal,115,1.2869565217391303,1.0,2.0,3.0,4.0,4,0.0782608695652174,0.0
overall,ALL,ALL,full_stream,network/other,23,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
overall,ALL,ALL,full_stream,other,101,1.0693069306930694,1.0,1.0,2.0,2.0,3,0.009900990099009901,0.0
overall,ALL,ALL,full_stream,plan/goal,1423,1.0997891777933941,1.0,1.0,2.0,3.0,4,0.011243851018973999,0.0
overall,ALL,ALL,full_stream,read,4626,1.9457414613056636,1.0,4.0,5.75,11.0,41,0.18179853004755728,0.07025507998270644
overall,ALL,ALL,full_stream,search,523,3.7418738049713194,2.0,8.0,13.899999999999977,22.779999999999973,46,0.40344168260038243,0.22753346080305928
overall,ALL,ALL,full_stream,shell,22404,5.5499910730226745,2.0,13.0,22.0,46.0,203,0.49482235315122297,0.29133190501696127
overall,ALL,ALL,full_stream,skill,75,1.0133333333333334,1.0,1.0,1.0,1.2600000000000051,2,0.0,0.0
overall,ALL,ALL,full_stream,task,1109,1.435527502254283,1.0,2.0,3.0,6.0,26,0.08205590622182146,0.024346257889990983
overall,ALL,ALL,full_stream,tool discovery,309,1.0129449838187703,1.0,1.0,1.0,1.0,4,0.003236245954692557,0.0
overall,ALL,ALL,full_stream,wait/control,9157,1.7372501911106257,1.0,2.0,4.0,14.0,120,0.09959593753412689,0.04466528338975647
overall,ALL,ALL,full_stream,write,440,1.5159090909090909,1.0,2.0,4.0,10.0,20,0.08409090909090909,0.03636363636363636
overall,ALL,ALL,same_prompt,coordination,2751,2.376590330788804,1.0,6.0,8.0,12.0,31,0.24645583424209377,0.1395856052344602
overall,ALL,ALL,same_prompt,edit,8719,2.0415185227663724,1.0,4.0,6.0,11.0,118,0.18993003784837711,0.07604083037045532
overall,ALL,ALL,same_prompt,fetch,439,2.8815489749430525,2.0,5.0,8.0,18.24000000000001,33,0.35990888382687924,0.14350797266514806
overall,ALL,ALL,same_prompt,multimodal,115,1.2869565217391303,1.0,2.0,3.0,4.0,4,0.0782608695652174,0.0
overall,ALL,ALL,same_prompt,network/other,23,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
overall,ALL,ALL,same_prompt,other,102,1.0588235294117647,1.0,1.0,1.0,2.0,3,0.00980392156862745,0.0
overall,ALL,ALL,same_prompt,plan/goal,1455,1.0756013745704467,1.0,1.0,2.0,2.0,4,0.007560137457044674,0.0
overall,ALL,ALL,same_prompt,read,5027,1.7905311318878059,1.0,3.0,5.0,10.0,41,0.15038790531131888,0.05370996618261389
overall,ALL,ALL,same_prompt,search,526,3.720532319391635,2.0,8.0,13.75,22.75,46,0.39923954372623577,0.2262357414448669
overall,ALL,ALL,same_prompt,shell,24695,5.035108321522576,2.0,12.0,19.0,39.0,203,0.4854019032192752,0.2751164203280016
overall,ALL,ALL,same_prompt,skill,75,1.0133333333333334,1.0,1.0,1.0,1.2600000000000051,2,0.0,0.0
overall,ALL,ALL,same_prompt,task,1149,1.3855526544821584,1.0,2.0,3.0,6.0,11,0.08006962576153177,0.02349869451697128
overall,ALL,ALL,same_prompt,tool discovery,309,1.0129449838187703,1.0,1.0,1.0,1.0,4,0.003236245954692557,0.0
overall,ALL,ALL,same_prompt,wait/control,9194,1.7302588644768326,1.0,2.0,4.0,14.0,120,0.09876006090928867,0.0443767674570372
overall,ALL,ALL,same_prompt,write,463,1.4406047516198703,1.0,2.0,3.0,10.0,20,0.07127429805615551,0.032397408207343416
vendor,ALL,claude,full_stream,coordination,15,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
vendor,ALL,claude,full_stream,edit,3262,2.5594727161250765,1.0,5.0,8.0,18.389999999999873,118,0.22501532801961988,0.10392397302268547
vendor,ALL,claude,full_stream,fetch,435,2.8804597701149426,2.0,5.0,8.0,18.319999999999936,33,0.3563218390804598,0.14482758620689656
vendor,ALL,claude,full_stream,multimodal,35,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
vendor,ALL,claude,full_stream,network/other,23,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
vendor,ALL,claude,full_stream,other,68,1.0441176470588236,1.0,1.0,1.0,2.3299999999999983,3,0.014705882352941176,0.0
vendor,ALL,claude,full_stream,plan/goal,15,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
vendor,ALL,claude,full_stream,read,4615,1.9458288190682558,1.0,4.0,6.0,11.0,41,0.1820151679306609,0.07020585048754063
vendor,ALL,claude,full_stream,search,517,3.758220502901354,2.0,8.0,14.0,22.839999999999975,46,0.40425531914893614,0.22823984526112184
vendor,ALL,claude,full_stream,shell,3912,3.6561860940695294,2.0,8.0,12.0,25.0,129,0.3852249488752556,0.20501022494887525
vendor,ALL,claude,full_stream,skill,75,1.0133333333333334,1.0,1.0,1.0,1.2600000000000051,2,0.0,0.0
vendor,ALL,claude,full_stream,task,428,1.8177570093457944,1.0,4.0,4.0,10.730000000000018,26,0.17523364485981308,0.04906542056074766
vendor,ALL,claude,full_stream,tool discovery,309,1.0129449838187703,1.0,1.0,1.0,1.0,4,0.003236245954692557,0.0
vendor,ALL,claude,full_stream,wait/control,9,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
vendor,ALL,claude,full_stream,write,438,1.5136986301369864,1.0,2.0,4.0,10.0,20,0.0821917808219178,0.0365296803652968
vendor,ALL,claude,same_prompt,coordination,15,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
vendor,ALL,claude,same_prompt,edit,3709,2.251011054192505,1.0,4.0,6.0,16.0,118,0.18360744135885684,0.08115394985171205
vendor,ALL,claude,same_prompt,fetch,436,2.873853211009174,2.0,5.0,8.0,18.299999999999955,33,0.3555045871559633,0.14220183486238533
vendor,ALL,claude,same_prompt,multimodal,35,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
vendor,ALL,claude,same_prompt,network/other,23,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
vendor,ALL,claude,same_prompt,other,69,1.0289855072463767,1.0,1.0,1.0,1.6399999999999864,3,0.014492753623188406,0.0
vendor,ALL,claude,same_prompt,plan/goal,15,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
vendor,ALL,claude,same_prompt,read,5016,1.7902711323763956,1.0,3.0,5.0,10.0,41,0.150518341307815,0.05362838915470494
vendor,ALL,claude,same_prompt,search,520,3.7365384615384616,2.0,8.0,14.0,22.809999999999945,46,0.4,0.22692307692307692
vendor,ALL,claude,same_prompt,shell,4849,2.949680346463188,2.0,6.0,9.0,19.0,126,0.3163538873994638,0.15363992575788823
vendor,ALL,claude,same_prompt,skill,75,1.0133333333333334,1.0,1.0,1.0,1.2600000000000051,2,0.0,0.0
vendor,ALL,claude,same_prompt,task,467,1.6659528907922911,1.0,3.0,4.0,8.0,11,0.16274089935760172,0.044967880085653104
vendor,ALL,claude,same_prompt,tool discovery,309,1.0129449838187703,1.0,1.0,1.0,1.0,4,0.003236245954692557,0.0
vendor,ALL,claude,same_prompt,wait/control,9,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
vendor,ALL,claude,same_prompt,write,460,1.441304347826087,1.0,2.0,3.0,10.0,20,0.07173913043478261,0.03260869565217391
vendor,ALL,codex,full_stream,coordination,2728,2.3911290322580645,1.0,6.0,8.0,12.0,31,0.24890029325513197,0.14149560117302054
vendor,ALL,codex,full_stream,edit,4972,1.900844730490748,1.0,4.0,5.0,9.0,21,0.19730490748189863,0.07320997586484312
vendor,ALL,codex,full_stream,fetch,3,4.0,4.0,4.8,4.9,4.98,5,1.0,0.3333333333333333
vendor,ALL,codex,full_stream,multimodal,80,1.4125,1.0,3.0,3.0,4.0,4,0.1125,0.0
vendor,ALL,codex,full_stream,other,30,1.1333333333333333,1.0,2.0,2.0,2.0,2,0.0,0.0
vendor,ALL,codex,full_stream,plan/goal,1408,1.1008522727272727,1.0,1.0,2.0,3.0,4,0.011363636363636364,0.0
vendor,ALL,codex,full_stream,shell,18490,5.9511627906976745,3.0,15.0,24.0,48.0,203,0.5180638182801515,0.3096268253109789
vendor,ALL,codex,full_stream,task,681,1.1953010279001468,1.0,2.0,2.0,3.0,8,0.023494860499265784,0.00881057268722467
vendor,ALL,codex,full_stream,wait/control,9148,1.7379755137735025,1.0,2.0,4.0,14.0,120,0.09969392216878006,0.044709226060341056
vendor,ALL,codex,same_prompt,coordination,2736,2.3841374269005846,1.0,6.0,8.0,12.0,31,0.24780701754385964,0.14035087719298245
vendor,ALL,codex,same_prompt,edit,5010,1.8864271457085828,1.0,4.0,5.0,9.0,21,0.19461077844311378,0.07225548902195608
vendor,ALL,codex,same_prompt,fetch,3,4.0,4.0,4.8,4.9,4.98,5,1.0,0.3333333333333333
vendor,ALL,codex,same_prompt,multimodal,80,1.4125,1.0,3.0,3.0,4.0,4,0.1125,0.0
vendor,ALL,codex,same_prompt,other,30,1.1333333333333333,1.0,2.0,2.0,2.0,2,0.0,0.0
vendor,ALL,codex,same_prompt,plan/goal,1440,1.0763888888888888,1.0,1.0,2.0,2.0,4,0.007638888888888889,0.0
vendor,ALL,codex,same_prompt,shell,19844,5.545101793993147,3.0,13.0,21.0,42.0,203,0.5267587180004032,0.30482765571457365
