project,selected_file,selected_format,bytes,sha256,events,declared_sessions,declared_source_events,start_ms,end_ms,paired_gzip_present
ActPlane,/home/yunwei37/workspace/agentsight-agent-nebula-research/docs/tmp/build-and-evaluate/rq1-rq4-recompute-final/rq1-raw/events/ActPlane.json,json,102239017,7b21f517813daf232ec39df30c82ba5e71086e1bc5c6c6bfdc1981fa69d371eb,66238,139,195535,1779512196435,1784364131461,True
academic-writing-skills,/home/yunwei37/workspace/agentsight-agent-nebula-research/docs/tmp/build-and-evaluate/rq1-rq4-recompute-final/rq1-raw/events/academic-writing-skills.json,json,1598843,01cb6eadbfa4091f0d2c072cfb9c8967864c7b4a11a58df2428a2deeb2851407,948,17,2920,1781367137782,1784170767863,True
agentsight,/home/yunwei37/workspace/agentsight-agent-nebula-research/docs/tmp/build-and-evaluate/rq1-rq4-recompute-final/rq1-raw/events/agentsight.json,json,178979577,d9fc07c61f09029d193b37ea614e8e070fba7b21f58369b4c56ea4cc1e952a13,97586,301,859187,1772761744423,1784708567949,True
agentskill-observability-paper,/home/yunwei37/workspace/agentsight-agent-nebula-research/docs/tmp/build-and-evaluate/rq1-rq4-recompute-final/rq1-raw/events/agentskill-observability-paper.json,json,1521256,d155917232097f7ec81ba4088a0b769a069507c066d8f1f62093b84f4913f5c5,991,8,4871,1783829815232,1783842131999,True
bpf-developer-tutorial,/home/yunwei37/workspace/agentsight-agent-nebula-research/docs/tmp/build-and-evaluate/rq1-rq4-recompute-final/rq1-raw/events/bpf-developer-tutorial.json,json,2658241,fd6ac68746ed4433de48f663630527ff6a80bb1236acd190ad408e6d11711a56,1664,35,4054,1768125090460,1784695567024,True
eunomia.dev,/home/yunwei37/workspace/agentsight-agent-nebula-research/docs/tmp/build-and-evaluate/rq1-rq4-recompute-final/rq1-raw/events/eunomia-dev.json,json,21112046,68bc4fb4792573849413c41b90c1738415ab935a625f06543657bca7747de7b9,13876,51,27523,1772828580824,1784708509839,True
