stratum_type,project,vendor,tool_name,tool_family,calls,share,ok,fail,observed,decisive_failure_rate
project_vendor,bpf-developer-tutorial,claude,Agent,task,12,0.011406844106463879,12,0,0,0.0
project_vendor,bpf-developer-tutorial,claude,Bash,shell,349,0.33174904942965777,333,16,0,0.045845272206303724
project_vendor,bpf-developer-tutorial,claude,Edit,edit,230,0.21863117870722434,218,12,0,0.05217391304347826
project_vendor,bpf-developer-tutorial,claude,Grep,search,5,0.004752851711026616,5,0,0,0.0
project_vendor,bpf-developer-tutorial,claude,Monitor,wait/control,1,0.0009505703422053232,0,1,0,1.0
project_vendor,bpf-developer-tutorial,claude,Read,read,396,0.376425855513308,377,19,0,0.047979797979797977
project_vendor,bpf-developer-tutorial,claude,Skill,skill,3,0.0028517110266159697,3,0,0,0.0
project_vendor,bpf-developer-tutorial,claude,ToolSearch,tool discovery,6,0.005703422053231939,6,0,0,0.0
project_vendor,bpf-developer-tutorial,claude,Write,write,50,0.04752851711026616,47,3,0,0.06
project_vendor,bpf-developer-tutorial,codex,apply_patch,edit,18,0.030252100840336135,0,0,18,
project_vendor,bpf-developer-tutorial,codex,close_agent,coordination,1,0.0016806722689075631,0,0,1,
project_vendor,bpf-developer-tutorial,codex,exec,shell,159,0.2672268907563025,119,1,39,0.008333333333333333
project_vendor,bpf-developer-tutorial,codex,exec_command,shell,347,0.5831932773109244,309,28,10,0.0830860534124629
project_vendor,bpf-developer-tutorial,codex,followup_task,coordination,1,0.0016806722689075631,0,0,1,
project_vendor,bpf-developer-tutorial,codex,list_agents,coordination,1,0.0016806722689075631,0,0,1,
project_vendor,bpf-developer-tutorial,codex,send_message,coordination,6,0.010084033613445379,0,0,6,
project_vendor,bpf-developer-tutorial,codex,spawn_agent,task,2,0.0033613445378151263,0,0,2,
project_vendor,bpf-developer-tutorial,codex,update_plan,plan/goal,4,0.0067226890756302525,0,0,4,
project_vendor,bpf-developer-tutorial,codex,wait,wait/control,42,0.07058823529411765,39,0,3,0.0
project_vendor,bpf-developer-tutorial,codex,wait_agent,coordination,3,0.005042016806722689,0,0,3,
project_vendor,bpf-developer-tutorial,codex,write_stdin,wait/control,11,0.018487394957983194,8,2,1,0.2
project_vendor,bpf-developer-tutorial,gemini,list_directory,other,2,0.11764705882352941,2,0,0,0.0
project_vendor,bpf-developer-tutorial,gemini,read_file,read,11,0.6470588235294118,11,0,0,0.0
project_vendor,bpf-developer-tutorial,gemini,write_file,write,4,0.23529411764705882,4,0,0,0.0
project,eunomia.dev,ALL,Agent,task,78,0.0056212164889017004,75,3,0,0.038461538461538464
project,eunomia.dev,ALL,AskUserQuestion,other,1,7.206687806284232e-05,1,0,0,0.0
project,eunomia.dev,ALL,Bash,shell,1303,0.09390314211588353,1249,54,0,0.04144282425172678
project,eunomia.dev,ALL,Edit,edit,572,0.041222254251945804,560,11,1,0.01926444833625219
project,eunomia.dev,ALL,Grep,search,4,0.0002882675122513693,4,0,0,0.0
project,eunomia.dev,ALL,Monitor,wait/control,6,0.0004324012683770539,6,0,0,0.0
project,eunomia.dev,ALL,Read,read,496,0.03574517151916979,491,5,0,0.010080645161290322
project,eunomia.dev,ALL,ReportFindings,other,1,7.206687806284232e-05,1,0,0,0.0
project,eunomia.dev,ALL,SendMessage,coordination,11,0.0007927356586912655,11,0,0,0.0
project,eunomia.dev,ALL,SendUserFile,multimodal,1,7.206687806284232e-05,1,0,0,0.0
project,eunomia.dev,ALL,Skill,skill,5,0.0003603343903142116,5,0,0,0.0
project,eunomia.dev,ALL,TaskCreate,task,4,0.0002882675122513693,4,0,0,0.0
project,eunomia.dev,ALL,TaskStop,task,3,0.00021620063418852694,3,0,0,0.0
project,eunomia.dev,ALL,TaskUpdate,task,7,0.0005044681464398962,7,0,0,0.0
project,eunomia.dev,ALL,ToolSearch,tool discovery,59,0.004251945805707697,59,0,0,0.0
project,eunomia.dev,ALL,WebFetch,fetch,309,0.022268665321418277,305,4,0,0.012944983818770227
project,eunomia.dev,ALL,WebSearch,search,392,0.028250216200634188,392,0,0,0.0
project,eunomia.dev,ALL,Write,write,64,0.004612280196021909,62,2,0,0.03125
project,eunomia.dev,ALL,_add_comment_to_issue,other,2,0.00014413375612568464,0,0,2,
project,eunomia.dev,ALL,_create_pull_request,other,3,0.00021620063418852694,0,3,0,1.0
project,eunomia.dev,ALL,_fetch,fetch,7,0.0005044681464398962,0,3,4,1.0
project,eunomia.dev,ALL,_get_repo,other,2,0.00014413375612568464,0,0,2,
project,eunomia.dev,ALL,_mark_pull_request_ready_for_review,other,1,7.206687806284232e-05,0,1,0,1.0
project,eunomia.dev,ALL,apply_patch,edit,460,0.03315076390890746,0,0,460,
project,eunomia.dev,ALL,close_agent,coordination,3,0.00021620063418852694,0,1,2,1.0
project,eunomia.dev,ALL,exec,shell,3383,0.24380224848659557,2665,68,650,0.024881083058909622
project,eunomia.dev,ALL,exec_command,shell,3431,0.24726145863361199,2921,113,397,0.03724456163480554
project,eunomia.dev,ALL,followup_task,coordination,19,0.001369270683194004,0,0,19,
project,eunomia.dev,ALL,interrupt_agent,coordination,3,0.00021620063418852694,0,0,3,
project,eunomia.dev,ALL,list_agents,coordination,43,0.0030988757567022196,0,1,42,1.0
project,eunomia.dev,ALL,send_input,wait/control,1,7.206687806284232e-05,0,0,1,
project,eunomia.dev,ALL,send_message,coordination,49,0.0035312770250792735,0,0,49,
project,eunomia.dev,ALL,spawn_agent,task,28,0.002017872585759585,0,0,28,
project,eunomia.dev,ALL,update_plan,plan/goal,28,0.002017872585759585,0,0,28,
project,eunomia.dev,ALL,view_image,multimodal,28,0.002017872585759585,0,0,28,
project,eunomia.dev,ALL,wait,wait/control,937,0.06752666474488325,623,18,296,0.028081123244929798
project,eunomia.dev,ALL,wait_agent,coordination,96,0.006918420294032862,0,1,95,1.0
project,eunomia.dev,ALL,write_stdin,wait/control,2036,0.14672816373594696,324,65,1647,0.16709511568123395
project_vendor,eunomia.dev,claude,Agent,task,78,0.023522316043425813,75,3,0,0.038461538461538464
project_vendor,eunomia.dev,claude,AskUserQuestion,other,1,0.00030156815440289503,1,0,0,0.0
project_vendor,eunomia.dev,claude,Bash,shell,1303,0.39294330518697224,1249,54,0,0.04144282425172678
project_vendor,eunomia.dev,claude,Edit,edit,572,0.17249698431845598,560,11,1,0.01926444833625219
project_vendor,eunomia.dev,claude,Grep,search,4,0.0012062726176115801,4,0,0,0.0
project_vendor,eunomia.dev,claude,Monitor,wait/control,6,0.0018094089264173703,6,0,0,0.0
project_vendor,eunomia.dev,claude,Read,read,496,0.14957780458383596,491,5,0,0.010080645161290322
project_vendor,eunomia.dev,claude,ReportFindings,other,1,0.00030156815440289503,1,0,0,0.0
project_vendor,eunomia.dev,claude,SendMessage,coordination,11,0.0033172496984318458,11,0,0,0.0
project_vendor,eunomia.dev,claude,SendUserFile,multimodal,1,0.00030156815440289503,1,0,0,0.0
project_vendor,eunomia.dev,claude,Skill,skill,5,0.0015078407720144752,5,0,0,0.0
project_vendor,eunomia.dev,claude,TaskCreate,task,4,0.0012062726176115801,4,0,0,0.0
project_vendor,eunomia.dev,claude,TaskStop,task,3,0.0009047044632086852,3,0,0,0.0
project_vendor,eunomia.dev,claude,TaskUpdate,task,7,0.0021109770808202654,7,0,0,0.0
project_vendor,eunomia.dev,claude,ToolSearch,tool discovery,59,0.01779252110977081,59,0,0,0.0
project_vendor,eunomia.dev,claude,WebFetch,fetch,309,0.09318455971049457,305,4,0,0.012944983818770227
project_vendor,eunomia.dev,claude,WebSearch,search,392,0.11821471652593486,392,0,0,0.0
project_vendor,eunomia.dev,claude,Write,write,64,0.019300361881785282,62,2,0,0.03125
project_vendor,eunomia.dev,codex,_add_comment_to_issue,other,2,0.0001893939393939394,0,0,2,
project_vendor,eunomia.dev,codex,_create_pull_request,other,3,0.0002840909090909091,0,3,0,1.0
project_vendor,eunomia.dev,codex,_fetch,fetch,7,0.0006628787878787879,0,3,4,1.0
project_vendor,eunomia.dev,codex,_get_repo,other,2,0.0001893939393939394,0,0,2,
project_vendor,eunomia.dev,codex,_mark_pull_request_ready_for_review,other,1,9.46969696969697e-05,0,1,0,1.0
project_vendor,eunomia.dev,codex,apply_patch,edit,460,0.043560606060606064,0,0,460,
project_vendor,eunomia.dev,codex,close_agent,coordination,3,0.0002840909090909091,0,1,2,1.0
project_vendor,eunomia.dev,codex,exec,shell,3383,0.3203598484848485,2665,68,650,0.024881083058909622
project_vendor,eunomia.dev,codex,exec_command,shell,3431,0.324905303030303,2921,113,397,0.03724456163480554
project_vendor,eunomia.dev,codex,followup_task,coordination,19,0.0017992424242424243,0,0,19,
project_vendor,eunomia.dev,codex,interrupt_agent,coordination,3,0.0002840909090909091,0,0,3,
project_vendor,eunomia.dev,codex,list_agents,coordination,43,0.004071969696969697,0,1,42,1.0
project_vendor,eunomia.dev,codex,send_input,wait/control,1,9.46969696969697e-05,0,0,1,
project_vendor,eunomia.dev,codex,send_message,coordination,49,0.0046401515151515155,0,0,49,
project_vendor,eunomia.dev,codex,spawn_agent,task,28,0.0026515151515151517,0,0,28,
project_vendor,eunomia.dev,codex,update_plan,plan/goal,28,0.0026515151515151517,0,0,28,
project_vendor,eunomia.dev,codex,view_image,multimodal,28,0.0026515151515151517,0,0,28,
project_vendor,eunomia.dev,codex,wait,wait/control,937,0.0887310606060606,623,18,296,0.028081123244929798
project_vendor,eunomia.dev,codex,wait_agent,coordination,96,0.00909090909090909,0,1,95,1.0
project_vendor,eunomia.dev,codex,write_stdin,wait/control,2036,0.1928030303030303,324,65,1647,0.16709511568123395
