stratum_type,project,vendor,sequence_scope,sequence_granularity,from_family,to_family,count,conditional_probability,all_transition_share
overall,ALL,ALL,full_stream,hybrid_shell,multimodal,plan/goal,6,0.0425531914893617,3.34476126766452e-05
overall,ALL,ALL,full_stream,hybrid_shell,multimodal,read,7,0.04964539007092199,3.9022214789419405e-05
overall,ALL,ALL,full_stream,hybrid_shell,multimodal,shell:build/check,3,0.02127659574468085,1.67238063383226e-05
overall,ALL,ALL,full_stream,hybrid_shell,multimodal,shell:data/analysis/runtime,3,0.02127659574468085,1.67238063383226e-05
overall,ALL,ALL,full_stream,hybrid_shell,multimodal,shell:filesystem/navigation,13,0.09219858156028368,7.246982746606461e-05
overall,ALL,ALL,full_stream,hybrid_shell,multimodal,shell:git/repository,6,0.0425531914893617,3.34476126766452e-05
overall,ALL,ALL,full_stream,hybrid_shell,multimodal,shell:network/remote,1,0.0070921985815602835,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,multimodal,shell:other,6,0.0425531914893617,3.34476126766452e-05
overall,ALL,ALL,full_stream,hybrid_shell,multimodal,shell:process/system,2,0.014184397163120567,1.1149204225548402e-05
overall,ALL,ALL,full_stream,hybrid_shell,multimodal,shell:search/text,26,0.18439716312056736,0.00014493965493212922
overall,ALL,ALL,full_stream,hybrid_shell,multimodal,shell:test,1,0.0070921985815602835,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,multimodal,task,3,0.02127659574468085,1.67238063383226e-05
overall,ALL,ALL,full_stream,hybrid_shell,multimodal,wait/control,6,0.0425531914893617,3.34476126766452e-05
overall,ALL,ALL,full_stream,hybrid_shell,multimodal,write,1,0.0070921985815602835,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,other,edit,2,0.03773584905660377,1.1149204225548402e-05
overall,ALL,ALL,full_stream,hybrid_shell,other,fetch,2,0.03773584905660377,1.1149204225548402e-05
overall,ALL,ALL,full_stream,hybrid_shell,other,other,7,0.1320754716981132,3.9022214789419405e-05
overall,ALL,ALL,full_stream,hybrid_shell,other,read,6,0.11320754716981132,3.34476126766452e-05
overall,ALL,ALL,full_stream,hybrid_shell,other,shell:filesystem/navigation,8,0.1509433962264151,4.4596816902193607e-05
overall,ALL,ALL,full_stream,hybrid_shell,other,shell:git/repository,20,0.37735849056603776,0.00011149204225548402
overall,ALL,ALL,full_stream,hybrid_shell,other,shell:lint/format,4,0.07547169811320754,2.2298408451096803e-05
overall,ALL,ALL,full_stream,hybrid_shell,other,shell:search/text,2,0.03773584905660377,1.1149204225548402e-05
overall,ALL,ALL,full_stream,hybrid_shell,other,shell:test,2,0.03773584905660377,1.1149204225548402e-05
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,coordination,5,0.0032851511169513796,2.7873010563871005e-05
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,edit,117,0.07687253613666228,0.0006522284471945815
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,plan/goal,142,0.09329829172141918,0.0007915935000139366
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,read,2,0.001314060446780552,1.1149204225548402e-05
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,shell:build/check,5,0.0032851511169513796,2.7873010563871005e-05
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,shell:container/orchestration,7,0.0045992115637319315,3.9022214789419405e-05
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,shell:data/analysis/runtime,150,0.09855453350854139,0.0008361903169161301
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,shell:filesystem/navigation,63,0.04139290407358739,0.00035119993310477466
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,shell:git/repository,265,0.17411300919842312,0.0014772695598851632
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,shell:lint/format,35,0.022996057818659658,0.00019511107394709702
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,shell:network/remote,1,0.000657030223390276,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,shell:other,31,0.020367936925098553,0.0001728126654960002
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,shell:process/system,15,0.00985545335085414,8.361903169161301e-05
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,shell:search/text,612,0.4021024967148489,0.003411656493017811
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,shell:test,28,0.018396846254927726,0.00015608885915767762
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,task,20,0.013140604467805518,0.00011149204225548402
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,wait/control,21,0.013797634691195795,0.00011706664436825822
overall,ALL,ALL,full_stream,hybrid_shell,plan/goal,write,3,0.0019710906701708277,1.67238063383226e-05
overall,ALL,ALL,full_stream,hybrid_shell,read,edit,2482,0.28207750880781907,0.013836162443905566
overall,ALL,ALL,full_stream,hybrid_shell,read,fetch,7,0.0007955449482895784,3.9022214789419405e-05
overall,ALL,ALL,full_stream,hybrid_shell,read,multimodal,6,0.0006818956699624957,3.34476126766452e-05
overall,ALL,ALL,full_stream,hybrid_shell,read,network/other,2,0.00022729855665416524,1.1149204225548402e-05
overall,ALL,ALL,full_stream,hybrid_shell,read,other,12,0.0013637913399249914,6.68952253532904e-05
overall,ALL,ALL,full_stream,hybrid_shell,read,read,4375,0.4972155926809865,0.02438888424338713
overall,ALL,ALL,full_stream,hybrid_shell,read,search,27,0.003068530514831231,0.00015051425704490343
overall,ALL,ALL,full_stream,hybrid_shell,read,shell:build/check,10,0.0011364927832708263,5.574602112774201e-05
overall,ALL,ALL,full_stream,hybrid_shell,read,shell:container/orchestration,1,0.00011364927832708262,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,read,shell:data/analysis/runtime,20,0.0022729855665416525,0.00011149204225548402
overall,ALL,ALL,full_stream,hybrid_shell,read,shell:filesystem/navigation,399,0.045346062052505964,0.002224266242996906
overall,ALL,ALL,full_stream,hybrid_shell,read,shell:git/repository,107,0.012160472780997841,0.0005964824260668394
overall,ALL,ALL,full_stream,hybrid_shell,read,shell:lint/format,5,0.0005682463916354131,2.7873010563871005e-05
overall,ALL,ALL,full_stream,hybrid_shell,read,shell:network/remote,2,0.00022729855665416524,1.1149204225548402e-05
overall,ALL,ALL,full_stream,hybrid_shell,read,shell:other,8,0.000909194226616661,4.4596816902193607e-05
overall,ALL,ALL,full_stream,hybrid_shell,read,shell:process/system,7,0.0007955449482895784,3.9022214789419405e-05
overall,ALL,ALL,full_stream,hybrid_shell,read,shell:search/text,1045,0.11876349585180133,0.00582545920784904
overall,ALL,ALL,full_stream,hybrid_shell,read,shell:test,17,0.0019320377315604046,9.476823591716141e-05
overall,ALL,ALL,full_stream,hybrid_shell,read,skill,18,0.002045687009887487,0.00010034283802993562
overall,ALL,ALL,full_stream,hybrid_shell,read,task,48,0.005455165359699966,0.0002675809014131616
overall,ALL,ALL,full_stream,hybrid_shell,read,tool discovery,10,0.0011364927832708263,5.574602112774201e-05
overall,ALL,ALL,full_stream,hybrid_shell,read,write,191,0.021707012160472782,0.0010647490035398724
overall,ALL,ALL,full_stream,hybrid_shell,search,edit,8,0.004248539564524694,4.4596816902193607e-05
