stratum_type,project,vendor,sessions,calls,calls_p50,calls_p90,calls_p99,active_span_hours_p50,active_span_hours_p90,calls_per_capped_active_hour_p50,tool_family_entropy_bits_p50,stream_local_switch_rate_p50,session_call_gini,top_10pct_sessions_call_share
overall,ALL,ALL,551,181303,20.0,527.0,4975.5,0.052726944444444444,9.653358888888889,554.5091273962715,0.5197027865043055,0.18573355583368098,0.8970943979202457,0.8452204320943393
vendor,ALL,claude,265,36826,22.0,360.6,1471.920000000005,0.06897055555555555,8.608626,565.0140379915417,0.9774178175281716,0.25,0.7831382462554655,0.6634986151088904
vendor,ALL,codex,283,144433,19.0,837.6000000000017,9684.040000000032,0.03655138888888889,9.763376611111113,543.4085114525869,-0.0,0.1016949152542373,0.9172052068893057,0.8825199227323396
vendor,ALL,gemini,3,44,14.0,16.400000000000002,16.94,0.04399388888888889,0.14136033333333334,453.6290322580645,1.2607717938967942,0.46153846153846156,0.060606060606060774,0.38636363636363635
project,ActPlane,ALL,139,66238,53.0,1066.8000000000002,7876.420000000011,0.18979527777777777,17.901183944444448,611.6752295804847,0.8021075596998873,0.19708677038738645,0.8298592322735912,0.746973036625502
project_vendor,ActPlane,claude,62,17994,91.5,562.4,2713.28,1.3097661111111112,19.74621222222222,713.0752578314039,1.493694278705506,0.3333333333333333,0.70293144309752,0.5766922307435812
project_vendor,ActPlane,codex,77,48244,48.0,1197.6000000000015,9964.719999999976,0.10818722222222223,16.694058611111117,563.3644105260421,-0.0,0.05661881977671451,0.8648751961080956,0.8138835917419783
project,academic-writing-skills,ALL,17,948,21.0,160.80000000000007,263.28,0.03015,1.8702115,769.8339154608311,1.1062896580768227,0.18681318681318682,0.6531397369074212,0.5432489451476793
project_vendor,academic-writing-skills,claude,17,948,21.0,160.80000000000007,263.28,0.03015,1.8702115,769.8339154608311,1.1062896580768227,0.18681318681318682,0.6531397369074212,0.5432489451476793
project,agentsight,ALL,301,97586,10.0,339.0,2235.0,0.010956666666666667,4.7870888888888885,532.3470260436964,-0.0,0.15906593406593406,0.9387888069833012,0.9196503596827413
project_vendor,agentsight,claude,123,12525,18.0,243.79999999999995,1324.58,0.040370277777777776,2.301979888888889,494.65734225628273,0.74959525725948,0.25,0.8061262840173313,0.7630339321357286
project_vendor,agentsight,codex,176,85034,1.0,427.0,10807.25,0.0,8.1073475,547.8941979068313,-0.0,0.10204081632653061,0.9509725521556085,0.9393066302890608
project_vendor,agentsight,gemini,2,27,13.5,13.899999999999999,13.99,0.03134861111111111,0.04146483333333333,522.0126301815775,1.4062241281448344,0.5641025641025641,0.0185185185185186,0.5185185185185185
project,agentskill-observability-paper,ALL,8,991,24.5,390.7,446.77,0.3930120833333333,2.3895153055555554,353.0694590363236,1.7168537427941577,0.5188492063492063,0.6456861755802219,0.4571140262361251
project_vendor,agentskill-observability-paper,claude,8,991,24.5,390.7,446.77,0.3930120833333333,2.3895153055555554,353.0694590363236,1.7168537427941577,0.5188492063492063,0.6456861755802219,0.4571140262361251
project,bpf-developer-tutorial,ALL,35,1664,19.0,117.2,299.75999999999954,0.056835555555555556,1.0107840555555565,511.5727877941565,1.0145654022811204,0.16333333333333333,0.6260645604395605,0.4969951923076923
project_vendor,bpf-developer-tutorial,claude,31,1052,18.0,94.0,142.49999999999997,0.04800027777777778,0.5806055555555556,517.5893452696191,1.3092966682370037,0.16333333333333333,0.563166932417515,0.45722433460076045
project_vendor,bpf-developer-tutorial,codex,3,595,210.0,318.8,343.28,0.5413897222222223,3.1716937222222223,523.9293015117229,0.6205203419564198,0.15835777126099707,0.3439775910364147,0.5815126050420169
project_vendor,bpf-developer-tutorial,gemini,1,17,17.0,17.0,17.0,0.16570194444444444,0.16570194444444444,453.6290322580645,1.2607717938967942,0.42857142857142855,0.0,1.0
project,eunomia.dev,ALL,51,13876,42.0,981.0,2146.0,0.10276444444444445,21.40034,538.8214373264101,0.9182958340544896,0.20652173913043478,0.749523793374369,0.6326030556356299
project_vendor,eunomia.dev,claude,24,3316,21.5,356.59999999999997,931.5499999999998,0.0833975,10.337550111111103,777.1316996724486,1.3954174267723527,0.24967814612166075,0.737233614796944,0.6369119420989143
project_vendor,eunomia.dev,codex,27,10560,74.0,1187.8000000000006,2325.999999999999,0.14486694444444445,39.759028944444516,414.0744450451227,0.5197027865043055,0.10714285714285714,0.711223344556678,0.5315340909090909
