stratum_type,project,vendor,scope,preceding_tool_family,gaps,gap_ms_p50,gap_ms_p90,gap_ms_p95,gap_ms_p99,gap_ms_max,gap_le_1s_share,gap_le_10s_share,gap_gt_60s_count,gap_gt_60s_share,gap_gt_10m_count,gap_gt_10m_share,share_of_stratum_gaps_gt_60s
overall,ALL,ALL,all_adjacent,skill,75,5504.0,11249.0,18947.499999999996,110360.98000000003,113597,0.06666666666666667,0.8,3,0.04,0,0.0,0.00038427052645062125
overall,ALL,ALL,all_adjacent,task,1583,9748.0,152921.59999999998,319544.99999999965,1604731.3200000075,66491206,0.04611497157296273,0.5161086544535691,266,0.16803537586860393,36,0.022741629816803537,0.03407198667862175
overall,ALL,ALL,all_adjacent,tool discovery,308,4222.5,8555.900000000001,21921.84999999999,52141.95,5790467,0.006493506493506494,0.9123376623376623,3,0.00974025974025974,1,0.003246753246753247,0.00038427052645062125
overall,ALL,ALL,all_adjacent,wait/control,15895,31178.0,42343.2,65096.5,190396.71999999994,48891131,0.05391632588864423,0.22365523749606794,1069,0.06725385341302297,23,0.0014469959106637308,0.1369283975919047
overall,ALL,ALL,all_adjacent,write,645,8049.0,96648.40000000001,161297.19999999995,1240212.0399999537,45103600,0.0031007751937984496,0.5612403100775194,101,0.15658914728682172,10,0.015503875968992248,0.012937107723837582
overall,ALL,ALL,same_prompt,ALL,172828,6296.0,33346.0,39648.649999999994,104104.60000000021,86242162,0.26447103478603007,0.657810077070845,4596,0.026592913185363484,182,0.0010530701043812345,1.0
overall,ALL,ALL,same_prompt,coordination,6373,30843.0,65022.799999999996,103527.79999999971,327238.8399999993,21678359,0.008316334536325121,0.27585124745018047,862,0.13525812019457084,37,0.005805742978189236,0.1875543951261967
overall,ALL,ALL,same_prompt,edit,16271,6392.0,17886.0,26069.5,57979.69999999995,21869309,0.009403232745375207,0.7454366664618032,144,0.00885010140741196,5,0.0003072951877573597,0.031331592689295036
overall,ALL,ALL,same_prompt,fetch,1203,1569.0,14914.599999999995,21189.899999999994,41228.060000000034,92530,0.3200332502078138,0.7822111388196176,5,0.004156275976724855,0,0.0,0.0010879025239338555
overall,ALL,ALL,same_prompt,multimodal,100,8478.5,21914.500000000015,29250.599999999995,68697.16000000009,86236,0.26,0.6,4,0.04,0,0.0,0.0008703220191470844
overall,ALL,ALL,same_prompt,other,49,11282.0,58441.000000000015,104106.39999999979,444552.9999999983,649081,0.12244897959183673,0.40816326530612246,5,0.10204081632653061,1,0.02040816326530612,0.0010879025239338555
overall,ALL,ALL,same_prompt,plan/goal,1400,8258.0,29066.400000000016,43236.949999999975,145829.37999999983,62192492,0.0035714285714285713,0.6535714285714286,46,0.032857142857142856,6,0.004285714285714286,0.010008703220191472
overall,ALL,ALL,same_prompt,read,7769,3841.0,14635.399999999994,27751.999999999964,117094.83999999991,503098,0.2799588106577423,0.8397477152786716,163,0.020980821212511262,0,0.0,0.03546562228024369
overall,ALL,ALL,same_prompt,search,1868,943.0,14985.699999999999,19022.85,36798.02,216986,0.5251605995717344,0.6670235546038544,4,0.0021413276231263384,0,0.0,0.0008703220191470844
overall,ALL,ALL,same_prompt,shell,119803,5259.0,21976.20000000001,34639.49999999997,82308.79999999996,86242162,0.34210328622822467,0.7100489971035784,2220,0.018530420774104155,115,0.0009599091842441342,0.4830287206266319
overall,ALL,ALL,same_prompt,skill,67,5486.0,11024.599999999999,12899.699999999999,38602.840000000186,75514,0.07462686567164178,0.8059701492537313,1,0.014925373134328358,0,0.0,0.0002175805047867711
overall,ALL,ALL,same_prompt,task,1328,8595.0,26282.499999999993,75051.39999999941,345714.0,8057952,0.054969879518072286,0.6106927710843374,75,0.05647590361445783,8,0.006024096385542169,0.016318537859007835
overall,ALL,ALL,same_prompt,tool discovery,301,4198.0,8166.0,18705.0,38761.0,52164,0.006644518272425249,0.9302325581395349,0,0.0,0,0.0,0.0
overall,ALL,ALL,same_prompt,wait/control,15780,30610.0,42000.100000000006,64655.399999999994,187557.0599999999,48891131,0.05430925221799746,0.22503168567807352,1026,0.0650190114068441,9,0.0005703422053231939,0.22323759791122716
overall,ALL,ALL,same_prompt,write,516,6555.0,48363.5,89625.0,147682.05000000008,1613006,0.003875968992248062,0.6453488372093024,41,0.07945736434108527,1,0.001937984496124031,0.008920800696257615
vendor,ALL,claude,all_adjacent,ALL,35948,4718.5,33131.899999999994,89508.90000000004,546617.1299999999,136959829,0.14128741515522422,0.7540892400133526,2442,0.06793145654834762,333,0.009263380438411038,1.0
vendor,ALL,claude,all_adjacent,coordination,13,63048.0,580495.6000000003,30709515.399999894,66755924.679999925,75767527,0.0,0.3076923076923077,7,0.5384615384615384,2,0.15384615384615385,0.0028665028665028664
vendor,ALL,claude,all_adjacent,edit,8312,5115.0,29652.700000000004,79298.44999999998,465523.4499999959,98770358,0.018407122232916264,0.7755052935514918,520,0.06256015399422522,61,0.00733878729547642,0.21294021294021295
vendor,ALL,claude,all_adjacent,fetch,1209,1683.0,15742.800000000003,24038.799999999996,65044.84000000016,3311714,0.3134822167080232,0.7725392886683209,14,0.011579818031430935,2,0.0016542597187758478,0.005733005733005733
vendor,ALL,claude,all_adjacent,multimodal,28,73624.5,418932.8000000001,1126541.7999999986,3805081.2000000016,4677813,0.0,0.07142857142857142,15,0.5357142857142857,2,0.07142857142857142,0.006142506142506142
vendor,ALL,claude,all_adjacent,other,16,72779.0,947052.0,7537535.25,22639564.64999999,26415072,0.0,0.125,9,0.5625,3,0.1875,0.0036855036855036856
vendor,ALL,claude,all_adjacent,plan/goal,15,6921.0,52099.2,361896.3999999989,939753.6799999995,1084218,0.0,0.6,1,0.06666666666666667,1,0.06666666666666667,0.0004095004095004095
vendor,ALL,claude,all_adjacent,read,8780,4307.5,33398.1,87028.59999999957,426356.78999999864,40064545,0.24669703872437357,0.7724373576309795,588,0.06697038724373576,69,0.00785876993166287,0.24078624078624078
vendor,ALL,claude,all_adjacent,search,1869,944.0,15198.8,20162.0,37578.43999999988,252712,0.5238095238095238,0.6629213483146067,6,0.0032102728731942215,0,0.0,0.002457002457002457
