stratum_type,project,vendor,covered_calls,all_calls,native_batch_coverage,batches,multi_call_batches,multi_call_batch_share,calls_in_multi_call_batches,batched_call_share,batch_size_p50,batch_size_p90,batch_size_max,shared_path_multi_batches,disjoint_path_multi_batches,unknown_dependency_multi_batches
overall,ALL,ALL,181303,181303,1.0,140590,19510,0.13877231666548118,60223,0.332167697169931,1.0,2.0,9,1975,1602,15933
vendor,ALL,claude,36826,36826,1.0,36826,0,0.0,0,0.0,1.0,1.0,1,0,0,0
vendor,ALL,codex,144433,144433,1.0,103732,19503,0.18801334207380557,60204,0.41682994883440766,1.0,3.0,9,1975,1599,15929
vendor,ALL,gemini,44,44,1.0,32,7,0.21875,19,0.4318181818181818,1.0,2.0,6,0,3,4
project,ActPlane,ALL,66238,66238,1.0,48811,8893,0.18219253856712625,26320,0.3973549926024336,1.0,3.0,9,827,506,7560
project_vendor,ActPlane,claude,17994,17994,1.0,17994,0,0.0,0,0.0,1.0,1.0,1,0,0,0
project_vendor,ActPlane,codex,48244,48244,1.0,30817,8893,0.28857448810721353,26320,0.5455600696459664,1.0,3.0,9,827,506,7560
project,academic-writing-skills,ALL,948,948,1.0,948,0,0.0,0,0.0,1.0,1.0,1,0,0,0
project_vendor,academic-writing-skills,claude,948,948,1.0,948,0,0.0,0,0.0,1.0,1.0,1,0,0,0
project,agentsight,ALL,97586,97586,1.0,76427,9618,0.12584557813338218,30777,0.31538335416965546,1.0,2.0,9,1096,960,7562
project_vendor,agentsight,claude,12525,12525,1.0,12525,0,0.0,0,0.0,1.0,1.0,1,0,0,0
project_vendor,agentsight,codex,85034,85034,1.0,63877,9616,0.15053931775130328,30773,0.36189053790248604,1.0,3.0,9,1096,960,7560
project_vendor,agentsight,gemini,27,27,1.0,25,2,0.08,4,0.14814814814814814,1.0,1.0,2,0,0,2
project,agentskill-observability-paper,ALL,991,991,1.0,991,0,0.0,0,0.0,1.0,1.0,1,0,0,0
project_vendor,agentskill-observability-paper,claude,991,991,1.0,991,0,0.0,0,0.0,1.0,1.0,1,0,0,0
project,bpf-developer-tutorial,ALL,1664,1664,1.0,1425,111,0.07789473684210527,350,0.21033653846153846,1.0,1.0,6,7,22,82
project_vendor,bpf-developer-tutorial,claude,1052,1052,1.0,1052,0,0.0,0,0.0,1.0,1.0,1,0,0,0
project_vendor,bpf-developer-tutorial,codex,595,595,1.0,366,106,0.2896174863387978,335,0.5630252100840336,1.0,3.0,6,7,19,80
project_vendor,bpf-developer-tutorial,gemini,17,17,1.0,7,5,0.7142857142857143,15,0.8823529411764706,2.0,4.200000000000001,6,0,3,2
project,eunomia.dev,ALL,13876,13876,1.0,11988,888,0.07407407407407407,2776,0.20005765350245028,1.0,1.0,9,45,114,729
project_vendor,eunomia.dev,claude,3316,3316,1.0,3316,0,0.0,0,0.0,1.0,1.0,1,0,0,0
project_vendor,eunomia.dev,codex,10560,10560,1.0,8672,888,0.10239852398523985,2776,0.2628787878787879,1.0,2.0,9,45,114,729
