stratum_type,project,vendor,tool_family,source_category,projected_effect,calls,share,ok,fail,observed
project_vendor,ActPlane,claude,other,tool,process,58,0.003223296654440369,58,0,0
project_vendor,ActPlane,claude,plan/goal,plan,process,9,0.0005001667222407469,3,6,0
project_vendor,ActPlane,claude,read,read,network,11,0.0006113148827386907,11,0,0
project_vendor,ActPlane,claude,read,read,process,4228,0.2349672112926531,4197,30,1
project_vendor,ActPlane,claude,read,read,test,4,0.0002222963209958875,4,0,0
project_vendor,ActPlane,claude,search,network,network,12,0.0006668889629876625,12,0,0
project_vendor,ActPlane,claude,search,network,process,1141,0.06341002556407692,1128,5,8
project_vendor,ActPlane,claude,search,read,process,26,0.0014449260864732689,26,0,0
project_vendor,ActPlane,claude,shell,shell,network,88,0.0048905190619095255,73,15,0
project_vendor,ActPlane,claude,shell,shell,process,1714,0.0952539735467378,1637,77,0
project_vendor,ActPlane,claude,shell,shell,read,3124,0.17361342669778815,3065,59,0
project_vendor,ActPlane,claude,shell,shell,repo,159,0.008836278759586529,139,20,0
project_vendor,ActPlane,claude,shell,shell,test,548,0.03045459597643659,500,48,0
project_vendor,ActPlane,claude,shell,shell,write,195,0.010836945648549517,186,9,0
project_vendor,ActPlane,claude,skill,tool,process,23,0.0012782038457263532,23,0,0
project_vendor,ActPlane,claude,task,network,network,12,0.0006668889629876625,12,0,0
project_vendor,ActPlane,claude,task,subagent,network,1,5.5574080248971876e-05,1,0,0
project_vendor,ActPlane,claude,task,subagent,process,284,0.015783038790708012,268,7,9
project_vendor,ActPlane,claude,tool discovery,network,process,195,0.010836945648549517,195,0,0
project_vendor,ActPlane,claude,write,edit,process,370,0.020562409692119595,364,5,1
project_vendor,ActPlane,codex,coordination,subagent,process,250,0.005181991542989802,0,5,245
project_vendor,ActPlane,codex,coordination,tool,process,40,0.0008291186468783683,0,0,40
project_vendor,ActPlane,codex,edit,edit,write,3790,0.0785589917917254,0,10,3780
project_vendor,ActPlane,codex,multimodal,tool,process,50,0.0010363983085979603,0,2,48
project_vendor,ActPlane,codex,other,tool,process,8,0.00016582372937567366,0,5,3
project_vendor,ActPlane,codex,plan/goal,plan,process,735,0.015235055136390018,0,0,735
