stratum_type,project,vendor,tool_family,analysis_scope,window,behavior,count,share,failed_calls
overall,ALL,ALL,shell,same_prompt_source_stream,next_call,switch_to:read,26,0.006845708267509215,3798
overall,ALL,ALL,shell,same_prompt_source_stream,next_call,switch_to:search,4,0.00105318588730911,3798
overall,ALL,ALL,shell,same_prompt_source_stream,next_call,switch_to:task,10,0.0026329647182727752,3798
overall,ALL,ALL,shell,same_prompt_source_stream,next_call,switch_to:tool discovery,7,0.0018430753027909425,3798
overall,ALL,ALL,shell,same_prompt_source_stream,next_call,switch_to:wait/control,131,0.03449183780937336,3798
overall,ALL,ALL,shell,same_prompt_source_stream,next_call,switch_to:write,1,0.0002632964718272775,3798
overall,ALL,ALL,skill,same_prompt_source_stream,next_call,switch_to:task,1,1.0,1
overall,ALL,ALL,task,same_prompt_source_stream,next_call,end_of_prompt,8,0.5714285714285714,14
overall,ALL,ALL,task,same_prompt_source_stream,next_call,end_of_stream,1,0.07142857142857142,14
overall,ALL,ALL,task,same_prompt_source_stream,next_call,exact_retry_success,2,0.14285714285714285,14
overall,ALL,ALL,task,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,1,0.07142857142857142,14
overall,ALL,ALL,task,same_prompt_source_stream,next_call,switch_to:shell,1,0.07142857142857142,14
overall,ALL,ALL,task,same_prompt_source_stream,next_call,switch_to:write,1,0.07142857142857142,14
overall,ALL,ALL,wait/control,same_prompt_source_stream,next_call,end_of_prompt,7,0.009845288326300985,711
overall,ALL,ALL,wait/control,same_prompt_source_stream,next_call,end_of_stream,2,0.0028129395218002813,711
overall,ALL,ALL,wait/control,same_prompt_source_stream,next_call,exact_retry_not_success,161,0.22644163150492264,711
overall,ALL,ALL,wait/control,same_prompt_source_stream,next_call,exact_retry_success,28,0.03938115330520394,711
overall,ALL,ALL,wait/control,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,61,0.08579465541490858,711
overall,ALL,ALL,wait/control,same_prompt_source_stream,next_call,switch_to:coordination,4,0.005625879043600563,711
overall,ALL,ALL,wait/control,same_prompt_source_stream,next_call,switch_to:edit,49,0.06891701828410689,711
overall,ALL,ALL,wait/control,same_prompt_source_stream,next_call,switch_to:plan/goal,6,0.008438818565400843,711
overall,ALL,ALL,wait/control,same_prompt_source_stream,next_call,switch_to:shell,393,0.5527426160337553,711
overall,ALL,ALL,write,same_prompt_source_stream,next_call,end_of_stream,1,0.06666666666666667,15
overall,ALL,ALL,write,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,1,0.06666666666666667,15
overall,ALL,ALL,write,same_prompt_source_stream,next_call,switch_to:read,11,0.7333333333333333,15
overall,ALL,ALL,write,same_prompt_source_stream,next_call,switch_to:shell,2,0.13333333333333333,15
vendor,ALL,claude,coordination,same_prompt_source_stream,next_call,end_of_prompt,3,1.0,3
vendor,ALL,claude,edit,same_prompt_source_stream,next_call,end_of_prompt,26,0.07428571428571429,350
vendor,ALL,claude,edit,same_prompt_source_stream,next_call,end_of_stream,1,0.002857142857142857,350
vendor,ALL,claude,edit,same_prompt_source_stream,next_call,exact_retry_not_success,35,0.1,350
vendor,ALL,claude,edit,same_prompt_source_stream,next_call,exact_retry_success,15,0.04285714285714286,350
vendor,ALL,claude,edit,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,18,0.05142857142857143,350
vendor,ALL,claude,edit,same_prompt_source_stream,next_call,switch_to:read,205,0.5857142857142857,350
vendor,ALL,claude,edit,same_prompt_source_stream,next_call,switch_to:shell,50,0.14285714285714285,350
vendor,ALL,claude,fetch,same_prompt_source_stream,next_call,end_of_prompt,1,0.02631578947368421,38
vendor,ALL,claude,fetch,same_prompt_source_stream,next_call,end_of_stream,2,0.05263157894736842,38
vendor,ALL,claude,fetch,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,26,0.6842105263157895,38
vendor,ALL,claude,fetch,same_prompt_source_stream,next_call,switch_to:search,9,0.23684210526315788,38
vendor,ALL,claude,multimodal,same_prompt_source_stream,next_call,end_of_stream,1,1.0,1
vendor,ALL,claude,other,same_prompt_source_stream,next_call,end_of_prompt,2,1.0,2
vendor,ALL,claude,plan/goal,same_prompt_source_stream,next_call,switch_to:edit,3,0.5,6
vendor,ALL,claude,plan/goal,same_prompt_source_stream,next_call,switch_to:read,2,0.3333333333333333,6
vendor,ALL,claude,plan/goal,same_prompt_source_stream,next_call,switch_to:shell,1,0.16666666666666666,6
vendor,ALL,claude,read,same_prompt_source_stream,next_call,end_of_prompt,4,0.0392156862745098,102
vendor,ALL,claude,read,same_prompt_source_stream,next_call,exact_retry_not_success,1,0.00980392156862745,102
vendor,ALL,claude,read,same_prompt_source_stream,next_call,exact_retry_success,8,0.0784313725490196,102
vendor,ALL,claude,read,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,44,0.43137254901960786,102
vendor,ALL,claude,read,same_prompt_source_stream,next_call,switch_to:edit,1,0.00980392156862745,102
vendor,ALL,claude,read,same_prompt_source_stream,next_call,switch_to:search,2,0.0196078431372549,102
vendor,ALL,claude,read,same_prompt_source_stream,next_call,switch_to:shell,40,0.39215686274509803,102
vendor,ALL,claude,read,same_prompt_source_stream,next_call,switch_to:write,2,0.0196078431372549,102
vendor,ALL,claude,search,same_prompt_source_stream,next_call,end_of_stream,1,0.2,5
vendor,ALL,claude,search,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,4,0.8,5
vendor,ALL,claude,shell,same_prompt_source_stream,next_call,end_of_prompt,47,0.09270216962524655,507
vendor,ALL,claude,shell,same_prompt_source_stream,next_call,end_of_stream,10,0.01972386587771203,507
vendor,ALL,claude,shell,same_prompt_source_stream,next_call,exact_retry_not_success,6,0.011834319526627219,507
vendor,ALL,claude,shell,same_prompt_source_stream,next_call,exact_retry_success,1,0.0019723865877712033,507
vendor,ALL,claude,shell,same_prompt_source_stream,next_call,generic_shell_changed_command_different_class,177,0.34911242603550297,507
vendor,ALL,claude,shell,same_prompt_source_stream,next_call,generic_shell_changed_command_same_class,219,0.4319526627218935,507
vendor,ALL,claude,shell,same_prompt_source_stream,next_call,same_family_changed_tool_or_arguments,3,0.005917159763313609,507
vendor,ALL,claude,shell,same_prompt_source_stream,next_call,switch_to:edit,7,0.013806706114398421,507
vendor,ALL,claude,shell,same_prompt_source_stream,next_call,switch_to:read,26,0.05128205128205128,507
vendor,ALL,claude,shell,same_prompt_source_stream,next_call,switch_to:search,2,0.0039447731755424065,507
vendor,ALL,claude,shell,same_prompt_source_stream,next_call,switch_to:task,1,0.0019723865877712033,507
vendor,ALL,claude,shell,same_prompt_source_stream,next_call,switch_to:tool discovery,7,0.013806706114398421,507
