stratum_type,project,vendor,shell_class,classification,calls,share_of_shell_calls
overall,ALL,ALL,build/check,primary,2212,0.0177896446896463
overall,ALL,ALL,container/orchestration,primary,2313,0.018601920509562338
overall,ALL,ALL,data/analysis/runtime,primary,8399,0.06754757041064162
overall,ALL,ALL,filesystem/navigation,primary,6123,0.049243216290553476
overall,ALL,ALL,git/repository,primary,19925,0.1602435218992778
overall,ALL,ALL,lint/format,primary,2025,0.01628572807257403
overall,ALL,ALL,network/remote,primary,1044,0.008396197584082611
overall,ALL,ALL,other,primary,13092,0.1052902478647601
overall,ALL,ALL,package/dependency,primary,72,0.0005790481092470766
overall,ALL,ALL,process/system,primary,3285,0.02641906998439787
overall,ALL,ALL,search/text,primary,62329,0.5012706889064034
overall,ALL,ALL,test,primary,3523,0.028333145678853484
vendor,ALL,claude,build/check,primary,315,0.02202335174438929
vendor,ALL,claude,container/orchestration,primary,48,0.003355939313430749
vendor,ALL,claude,data/analysis/runtime,primary,532,0.037194994057190796
vendor,ALL,claude,filesystem/navigation,primary,2778,0.1942249877648046
vendor,ALL,claude,git/repository,primary,2752,0.19240718730336293
vendor,ALL,claude,lint/format,primary,125,0.008739425295392575
vendor,ALL,claude,network/remote,primary,94,0.006572047822135217
vendor,ALL,claude,other,primary,273,0.019086904845137385
vendor,ALL,claude,package/dependency,primary,17,0.0011885618401733901
vendor,ALL,claude,process/system,primary,111,0.007760609662308606
vendor,ALL,claude,search/text,primary,7008,0.48996713976088935
vendor,ALL,claude,test,primary,250,0.01747885059078515
vendor,ALL,codex,build/check,primary,1897,0.017239655752156094
vendor,ALL,codex,container/orchestration,primary,2265,0.020583985386733554
vendor,ALL,codex,data/analysis/runtime,primary,7867,0.07149413379136109
vendor,ALL,codex,filesystem/navigation,primary,3345,0.03039886583603697
vendor,ALL,codex,git/repository,primary,17173,0.1560656869961922
vendor,ALL,codex,lint/format,primary,1900,0.017266919308959714
vendor,ALL,codex,network/remote,primary,950,0.008633459654479857
vendor,ALL,codex,other,primary,12819,0.11649717822187082
vendor,ALL,codex,package/dependency,primary,55,0.0004998318747330443
vendor,ALL,codex,process/system,primary,3174,0.028844843098230596
vendor,ALL,codex,search/text,primary,55319,0.502730899606496
vendor,ALL,codex,test,primary,3273,0.029744540472750075
vendor,ALL,gemini,search/text,primary,2,1.0
project,ActPlane,ALL,build/check,primary,597,0.014563106796116505
project,ActPlane,ALL,container/orchestration,primary,2189,0.05339805825242718
project,ActPlane,ALL,data/analysis/runtime,primary,4153,0.10130750841586574
project,ActPlane,ALL,filesystem/navigation,primary,2107,0.05139776552666244
project,ActPlane,ALL,git/repository,primary,5160,0.12587207884080598
project,ActPlane,ALL,lint/format,primary,808,0.0197102014929014
project,ActPlane,ALL,network/remote,primary,89,0.0021710494218666145
project,ActPlane,ALL,other,primary,2459,0.05998438795921354
project,ActPlane,ALL,package/dependency,primary,29,0.0007074205981363127
project,ActPlane,ALL,process/system,primary,1484,0.03620041957359613
project,ActPlane,ALL,search/text,primary,20429,0.498341220666439
project,ActPlane,ALL,test,primary,1490,0.036346782455969166
project_vendor,ActPlane,claude,build/check,primary,90,0.015442690459849005
project_vendor,ActPlane,claude,container/orchestration,primary,29,0.004975978037062457
project_vendor,ActPlane,claude,data/analysis/runtime,primary,440,0.07549759780370624
project_vendor,ActPlane,claude,filesystem/navigation,primary,1170,0.20075497597803707
project_vendor,ActPlane,claude,git/repository,primary,886,0.15202470830473575
project_vendor,ActPlane,claude,lint/format,primary,49,0.008407687028140013
project_vendor,ActPlane,claude,network/remote,primary,23,0.0039464653397391905
project_vendor,ActPlane,claude,other,primary,86,0.014756348661633494
project_vendor,ActPlane,claude,package/dependency,primary,12,0.002059025394646534
project_vendor,ActPlane,claude,process/system,primary,44,0.0075497597803706245
project_vendor,ActPlane,claude,search/text,primary,2924,0.5017158544955388
project_vendor,ActPlane,claude,test,primary,75,0.012868908716540837
project_vendor,ActPlane,codex,build/check,primary,507,0.014417334925780583
project_vendor,ActPlane,codex,container/orchestration,primary,2160,0.06142296536427231
project_vendor,ActPlane,codex,data/analysis/runtime,primary,3713,0.10558493999886254
project_vendor,ActPlane,codex,filesystem/navigation,primary,937,0.026645054882557015
project_vendor,ActPlane,codex,git/repository,primary,4274,0.12153784905874992
project_vendor,ActPlane,codex,lint/format,primary,759,0.021583347551612352
project_vendor,ActPlane,codex,network/remote,primary,66,0.001876812830574987
project_vendor,ActPlane,codex,other,primary,2373,0.0674799522265825
project_vendor,ActPlane,codex,package/dependency,primary,17,0.0004834214866632543
project_vendor,ActPlane,codex,process/system,primary,1440,0.04094864357618154
project_vendor,ActPlane,codex,search/text,primary,17505,0.4977819484729568
project_vendor,ActPlane,codex,test,primary,1415,0.040237729625206164
project,academic-writing-skills,ALL,filesystem/navigation,primary,142,0.47333333333333333
project,academic-writing-skills,ALL,git/repository,primary,74,0.24666666666666667
project,academic-writing-skills,ALL,other,primary,3,0.01
project,academic-writing-skills,ALL,search/text,primary,81,0.27
project_vendor,academic-writing-skills,claude,filesystem/navigation,primary,142,0.47333333333333333
project_vendor,academic-writing-skills,claude,git/repository,primary,74,0.24666666666666667
project_vendor,academic-writing-skills,claude,other,primary,3,0.01
project_vendor,academic-writing-skills,claude,search/text,primary,81,0.27
project,agentsight,ALL,build/check,primary,1404,0.01901562965571417
project,agentsight,ALL,container/orchestration,primary,123,0.0016658991792399165
project,agentsight,ALL,data/analysis/runtime,primary,3997,0.0541349513774142
project,agentsight,ALL,filesystem/navigation,primary,3188,0.04317793970257605
project,agentsight,ALL,git/repository,primary,12350,0.16726711271230058
project,agentsight,ALL,lint/format,primary,1155,0.015643199609935803
project,agentsight,ALL,network/remote,primary,782,0.010591326489151339
project,agentsight,ALL,other,primary,8984,0.1216783595633448
project,agentsight,ALL,package/dependency,primary,27,0.00036568518568681096
project,agentsight,ALL,process/system,primary,1643,0.022252620743830755
project,agentsight,ALL,search/text,primary,38237,0.5178779424113552
project,agentsight,ALL,test,primary,1944,0.02632933336945039
project_vendor,agentsight,claude,build/check,primary,220,0.03502626970227671
project_vendor,agentsight,claude,container/orchestration,primary,19,0.0030249960197420793
project_vendor,agentsight,claude,data/analysis/runtime,primary,80,0.012736825346282439
project_vendor,agentsight,claude,filesystem/navigation,primary,959,0.15268269383856073
project_vendor,agentsight,claude,git/repository,primary,1269,0.20203789205540518
project_vendor,agentsight,claude,lint/format,primary,72,0.011463142811654194
project_vendor,agentsight,claude,network/remote,primary,27,0.004298678554370323
project_vendor,agentsight,claude,other,primary,105,0.0167170832669957
project_vendor,agentsight,claude,package/dependency,primary,1,0.0001592103168285305
project_vendor,agentsight,claude,process/system,primary,50,0.007960515841426525
project_vendor,agentsight,claude,search/text,primary,3310,0.5269861487024359
project_vendor,agentsight,claude,test,primary,169,0.026906543544021652
project_vendor,agentsight,codex,build/check,primary,1184,0.017527497742446448
project_vendor,agentsight,codex,container/orchestration,primary,104,0.0015395775044040798
project_vendor,agentsight,codex,data/analysis/runtime,primary,3917,0.057985818122603665
project_vendor,agentsight,codex,filesystem/navigation,primary,2229,0.032997290935737444
project_vendor,agentsight,codex,git/repository,primary,11081,0.16403902236828471
