stratum_type,project,vendor,analysis_scope,classification,reason,adjacent_pairs,share,all_adjacent_pairs
overall,ALL,ALL,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,11553,0.0668468072303099,172828
overall,ALL,ALL,same_prompt_source_stream,dependency_cue,edit_then_validation,1484,0.008586571620339297,172828
overall,ALL,ALL,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,277,0.0016027495544703404,172828
overall,ALL,ALL,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,23484,0.13588076006202698,172828
overall,ALL,ALL,same_prompt_source_stream,observed_overlap,shared_artifact_identity,19430,0.11242391279190872,172828
overall,ALL,ALL,same_prompt_source_stream,observed_overlap,shared_exact_path,1298,0.007510357118059574,172828
overall,ALL,ALL,same_prompt_source_stream,unknown,insufficient_observable_evidence,115302,0.6671488416228852,172828
vendor,ALL,claude,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,8,0.00025375075332254894,31527
vendor,ALL,claude,same_prompt_source_stream,dependency_cue,edit_then_validation,229,0.007263615313857963,31527
vendor,ALL,claude,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,68,0.002156881403241666,31527
vendor,ALL,claude,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,4561,0.1446696482380182,31527
vendor,ALL,claude,same_prompt_source_stream,observed_overlap,shared_artifact_identity,7758,0.24607479303454183,31527
vendor,ALL,claude,same_prompt_source_stream,observed_overlap,shared_exact_path,559,0.017730833888413105,31527
vendor,ALL,claude,same_prompt_source_stream,unknown,insufficient_observable_evidence,18344,0.5818504773686047,31527
vendor,ALL,codex,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,11545,0.08172757004714644,141262
vendor,ALL,codex,same_prompt_source_stream,dependency_cue,edit_then_validation,1255,0.008884200988234628,141262
vendor,ALL,codex,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,209,0.0014795203239370814,141262
vendor,ALL,codex,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,18910,0.13386473361555123,141262
vendor,ALL,codex,same_prompt_source_stream,observed_overlap,shared_artifact_identity,11672,0.08262660871288811,141262
vendor,ALL,codex,same_prompt_source_stream,observed_overlap,shared_exact_path,739,0.005231413968370829,141262
vendor,ALL,codex,same_prompt_source_stream,unknown,insufficient_observable_evidence,96932,0.6861859523438717,141262
vendor,ALL,gemini,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,13,0.3333333333333333,39
vendor,ALL,gemini,same_prompt_source_stream,unknown,insufficient_observable_evidence,26,0.6666666666666666,39
project,ActPlane,ALL,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,4351,0.07003170821999388,62129
project,ActPlane,ALL,same_prompt_source_stream,dependency_cue,edit_then_validation,597,0.009609039257029729,62129
project,ActPlane,ALL,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,205,0.0032995863445411965,62129
project,ActPlane,ALL,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,7340,0.11814128667771893,62129
project,ActPlane,ALL,same_prompt_source_stream,observed_overlap,shared_artifact_identity,8198,0.13195126269535964,62129
project,ActPlane,ALL,same_prompt_source_stream,observed_overlap,shared_exact_path,302,0.004860854029519226,62129
project,ActPlane,ALL,same_prompt_source_stream,unknown,insufficient_observable_evidence,41136,0.6621062627758374,62129
