scope,project,vendor,unit,metric,n,sum,mean,q25,median,q75,p90
overall_unique,ALL,ALL,session,user_messages,550,7804.0,14.18909090909091,1.0,1.0,6.0,37.10000000000002
overall_unique,ALL,ALL,session,human_characters,550,1774594.0,3226.5345454545454,125.0,540.0,1783.75,7278.000000000007
overall_unique,ALL,ALL,session,human_words_approx,550,425434.0,773.5163636363636,19.0,106.5,436.0,2110.3
overall_unique,ALL,ALL,session,user_conversational_turn_share,533,147.85840789303984,0.27740789473365823,0.14285714285714285,0.25,0.5,0.5
overall_unique,ALL,ALL,session,actions_per_user_message,532,9625.779843560027,18.09357113451133,2.0,10.0,23.592391304347828,44.80000000000007
overall_unique,ALL,ALL,session,followups_per_100_actions,550,2560.0589989997334,4.654652725454061,0.0,0.0,3.6502609992542876,13.386138613861398
overall_unique,ALL,ALL,session,explicit_interrupt_markers,550,634.0,1.1527272727272728,0.0,0.0,0.0,3.0
overall_unique,ALL,ALL,session,agent_activity_envelope_ms_sum,550,2843265809.0,5169574.198181818,0.0,0.0,644448.5,4571176.700000003
overall_unique,ALL,ALL,session,post_activity_inactive_gap_ms_sum,550,8022541518.0,14586439.123636363,0.0,0.0,1387486.5,29335393.30000003
overall_unique,ALL,ALL,human_message,characters,7804,1774594.0,227.39543823680165,17.0,37.0,93.0,268.0
overall_unique,ALL,ALL,human_message,words_approx,7804,425434.0,54.514864172219376,9.0,18.0,36.0,82.0
vendor_unique,ALL,claude,session,user_messages,264,4296.0,16.272727272727273,1.0,1.0,8.0,46.0
vendor_unique,ALL,claude,session,human_characters,264,1301867.0,4931.314393939394,507.0,1049.0,3729.25,13715.600000000033
vendor_unique,ALL,claude,session,human_words_approx,264,277802.0,1052.280303030303,92.0,169.5,788.25,3148.900000000002
vendor_unique,ALL,claude,session,user_conversational_turn_share,264,65.07269010950628,0.24648746253600864,0.16087656190836802,0.23593073593073594,0.3333333333333333,0.4431111111111112
vendor_unique,ALL,claude,session,actions_per_user_message,263,4250.77268593416,16.162633786821903,5.127659574468085,12.0,20.078947368421055,33.940000000000005
vendor_unique,ALL,claude,session,followups_per_100_actions,264,1825.8962178421489,6.916273552432382,0.0,0.0,6.357649442755825,20.918032786885266
vendor_unique,ALL,claude,session,explicit_interrupt_markers,264,298.0,1.128787878787879,0.0,0.0,1.0,3.0
vendor_unique,ALL,claude,session,agent_activity_envelope_ms_sum,264,526779695.0,1995377.6325757576,0.0,0.0,836408.25,3633678.500000001
vendor_unique,ALL,claude,session,post_activity_inactive_gap_ms_sum,264,2386291034.0,9038981.18939394,0.0,0.0,2058984.75,22755866.50000003
vendor_unique,ALL,claude,human_message,characters,4296,1301867.0,303.0416666666667,17.0,38.0,98.0,384.5
vendor_unique,ALL,claude,human_message,words_approx,4296,277802.0,64.66527001862197,9.0,18.0,38.0,96.0
vendor_unique,ALL,codex,session,user_messages,283,3501.0,12.371024734982333,1.0,1.0,5.0,27.0
vendor_unique,ALL,codex,session,human_characters,283,460542.0,1627.356890459364,108.0,130.0,706.5,2828.8000000000015
vendor_unique,ALL,codex,session,human_words_approx,283,143275.0,506.2720848056537,19.0,22.0,183.0,896.6000000000017
vendor_unique,ALL,codex,session,user_conversational_turn_share,266,81.85714635496214,0.3077336329133915,0.125,0.29963503649635037,0.5,0.5
vendor_unique,ALL,codex,session,actions_per_user_message,266,5344.607157625869,20.092508111375448,1.0,4.2560975609756095,27.5,54.80769230769231
vendor_unique,ALL,codex,session,followups_per_100_actions,283,710.6333693928789,2.511071976653282,0.0,0.0,1.663195029206073,5.668115668115669
vendor_unique,ALL,codex,session,explicit_interrupt_markers,283,336.0,1.187279151943463,0.0,0.0,0.0,2.0
vendor_unique,ALL,codex,session,agent_activity_envelope_ms_sum,283,2316289106.0,8184767.1590106,0.0,0.0,600568.0,6752134.0
vendor_unique,ALL,codex,session,post_activity_inactive_gap_ms_sum,283,5636027885.0,19915292.879858658,0.0,0.0,883118.5,32980711.200000007
vendor_unique,ALL,codex,human_message,characters,3501,460542.0,131.5458440445587,17.0,36.0,88.0,179.0
vendor_unique,ALL,codex,human_message,words_approx,3501,143275.0,40.9240217080834,10.0,18.0,34.0,67.0
vendor_unique,ALL,gemini,session,user_messages,3,7.0,2.3333333333333335,1.0,1.0,3.0,4.2
vendor_unique,ALL,gemini,session,human_characters,3,12185.0,4061.6666666666665,461.5,545.0,5903.5,9118.6
vendor_unique,ALL,gemini,session,human_words_approx,3,4357.0,1452.3333333333333,65.5,74.0,2150.0,3395.6000000000004
vendor_unique,ALL,gemini,session,user_conversational_turn_share,3,0.9285714285714286,0.30952380952380953,0.2142857142857143,0.35714285714285715,0.4285714285714286,0.4714285714285714
vendor_unique,ALL,gemini,session,actions_per_user_message,3,30.4,10.133333333333333,8.2,13.0,13.5,13.8
vendor_unique,ALL,gemini,session,followups_per_100_actions,3,23.52941176470588,7.8431372549019605,0.0,0.0,11.76470588235294,18.823529411764707
vendor_unique,ALL,gemini,session,explicit_interrupt_markers,3,0.0,0.0,0.0,0.0,0.0,0.0
vendor_unique,ALL,gemini,session,agent_activity_envelope_ms_sum,3,197008.0,65669.33333333333,0.0,0.0,98504.0,157606.40000000002
vendor_unique,ALL,gemini,session,post_activity_inactive_gap_ms_sum,3,222599.0,74199.66666666667,0.0,0.0,111299.5,178079.2
vendor_unique,ALL,gemini,human_message,characters,7,12185.0,1740.7142857142858,113.5,378.0,540.5,4507.000000000004
vendor_unique,ALL,gemini,human_message,words_approx,7,4357.0,622.4285714285714,42.5,57.0,75.0,1668.0000000000014
project_vendor,agentsight,claude,session,user_messages,123,886.0,7.203252032520325,1.0,1.0,1.0,13.399999999999991
project_vendor,agentsight,claude,session,human_characters,123,450530.0,3662.8455284552847,428.0,768.0,1124.5,4626.599999999999
project_vendor,agentsight,claude,session,human_words_approx,123,72262.0,587.4959349593496,67.5,115.0,185.0,1024.3999999999999
project_vendor,agentsight,claude,session,user_conversational_turn_share,123,31.362077689643474,0.25497624137921526,0.15672365464698435,0.2037037037037037,0.3333333333333333,0.5
project_vendor,agentsight,claude,session,actions_per_user_message,123,2300.791455749141,18.70562159145643,7.0,14.0,22.0,36.599999999999994
project_vendor,agentsight,claude,session,followups_per_100_actions,123,242.93416926614103,1.9750745468791953,0.0,0.0,0.0,7.200295049457059
project_vendor,agentsight,claude,session,explicit_interrupt_markers,123,69.0,0.5609756097560976,0.0,0.0,0.0,1.0
project_vendor,agentsight,claude,session,agent_activity_envelope_ms_sum,123,97698626.0,794297.7723577236,0.0,0.0,0.0,2203487.399999999
project_vendor,agentsight,claude,session,post_activity_inactive_gap_ms_sum,123,541685762.0,4403949.284552845,0.0,0.0,0.0,7841485.599999992
project_vendor,agentsight,claude,human_message,characters,886,450530.0,508.49887133182847,19.0,45.0,119.0,641.0
project_vendor,agentsight,claude,human_message,words_approx,886,72262.0,81.55981941309255,9.0,19.0,50.0,109.0
project_vendor,agentsight,codex,session,user_messages,176,1505.0,8.551136363636363,1.0,1.0,2.0,16.5
project_vendor,agentsight,codex,session,human_characters,176,207341.0,1178.0738636363637,108.0,123.0,144.25,1506.0
project_vendor,agentsight,codex,session,human_words_approx,176,66105.0,375.59659090909093,18.0,19.0,27.25,608.0
project_vendor,agentsight,codex,session,user_conversational_turn_share,164,63.03066574595815,0.38433332771925705,0.20441176470588235,0.5,0.5,0.5
project_vendor,agentsight,codex,session,actions_per_user_message,164,1815.7349572251983,11.071554617226818,1.0,1.0,9.647321428571429,32.75833333333339
