scope,project,vendor,sessions,startup_only_sessions,guided_sessions,zero_or_unreadable_sessions,user_messages,followup_user_messages,human_characters,human_words_approx,assistant_conversational_messages,aggregate_user_conversational_turn_share,agent_actions,unique_source_call_actions,actions_per_user_message,unique_actions_per_user_message,one_user_message_per_n_actions,user_messages_per_100_actions,explicit_interrupt_markers,agent_question_tools,approval_like_native_records,agent_activity_envelope_hours,post_activity_inactive_gap_hours,post_activity_inactive_share
overall_unique_sessions,ALL,ALL,550,337,195,18,7804,7272,1774594,425434,62212,0.11146023765996343,181303,180987,23.232060481804204,23.191568426447976,23.232060481804204,4.304396507504013,634,12,0,789.7960580555556,2228.483755,0.7383290791531997
overall_project_attributed,ALL,ALL,551,337,196,18,7852,7319,1779242,427080,62500,0.11161018876506709,181303,180987,23.09004075394804,23.049796230259805,23.09004075394804,4.330871524464571,637,12,0,791.4935291666667,2231.0055116666667,0.7381327443040498
vendor_unique_sessions,ALL,claude,264,164,99,1,4296,4033,1301867,277802,12780,0.2515811665495432,36826,36510,8.572160148975792,8.498603351955307,8.572160148975792,11.665670993319937,298,12,0,146.32769305555556,662.8586205555556,0.8191668709736982
vendor_unique_sessions,ALL,codex,283,171,95,17,3501,3235,460542,143275,49409,0.06616896616896617,144433,144433,41.254784347329334,41.254784347329334,41.254784347329334,2.4239612830862756,336,0,0,643.4136405555555,1565.563301388889,0.7087277697026603
vendor_unique_sessions,ALL,gemini,3,2,1,0,7,4,12185,4357,23,0.23333333333333334,44,44,6.285714285714286,6.285714285714286,6.285714285714286,15.909090909090908,0,0,0,0.054724444444444444,0.06183305555555556,0.5304940098711414
project_attributed,agentsight,ALL,301,216,73,12,2393,2104,658794,138498,27429,0.08024277379116089,97586,97295,40.77977434183034,40.658169661512744,40.77977434183034,2.452196011722993,159,4,0,438.5645377777778,863.7219169444444,0.663234969397479
project_vendor_attributed,agentsight,claude,123,96,27,0,886,763,450530,72262,4284,0.17137330754352031,12525,12234,14.136568848758465,13.808126410835214,14.136568848758465,7.073852295409182,69,4,0,27.138507222222223,150.4682672222222,0.8471989184696828
project_vendor_attributed,agentsight,codex,176,118,46,12,1505,1341,207341,66105,23131,0.06108946257509336,85034,85034,56.500996677740865,56.500996677740865,56.500996677740865,1.7698802831808451,90,0,0,411.42603055555554,713.2536497222222,0.6341838144937944
project_vendor_attributed,agentsight,gemini,2,2,0,0,2,0,923,131,14,0.125,27,27,13.5,13.5,13.5,7.4074074074074066,0,0,0,0.0,0.0,
project_attributed,ActPlane,ALL,139,64,75,0,4523,4384,681764,188727,31240,0.12647149288370663,66238,66238,14.644704841919081,14.644704841919081,14.644704841919081,6.828406654790302,360,4,0,269.0104763888889,839.5535094444444,0.757334281262378
project_vendor_attributed,ActPlane,claude,62,20,42,0,2955,2893,529595,140291,7061,0.2950279552715655,17994,17994,6.0893401015228426,6.0893401015228426,6.0893401015228426,16.42214071357119,159,4,0,71.07837166666667,409.38718,0.852063542495178
project_vendor_attributed,ActPlane,codex,77,44,33,0,1568,1491,152169,48436,24179,0.06090029906396862,48244,48244,30.767857142857142,30.767857142857142,30.767857142857142,3.250145095763204,201,0,0,197.93210472222222,430.16632944444444,0.6848708833595011
project_vendor_attributed,ActPlane,gemini,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,0,0,0.0,0.0,
project_attributed,bpf-developer-tutorial,ALL,35,21,13,1,78,44,177738,28622,363,0.17687074829931973,1664,1664,21.333333333333332,21.333333333333332,21.333333333333332,4.6875,7,0,0,14.346648333333333,19.874996666666668,0.5807726854353923
project_vendor_attributed,bpf-developer-tutorial,claude,31,21,10,0,62,31,165836,24095,258,0.19375,1052,1052,16.967741935483872,16.967741935483872,16.967741935483872,5.893536121673003,6,0,0,13.030649444444444,16.735579444444443,0.5622337820123222
project_vendor_attributed,bpf-developer-tutorial,codex,3,0,2,1,11,9,640,301,96,0.102803738317757,595,595,54.09090909090909,54.09090909090909,54.09090909090909,1.8487394957983194,1,0,0,1.2612744444444444,3.0775841666666666,0.7093073184697639
project_vendor_attributed,bpf-developer-tutorial,gemini,1,0,1,0,5,4,11262,4226,9,0.35714285714285715,17,17,3.4,3.4,3.4,29.411764705882355,0,0,0,0.054724444444444444,0.06183305555555556,0.5304940098711414
project_attributed,eunomia.dev,ALL,51,24,23,4,622,575,154552,42814,2721,0.1860604247681723,13876,13851,22.308681672025724,22.268488745980708,22.308681672025724,4.482559815508792,80,1,0,61.44761472222222,487.8720416666667,0.8881386930040592
project_vendor_attributed,eunomia.dev,claude,24,15,9,0,205,181,54160,14381,718,0.2221018418201517,3316,3291,16.17560975609756,16.053658536585367,16.17560975609756,6.182147165259349,36,1,0,28.65338388888889,68.8063036111111,0.7059975809086306
project_vendor_attributed,eunomia.dev,codex,27,9,14,4,417,394,100392,28433,2003,0.17231404958677685,10560,10560,25.323741007194243,25.323741007194243,25.323741007194243,3.9488636363636367,44,0,0,32.79423083333333,419.0657380555555,0.9274239076456066
project_vendor_attributed,eunomia.dev,gemini,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,0,0,0.0,0.0,
project_attributed,agentskill-observability-paper,ALL,8,1,6,1,99,92,25755,10291,474,0.17277486910994763,991,991,10.01010101010101,10.01010101010101,10.01010101010101,9.989909182643794,20,2,0,3.5680502777777776,1.6178305555555557,0.3119683246781552
project_vendor_attributed,agentskill-observability-paper,claude,8,1,6,1,99,92,25755,10291,474,0.17277486910994763,991,991,10.01010101010101,10.01010101010101,10.01010101010101,9.989909182643794,20,2,0,3.5680502777777776,1.6178305555555557,0.3119683246781552
project_vendor_attributed,agentskill-observability-paper,codex,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,0,0,0.0,0.0,
project_vendor_attributed,agentskill-observability-paper,gemini,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,0,0,0.0,0.0,
project_attributed,academic-writing-skills,ALL,17,11,6,0,137,120,80639,18128,273,0.33414634146341465,948,948,6.91970802919708,6.91970802919708,6.91970802919708,14.451476793248947,11,1,0,4.5562016666666665,18.36521638888889,0.801225139927049
project_vendor_attributed,academic-writing-skills,claude,17,11,6,0,137,120,80639,18128,273,0.33414634146341465,948,948,6.91970802919708,6.91970802919708,6.91970802919708,14.451476793248947,11,1,0,4.5562016666666665,18.36521638888889,0.801225139927049
project_vendor_attributed,academic-writing-skills,codex,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,0,0,0.0,0.0,
project_vendor_attributed,academic-writing-skills,gemini,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,0,0,0.0,0.0,
