scope,project,vendor,weekday,sessions,share
overall_unique,ALL,ALL,Monday,44,0.08270676691729323
overall_unique,ALL,ALL,Tuesday,81,0.15225563909774437
overall_unique,ALL,ALL,Wednesday,73,0.13721804511278196
overall_unique,ALL,ALL,Thursday,67,0.12593984962406016
overall_unique,ALL,ALL,Friday,39,0.07330827067669173
overall_unique,ALL,ALL,Saturday,74,0.13909774436090225
overall_unique,ALL,ALL,Sunday,154,0.2894736842105263
vendor_unique,ALL,claude,Monday,23,0.08745247148288973
vendor_unique,ALL,claude,Tuesday,40,0.1520912547528517
vendor_unique,ALL,claude,Wednesday,58,0.22053231939163498
vendor_unique,ALL,claude,Thursday,35,0.13307984790874525
vendor_unique,ALL,claude,Friday,19,0.07224334600760456
vendor_unique,ALL,claude,Saturday,54,0.20532319391634982
vendor_unique,ALL,claude,Sunday,34,0.12927756653992395
vendor_unique,ALL,codex,Monday,21,0.07894736842105263
vendor_unique,ALL,codex,Tuesday,40,0.15037593984962405
vendor_unique,ALL,codex,Wednesday,15,0.05639097744360902
vendor_unique,ALL,codex,Thursday,32,0.12030075187969924
vendor_unique,ALL,codex,Friday,20,0.07518796992481203
vendor_unique,ALL,codex,Saturday,20,0.07518796992481203
vendor_unique,ALL,codex,Sunday,118,0.44360902255639095
vendor_unique,ALL,gemini,Monday,0,0.0
vendor_unique,ALL,gemini,Tuesday,1,0.3333333333333333
vendor_unique,ALL,gemini,Wednesday,0,0.0
vendor_unique,ALL,gemini,Thursday,0,0.0
vendor_unique,ALL,gemini,Friday,0,0.0
vendor_unique,ALL,gemini,Saturday,0,0.0
vendor_unique,ALL,gemini,Sunday,2,0.6666666666666666
project_vendor,agentsight,claude,Monday,13,0.10569105691056911
project_vendor,agentsight,claude,Tuesday,20,0.16260162601626016
project_vendor,agentsight,claude,Wednesday,50,0.4065040650406504
project_vendor,agentsight,claude,Thursday,11,0.08943089430894309
project_vendor,agentsight,claude,Friday,3,0.024390243902439025
project_vendor,agentsight,claude,Saturday,14,0.11382113821138211
project_vendor,agentsight,claude,Sunday,12,0.0975609756097561
project_vendor,agentsight,codex,Monday,12,0.07317073170731707
project_vendor,agentsight,codex,Tuesday,23,0.1402439024390244
project_vendor,agentsight,codex,Wednesday,6,0.036585365853658534
project_vendor,agentsight,codex,Thursday,15,0.09146341463414634
project_vendor,agentsight,codex,Friday,5,0.03048780487804878
project_vendor,agentsight,codex,Saturday,3,0.018292682926829267
project_vendor,agentsight,codex,Sunday,100,0.6097560975609756
project_vendor,agentsight,gemini,Monday,0,0.0
project_vendor,agentsight,gemini,Tuesday,1,0.5
project_vendor,agentsight,gemini,Wednesday,0,0.0
project_vendor,agentsight,gemini,Thursday,0,0.0
project_vendor,agentsight,gemini,Friday,0,0.0
project_vendor,agentsight,gemini,Saturday,0,0.0
project_vendor,agentsight,gemini,Sunday,1,0.5
project_vendor,ActPlane,claude,Monday,9,0.14516129032258066
project_vendor,ActPlane,claude,Tuesday,7,0.11290322580645161
project_vendor,ActPlane,claude,Wednesday,5,0.08064516129032258
project_vendor,ActPlane,claude,Thursday,13,0.20967741935483872
project_vendor,ActPlane,claude,Friday,14,0.22580645161290322
project_vendor,ActPlane,claude,Saturday,8,0.12903225806451613
project_vendor,ActPlane,claude,Sunday,6,0.0967741935483871
project_vendor,ActPlane,codex,Monday,9,0.11688311688311688
project_vendor,ActPlane,codex,Tuesday,16,0.2077922077922078
project_vendor,ActPlane,codex,Wednesday,8,0.1038961038961039
project_vendor,ActPlane,codex,Thursday,14,0.18181818181818182
project_vendor,ActPlane,codex,Friday,9,0.11688311688311688
