scope,project,vendor,hour,sessions,share
overall_unique,ALL,ALL,0,30,0.05639097744360902
overall_unique,ALL,ALL,1,29,0.05451127819548872
overall_unique,ALL,ALL,2,20,0.03759398496240601
overall_unique,ALL,ALL,3,10,0.018796992481203006
overall_unique,ALL,ALL,4,8,0.015037593984962405
overall_unique,ALL,ALL,5,6,0.011278195488721804
overall_unique,ALL,ALL,6,14,0.02631578947368421
overall_unique,ALL,ALL,7,0,0.0
overall_unique,ALL,ALL,8,4,0.007518796992481203
overall_unique,ALL,ALL,9,4,0.007518796992481203
overall_unique,ALL,ALL,10,6,0.011278195488721804
overall_unique,ALL,ALL,11,12,0.022556390977443608
overall_unique,ALL,ALL,12,6,0.011278195488721804
overall_unique,ALL,ALL,13,22,0.041353383458646614
overall_unique,ALL,ALL,14,43,0.08082706766917293
overall_unique,ALL,ALL,15,27,0.05075187969924812
overall_unique,ALL,ALL,16,25,0.046992481203007516
overall_unique,ALL,ALL,17,24,0.045112781954887216
overall_unique,ALL,ALL,18,43,0.08082706766917293
overall_unique,ALL,ALL,19,56,0.10526315789473684
overall_unique,ALL,ALL,20,67,0.12593984962406016
overall_unique,ALL,ALL,21,25,0.046992481203007516
overall_unique,ALL,ALL,22,24,0.045112781954887216
overall_unique,ALL,ALL,23,27,0.05075187969924812
vendor_unique,ALL,claude,0,20,0.07604562737642585
vendor_unique,ALL,claude,1,26,0.09885931558935361
vendor_unique,ALL,claude,2,18,0.06844106463878327
vendor_unique,ALL,claude,3,8,0.030418250950570342
vendor_unique,ALL,claude,4,8,0.030418250950570342
vendor_unique,ALL,claude,5,6,0.022813688212927757
vendor_unique,ALL,claude,6,0,0.0
vendor_unique,ALL,claude,7,0,0.0
vendor_unique,ALL,claude,8,3,0.011406844106463879
vendor_unique,ALL,claude,9,3,0.011406844106463879
vendor_unique,ALL,claude,10,4,0.015209125475285171
vendor_unique,ALL,claude,11,5,0.019011406844106463
vendor_unique,ALL,claude,12,4,0.015209125475285171
vendor_unique,ALL,claude,13,11,0.04182509505703422
vendor_unique,ALL,claude,14,21,0.07984790874524715
vendor_unique,ALL,claude,15,12,0.045627376425855515
vendor_unique,ALL,claude,16,14,0.053231939163498096
vendor_unique,ALL,claude,17,9,0.034220532319391636
vendor_unique,ALL,claude,18,7,0.026615969581749048
vendor_unique,ALL,claude,19,18,0.06844106463878327
vendor_unique,ALL,claude,20,15,0.057034220532319393
vendor_unique,ALL,claude,21,16,0.060836501901140684
vendor_unique,ALL,claude,22,15,0.057034220532319393
vendor_unique,ALL,claude,23,20,0.07604562737642585
vendor_unique,ALL,codex,0,10,0.03759398496240601
vendor_unique,ALL,codex,1,2,0.007518796992481203
vendor_unique,ALL,codex,2,2,0.007518796992481203
vendor_unique,ALL,codex,3,1,0.0037593984962406013
vendor_unique,ALL,codex,4,0,0.0
vendor_unique,ALL,codex,5,0,0.0
vendor_unique,ALL,codex,6,14,0.05263157894736842
vendor_unique,ALL,codex,7,0,0.0
vendor_unique,ALL,codex,8,1,0.0037593984962406013
vendor_unique,ALL,codex,9,1,0.0037593984962406013
vendor_unique,ALL,codex,10,2,0.007518796992481203
vendor_unique,ALL,codex,11,7,0.02631578947368421
vendor_unique,ALL,codex,12,1,0.0037593984962406013
