task,dataset,query_family,policy,view,ranker,metric,direction,operations,positives,prevalence,groups,positive_groups,observed,null_mean,null_median,null_p05,null_p95,observed_minus_null_mean,observed_over_null_mean,empirical_p_value,beyond_95pct_null,reps
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,operation_stack,query_aware,average_precision,higher,729,504,0.6914,40,21,0.8808,0.6926,0.6921,0.6691,0.717,0.1882,1.2717,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,operation_stack,query_aware,top5_precision,higher,729,504,0.6914,40,21,0.9111,0.6918,0.6917,0.6639,0.7222,0.2193,1.317,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,operation_stack,query_aware,top5_recall,higher,729,504,0.6914,40,21,0.6508,0.4942,0.494,0.4742,0.5159,0.1566,1.317,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,operation_stack,query_aware,top5_f1,higher,729,504,0.6914,40,21,0.7593,0.5765,0.5764,0.5532,0.6019,0.1827,1.317,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,operation_stack,query_aware,top5_work,lower,729,504,0.6914,40,21,0.4938,0.4938,0.4938,0.4938,0.4938,0.0,1.0,1.0,False,2000
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,operation_stack,query_aware,top5_lift,higher,729,504,0.6914,40,21,1.3179,1.0007,1.0004,0.9603,1.0446,0.3172,1.317,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,operation_stack,query_aware,budget30_recall,higher,729,504,0.6914,40,21,0.3988,0.2993,0.2996,0.2798,0.3176,0.0995,1.3326,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,operation_stack,query_aware,work_to_first_positive,lower,729,504,0.6914,40,21,0.2058,0.2058,0.2058,0.2058,0.2058,0.0,1.0,1.0,False,2000
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,operation_stack,width,average_precision,higher,729,504,0.6914,40,21,0.7653,0.6922,0.6922,0.669,0.7167,0.0731,1.1056,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,operation_stack,width,top5_precision,higher,729,504,0.6914,40,21,0.7162,0.6915,0.6921,0.6703,0.714,0.0246,1.0356,0.0365,True,2000
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,operation_stack,width,top5_recall,higher,729,504,0.6914,40,21,0.6508,0.6284,0.629,0.6091,0.6488,0.0224,1.0356,0.0365,True,2000
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,operation_stack,width,top5_f1,higher,729,504,0.6914,40,21,0.6819,0.6585,0.659,0.6383,0.6798,0.0234,1.0356,0.0365,True,2000
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,operation_stack,width,top5_work,lower,729,504,0.6914,40,21,0.6283,0.6283,0.6283,0.6283,0.6283,0.0,1.0,1.0,False,2000
