policy,metric,direction,tasks,beyond_95pct_null_tasks,median_observed_minus_null_mean,mean_observed_minus_null_mean,median_observed_over_null_mean,median_empirical_p_value
dataset_native:query_aware,average_precision,higher,6,5,0.0635,0.1652,1.2467,0.0005
dataset_native:query_aware,top5_precision,higher,6,1,0.0,-0.0044,1.0,0.998
dataset_native:query_aware,top5_recall,higher,6,1,0.0,0.004,1.0,0.998
dataset_native:query_aware,top5_f1,higher,6,1,0.0,0.0011,1.0,0.998
dataset_native:query_aware,top5_work,lower,6,0,0.0,0.0,1.0,1.0
dataset_native:query_aware,top5_lift,higher,6,1,0.0,-0.0929,1.0,0.998
dataset_native:query_aware,budget30_recall,higher,6,4,0.0569,0.1251,1.2097,0.018
dataset_native:query_aware,work_to_first_positive,lower,6,0,0.0,-0.0003,1.0,1.0
fixed_session:query_aware,average_precision,higher,6,6,0.1089,0.1306,1.2945,0.0005
fixed_session:query_aware,top5_precision,higher,6,4,0.0921,0.0868,1.6918,0.0045
fixed_session:query_aware,top5_recall,higher,6,4,0.0118,-0.0154,1.6918,0.0045
fixed_session:query_aware,top5_f1,higher,6,4,0.0216,-0.0087,1.6918,0.0045
fixed_session:query_aware,top5_work,lower,6,0,0.0,0.0,1.0,1.0
fixed_session:query_aware,top5_lift,higher,6,4,0.6976,0.7616,1.6918,0.0045
fixed_session:query_aware,budget30_recall,higher,6,5,0.0566,0.0859,1.1889,0.0007
fixed_session:query_aware,work_to_first_positive,lower,6,1,-0.0,0.0508,0.9954,0.9505
operation_stack:query_aware,average_precision,higher,6,6,0.0759,0.1207,1.3448,0.0005
operation_stack:query_aware,top5_precision,higher,6,3,0.078,0.1775,1.6588,0.0695
operation_stack:query_aware,top5_recall,higher,6,3,0.0054,0.0559,1.6588,0.0695
operation_stack:query_aware,top5_f1,higher,6,3,0.0099,0.0815,1.6588,0.0695
operation_stack:query_aware,top5_work,lower,6,0,0.0,0.0,1.0,1.0
operation_stack:query_aware,top5_lift,higher,6,3,0.6547,1.2814,1.6588,0.0695
operation_stack:query_aware,budget30_recall,higher,6,5,0.0904,0.1512,1.3018,0.0005
operation_stack:query_aware,work_to_first_positive,lower,6,0,-0.0,-0.0001,0.9995,0.9995
operation_stack:width,average_precision,higher,6,5,0.0221,0.0282,1.1584,0.0005
operation_stack:width,top5_precision,higher,6,3,0.0082,-0.0137,1.0496,0.0562
operation_stack:width,top5_recall,higher,6,3,0.0279,-0.0612,1.0496,0.0562
operation_stack:width,top5_f1,higher,6,3,0.0129,-0.0242,1.0496,0.0562
operation_stack:width,top5_work,lower,6,0,0.0,0.0,1.0,1.0
operation_stack:width,top5_lift,higher,6,3,0.0495,-0.1071,1.0496,0.0562
operation_stack:width,budget30_recall,higher,6,4,0.0373,0.0123,1.1244,0.0142
operation_stack:width,work_to_first_positive,lower,6,0,0.0,0.0881,1.0,1.0
raw_action_stack:query_aware,average_precision,higher,6,6,0.0398,0.1011,1.1388,0.0005
raw_action_stack:query_aware,top5_precision,higher,6,2,0.0113,0.0574,1.0371,0.3906
raw_action_stack:query_aware,top5_recall,higher,6,2,0.0034,0.0579,1.0371,0.3906
raw_action_stack:query_aware,top5_f1,higher,6,2,0.0043,0.0572,1.0371,0.3906
raw_action_stack:query_aware,top5_work,lower,6,0,0.0,0.0,1.0,1.0
raw_action_stack:query_aware,top5_lift,higher,6,2,0.037,0.2857,1.0371,0.3906
raw_action_stack:query_aware,budget30_recall,higher,6,3,0.0376,0.0579,1.1261,0.3531
raw_action_stack:query_aware,work_to_first_positive,lower,6,0,0.0,0.0054,1.0,1.0
