metric,metric_label,eligible_cells,mean,sd,cv,cv_cell_bootstrap_ci95_low,cv_cell_bootstrap_ci95_high,direction_contrast_available,modal_direction,direction_consistency,leave_one_cell_out_invariant_stability,eligible_projects,eligible_vendors,complete_claude_codex_pairs,paired_grid_complete,project_rank_spearman,vendor_direction_consistency,median_codex_minus_claude,project_ss_share,vendor_ss_share,interaction_ss_share,leave_one_project_out_shape_stability,external_status,classification,evidence_sufficiency,classification_status,evidence
artifact_reuse_access_share,Stable-identity access reuse,4,0.9187400401701448,0.042837791227006886,0.04662667278447296,0.0002432386969362982,0.05025409675990183,False,0,0.0,0.0,2,2,2,False,,,,,,,,N/A,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=4, CV=0.047, direction=0.00, external=N/A"
top10_session_call_share,Top-10% session call concentration,4,0.7732290962275872,0.15051601929208705,0.19465902153245557,0.031734578749316664,0.27619482648820987,False,0,0.0,0.0,2,2,2,False,,,,,,,,descriptive_magnitude,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=4, CV=0.195, direction=0.00, external=descriptive_magnitude"
path_locality_share,Within-session path locality,4,0.894691323234004,0.06123784668636619,0.06844578135061404,0.003228468044886016,0.07621348474614495,True,1,1.0,1.0,2,2,2,False,,,,,,,,undercovered,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=4, CV=0.068, direction=1.00, external=undercovered"
same_prompt_repeat_read_share,Same-prompt repeated identity reads,4,0.41910065420048015,0.13084814746229417,0.31221174710861205,0.037022047905012304,0.35288371810429886,False,0,0.0,0.0,2,2,2,False,,,,,,,,N/A,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=4, CV=0.312, direction=0.00, external=N/A"
shell_share,Shell tool share,4,0.5871705827765727,0.2157923970491131,0.36751227561280153,0.04208079573688044,0.4858355739489591,False,0,0.0,0.0,2,2,2,False,,,,,,,,harness-shaped,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=4, CV=0.368, direction=0.00, external=harness-shaped"
shell_shell_bigram_share,Shell→shell bigram share,4,0.4765097053001617,0.19839275956176744,0.41634568478893086,0.0725330011007758,0.5592834687653115,True,1,1.0,0.25,2,2,2,False,,,,,,,,N/A,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=4, CV=0.416, direction=1.00, external=N/A"
zero_decisive_validation_session_share,Sessions with zero decisive validation,4,0.6512836511115425,0.1034578594910563,0.15885222869403415,0.034529202889677944,0.1940812112869925,False,0,0.0,0.0,2,2,2,False,,,,,,,,N/A,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=4, CV=0.159, direction=0.00, external=N/A"
startup_extended_excess_median,Startup extended-proxy excess (first 10 − calls 11–20),4,0.037499999999999985,0.0478713553878169,1.2765694770084512,0.28571428571428614,2.0000000000000004,True,1,0.5,0.0,2,2,2,False,,,,,,,,N/A,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=4, CV=1.277, direction=0.50, external=N/A"
late_reread_delta_median,Late-minus-early reread share (median),4,0.19784204147290846,0.033451704655573566,0.16908289262752216,0.014388489208633207,0.18751547204449404,True,1,1.0,1.0,2,2,2,False,,,,,,,,undercovered,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=4, CV=0.169, direction=1.00, external=undercovered"
dormant_revival_transition_share,Dormant revival among repeat touches,4,0.1947248004056323,0.07314285399995005,0.3756216663084813,0.011557438259596993,0.49872619133931323,False,0,0.0,0.0,2,2,2,False,,,,,,,,N/A,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=4, CV=0.376, direction=0.00, external=N/A"
decisive_failure_rate,Decisive Tool-call failure rate,4,0.03321025494751349,0.008538354908925065,0.2570999506754568,0.018638290870365403,0.296008413417349,False,0,0.0,0.0,2,2,2,False,,,,,,,,N/A,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=4, CV=0.257, direction=0.00, external=N/A"
bigram_entropy_bits,Tool-family bigram entropy,4,2.7964028488527566,0.7682422060347954,0.2747251549790017,0.044280786767394796,0.32509625077356763,False,0,0.0,0.0,2,2,2,False,,,,,,,,N/A,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=4, CV=0.275, direction=0.00, external=N/A"
shell_burst_p90,Same-prompt shell-burst p90,4,9.75,4.5,0.46153846153846156,0.07407407407407407,0.555001991784132,False,0,0.0,0.0,2,2,2,False,,,,,,,,N/A,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=4, CV=0.462, direction=0.00, external=N/A"
module_return_call_share,Within-session module-return call share,4,0.10107540669406724,0.0696420417540146,0.6890107498138055,0.020781615962802702,0.9188587049427671,False,0,0.0,0.0,2,2,2,False,,,,,,,,undercovered,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=4, CV=0.689, direction=0.00, external=undercovered"
session_top_path_share_median,Per-session top-path share (median),4,0.43605193003749537,0.17573952144040264,0.40302429443504834,0.09929078014184392,0.4934046275513254,False,0,0.0,0.0,2,2,2,False,,,,,,,,descriptive_magnitude,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=4, CV=0.403, direction=0.00, external=descriptive_magnitude"
