population,distribution,fit_cells,distinct_local_projects,power_law_wins,lognormal_wins,indistinguishable,decisive_fits,dominant_family,decisive_agreement,decisive_coverage,dominant_parameter_cv,common_support_lognormal_mu_sd,selected_xmin_cv,shape_stable_parameter_drifting
local,shell_burst_length,4,2,0,0,4,0,none,,0.0,,,1.1081025026876283,False
local,target_access_count,4,2,0,0,4,0,none,,0.0,,,0.4948716593053935,False
local,unit_call_count,4,2,0,0,4,0,none,,0.0,,,0.6670536448833594,False
