corpus,stratum,units,tool_calls,top10_unit_call_share,top10_unit_call_excess,shell_share,path_locality_share,path_locality_excess,same_path_share,same_module_only_share,cross_module_share,path_locality_n,module_return_call_share,module_return_n,path_reuse_share,path_reuse_n,repeat_path_read_share,repeat_path_read_n,unit_top_path_share_median,unit_top_path_excess_median,unit_top_path_n,late_path_reread_delta_median,late_path_reread_delta_n,top10_unit_call_share_ci95_low,top10_unit_call_share_ci95_high,top10_unit_call_excess_ci95_low,top10_unit_call_excess_ci95_high,path_locality_excess_ci95_low,path_locality_excess_ci95_high,module_return_call_share_ci95_low,module_return_call_share_ci95_high,path_reuse_share_ci95_low,path_reuse_share_ci95_high,repeat_path_read_share_ci95_low,repeat_path_read_share_ci95_high,shell_share_ci95_low,shell_share_ci95_high,unit_top_path_excess_median_ci95_low,unit_top_path_excess_median_ci95_high,unit_top_path_share_median_ci95_low,unit_top_path_share_median_ci95_high,late_path_reread_delta_median_ci95_low,late_path_reread_delta_median_ci95_high
ideatrail,default/train,2,187,0.5294117647058824,0.02941176470588236,0.0,0.8230088495575221,0.6460176991150443,0.21238938053097345,0.6106194690265486,0.17699115044247787,113,0.1565217391304348,115,0.5217391304347826,115,0.43617021276595747,94,0.1846764346764347,0.1483007733007733,2,0.3248803827751196,2,0.5,0.5294117647058824,0.0,0.02941176470588236,0.6451612903225806,0.6470588235294118,0.15384615384615385,0.15873015873015872,0.46153846153846156,0.5714285714285714,0.41304347826086957,0.4583333333333333,0.0,0.0,0.07967032967032968,0.21693121693121692,0.11538461538461539,0.25396825396825395,0.2681818181818182,0.381578947368421
openswe,openhands/minimax_m25,2,130,0.5461538461538461,0.0461538461538461,0.7538461538461538,0.8189655172413793,0.6379310344827587,0.3879310344827586,0.43103448275862066,0.1810344827586207,116,0.2796610169491525,118,0.675392670157068,191,0.6526946107784432,167,0.1576140873015873,0.12480985449735449,2,0.4272273425499232,2,0.5,0.5461538461538461,0.0,0.0461538461538461,0.46875,0.8461538461538461,0.11320754716981132,0.4153846153846154,0.5714285714285714,0.7265625,0.5423728813559322,0.7129629629629629,0.7288135593220338,0.7746478873239436,0.11205357142857143,0.13756613756613756,0.140625,0.1746031746031746,0.4166666666666667,0.43778801843317966
openswe,openhands/qwen35_122b,2,159,0.5157232704402516,0.01572327044025157,0.5786163522012578,0.6732673267326733,0.3465346534653465,0.43564356435643564,0.2376237623762376,0.32673267326732675,101,0.30097087378640774,103,0.6462585034013606,147,0.5957446808510638,94,0.15587044534412955,0.11735192682561103,2,0.625,2,0.5,0.5157232704402516,0.0,0.01572327044025157,0.09523809523809523,0.5254237288135594,0.25,0.37209302325581395,0.4807692307692308,0.7368421052631579,0.3076923076923077,0.7058823529411765,0.5121951219512195,0.6493506493506493,0.11680911680911682,0.11789473684210525,0.15384615384615385,0.15789473684210525,0.25,1.0
openswe,sweagent/minimax_m25,2,143,0.6083916083916084,0.10839160839160844,0.6783216783216783,0.7073170731707317,0.4146341463414634,0.3780487804878049,0.32926829268292684,0.2926829268292683,82,0.27380952380952384,84,0.5785714285714286,140,0.35714285714285715,84,0.19548108657019547,0.13960987444898337,2,,0,0.5,0.6083916083916084,0.0,0.10839160839160844,0.3125,0.48,0.23529411764705882,0.3333333333333333,0.5247524752475248,0.717948717948718,0.3,0.36486486486486486,0.6206896551724138,0.7678571428571429,0.08807755775577558,0.19114219114219114,0.10891089108910891,0.28205128205128205,,
openswe,sweagent/qwen35_122b,2,333,0.5375375375375375,0.037537537537537524,0.8228228228228228,0.6466165413533834,0.2932330827067669,0.3609022556390977,0.2857142857142857,0.3533834586466165,266,0.41044776119402987,268,0.7219047619047619,525,0.6757369614512472,441,0.11502100840336134,0.10087372158165592,2,0.36249347173260216,2,0.5,0.5375375375375375,0.0,0.037537537537537524,0.15151515151515152,0.5247524752475248,0.3333333333333333,0.4578313253012048,0.6428571428571429,0.7591036414565826,0.6041666666666666,0.7104377104377104,0.8212290502793296,0.8246753246753247,0.08452380952380953,0.1172236336395023,0.10119047619047619,0.12885154061624648,0.21147342995169083,0.5135135135135135
