metric,mapped_local_metric,anchor,local_eligible_cells,local_modal_direction,local_direction_consistency,public_eligible_strata,public_matching_direction_share,ideatrail_ci_support,openswe_ci_support_strata,external_status,local_range,public_range
top10_unit_call_share,top10_session_call_share,0.0,4,1,1.0,0,,False,0,descriptive_magnitude,0.576692..0.939307,
path_locality_excess,path_locality_share,0.0,4,1,1.0,4,1.0,True,3,undercovered,0.680161..0.923712,0.293233..0.646018
module_return_call_share,module_return_call_share,0.0,4,1,1.0,4,1.0,True,3,undercovered,0.031331..0.164313,0.156522..0.410448
path_reuse_share,analogous_only,0.0,4,1,1.0,5,1.0,True,4,undercovered,0.789622..0.89372,0.521739..0.721905
repeat_path_read_share,analogous_only,0.0,4,1,1.0,2,1.0,False,2,undercovered,0.701832..0.840214,0.652695..0.675737
shell_share,shell_share,0.5,4,1,0.75,5,0.8,False,4,harness-shaped,0.323886..0.7944,0..0.822823
unit_top_path_share_median,session_top_path_share_median,0.0,4,1,1.0,0,,False,0,descriptive_magnitude,0.27027..0.666667,
late_path_reread_delta_median,late_reread_delta_median,0.0,4,1,1.0,0,,False,0,undercovered,0.166667..0.231293,
