metric,metric_label,project,vendor,value,numerator,denominator,n_units,eligible,eligibility_reason,contrast_value,contrast_definition,decisive_coverage,recognized_test_session_coverage,decisive_test_status_coverage,independent_worktrees,source
path_locality_share,Within-session path locality,agentsight,gemini,0.625,5,8,2,False,8 transitions/2 contributing sessions; need 100/10,0.25,(same exact path + same-module-only) share minus cross-module share,,,,,final-HEAD RQ4 accesses
path_locality_share,Within-session path locality,ActPlane,claude,0.9618561182351663,8851,9202,52,True,>=100 within-session path transitions and >=10 denominator-contributing sessions,0.9237122364703325,(same exact path + same-module-only) share minus cross-module share,,,,,final-HEAD RQ4 accesses
path_locality_share,Within-session path locality,ActPlane,codex,0.8400803616273229,8363,9955,64,True,>=100 within-session path transitions and >=10 denominator-contributing sessions,0.6801607232546458,(same exact path + same-module-only) share minus cross-module share,,,,,final-HEAD RQ4 accesses
path_locality_share,Within-session path locality,ActPlane,gemini,,0,0,0,False,0 transitions/0 contributing sessions; need 100/10,,(same exact path + same-module-only) share minus cross-module share,,,,,final-HEAD RQ4 accesses
path_locality_share,Within-session path locality,bpf-developer-tutorial,claude,,,,0,False,not evaluated in preflight,,N/A,,,,,final-HEAD RQ4 accesses
path_locality_share,Within-session path locality,bpf-developer-tutorial,codex,,,,0,False,not evaluated in preflight,,N/A,,,,,final-HEAD RQ4 accesses
path_locality_share,Within-session path locality,bpf-developer-tutorial,gemini,,,,0,False,not evaluated in preflight,,N/A,,,,,final-HEAD RQ4 accesses
path_locality_share,Within-session path locality,eunomia.dev,claude,,,,0,False,not evaluated in preflight,,N/A,,,,,final-HEAD RQ4 accesses
path_locality_share,Within-session path locality,eunomia.dev,codex,,,,0,False,not evaluated in preflight,,N/A,,,,,final-HEAD RQ4 accesses
path_locality_share,Within-session path locality,eunomia.dev,gemini,,,,0,False,not evaluated in preflight,,N/A,,,,,final-HEAD RQ4 accesses
path_locality_share,Within-session path locality,agentskill-observability-paper,claude,,,,0,False,not evaluated in preflight,,N/A,,,,,final-HEAD RQ4 accesses
path_locality_share,Within-session path locality,agentskill-observability-paper,codex,,,,0,False,not evaluated in preflight,,N/A,,,,,final-HEAD RQ4 accesses
path_locality_share,Within-session path locality,agentskill-observability-paper,gemini,,,,0,False,not evaluated in preflight,,N/A,,,,,final-HEAD RQ4 accesses
path_locality_share,Within-session path locality,academic-writing-skills,claude,,,,0,False,not evaluated in preflight,,N/A,,,,,final-HEAD RQ4 accesses
path_locality_share,Within-session path locality,academic-writing-skills,codex,,,,0,False,not evaluated in preflight,,N/A,,,,,final-HEAD RQ4 accesses
path_locality_share,Within-session path locality,academic-writing-skills,gemini,,,,0,False,not evaluated in preflight,,N/A,,,,,final-HEAD RQ4 accesses
same_prompt_repeat_read_share,Same-prompt repeated identity reads,agentsight,claude,0.3210955710955711,1102,3432,96,True,>=50 reads and >=10 denominator-contributing sessions,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,agentsight,codex,0.5110606667556861,11482,22467,100,True,>=50 reads and >=10 denominator-contributing sessions,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,agentsight,gemini,0.0,0,10,2,False,10 reads/2 contributing sessions; need 50/10,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,ActPlane,claude,0.293119698397738,1244,4244,53,True,>=50 reads and >=10 denominator-contributing sessions,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,ActPlane,codex,0.5511266805529256,5821,10562,67,True,>=50 reads and >=10 denominator-contributing sessions,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,ActPlane,gemini,,0,0,0,False,0 reads/0 contributing sessions; need 50/10,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,bpf-developer-tutorial,claude,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,bpf-developer-tutorial,codex,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,bpf-developer-tutorial,gemini,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,eunomia.dev,claude,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,eunomia.dev,codex,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,eunomia.dev,gemini,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,agentskill-observability-paper,claude,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,agentskill-observability-paper,codex,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,agentskill-observability-paper,gemini,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,academic-writing-skills,claude,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/repeated_reads
same_prompt_repeat_read_share,Same-prompt repeated identity reads,academic-writing-skills,codex,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/repeated_reads
