population,corpus_or_project,stratum_or_vendor,metric,value,n,eligible,direction_anchor,ci95_low,ci95_high
local,ActPlane,codex,unit_top_path_share_median,0.2702702702702703,67,True,0.0,,
local,ActPlane,codex,late_path_reread_delta_median,0.221840354767184,42,True,0.0,,
local,ActPlane,gemini,top10_unit_call_share,,0,False,0.0,,
local,ActPlane,gemini,path_locality_excess,,0,False,0.0,,
local,ActPlane,gemini,module_return_call_share,,0,False,0.0,,
local,ActPlane,gemini,path_reuse_share,,0,False,0.0,,
local,ActPlane,gemini,repeat_path_read_share,,0,False,0.0,,
local,ActPlane,gemini,shell_share,,0,False,0.5,,
local,ActPlane,gemini,unit_top_path_share_median,,0,False,0.0,,
local,ActPlane,gemini,late_path_reread_delta_median,,0,False,0.0,,
local,bpf-developer-tutorial,claude,top10_unit_call_share,,0,False,0.0,,
local,bpf-developer-tutorial,claude,path_locality_excess,,0,False,0.0,,
local,bpf-developer-tutorial,claude,module_return_call_share,,0,False,0.0,,
local,bpf-developer-tutorial,claude,path_reuse_share,,0,False,0.0,,
local,bpf-developer-tutorial,claude,repeat_path_read_share,,0,False,0.0,,
local,bpf-developer-tutorial,claude,shell_share,,0,False,0.5,,
local,bpf-developer-tutorial,claude,unit_top_path_share_median,,0,False,0.0,,
local,bpf-developer-tutorial,claude,late_path_reread_delta_median,,0,False,0.0,,
local,bpf-developer-tutorial,codex,top10_unit_call_share,,0,False,0.0,,
local,bpf-developer-tutorial,codex,path_locality_excess,,0,False,0.0,,
local,bpf-developer-tutorial,codex,module_return_call_share,,0,False,0.0,,
local,bpf-developer-tutorial,codex,path_reuse_share,,0,False,0.0,,
local,bpf-developer-tutorial,codex,repeat_path_read_share,,0,False,0.0,,
local,bpf-developer-tutorial,codex,shell_share,,0,False,0.5,,
local,bpf-developer-tutorial,codex,unit_top_path_share_median,,0,False,0.0,,
local,bpf-developer-tutorial,codex,late_path_reread_delta_median,,0,False,0.0,,
local,bpf-developer-tutorial,gemini,top10_unit_call_share,,0,False,0.0,,
local,bpf-developer-tutorial,gemini,path_locality_excess,,0,False,0.0,,
local,bpf-developer-tutorial,gemini,module_return_call_share,,0,False,0.0,,
local,bpf-developer-tutorial,gemini,path_reuse_share,,0,False,0.0,,
local,bpf-developer-tutorial,gemini,repeat_path_read_share,,0,False,0.0,,
local,bpf-developer-tutorial,gemini,shell_share,,0,False,0.5,,
local,bpf-developer-tutorial,gemini,unit_top_path_share_median,,0,False,0.0,,
local,bpf-developer-tutorial,gemini,late_path_reread_delta_median,,0,False,0.0,,
local,eunomia.dev,claude,top10_unit_call_share,,0,False,0.0,,
local,eunomia.dev,claude,path_locality_excess,,0,False,0.0,,
local,eunomia.dev,claude,module_return_call_share,,0,False,0.0,,
local,eunomia.dev,claude,path_reuse_share,,0,False,0.0,,
local,eunomia.dev,claude,repeat_path_read_share,,0,False,0.0,,
local,eunomia.dev,claude,shell_share,,0,False,0.5,,
local,eunomia.dev,claude,unit_top_path_share_median,,0,False,0.0,,
local,eunomia.dev,claude,late_path_reread_delta_median,,0,False,0.0,,
local,eunomia.dev,codex,top10_unit_call_share,,0,False,0.0,,
local,eunomia.dev,codex,path_locality_excess,,0,False,0.0,,
local,eunomia.dev,codex,module_return_call_share,,0,False,0.0,,
local,eunomia.dev,codex,path_reuse_share,,0,False,0.0,,
local,eunomia.dev,codex,repeat_path_read_share,,0,False,0.0,,
local,eunomia.dev,codex,shell_share,,0,False,0.5,,
local,eunomia.dev,codex,unit_top_path_share_median,,0,False,0.0,,
local,eunomia.dev,codex,late_path_reread_delta_median,,0,False,0.0,,
local,eunomia.dev,gemini,top10_unit_call_share,,0,False,0.0,,
local,eunomia.dev,gemini,path_locality_excess,,0,False,0.0,,
local,eunomia.dev,gemini,module_return_call_share,,0,False,0.0,,
local,eunomia.dev,gemini,path_reuse_share,,0,False,0.0,,
local,eunomia.dev,gemini,repeat_path_read_share,,0,False,0.0,,
local,eunomia.dev,gemini,shell_share,,0,False,0.5,,
local,eunomia.dev,gemini,unit_top_path_share_median,,0,False,0.0,,
local,eunomia.dev,gemini,late_path_reread_delta_median,,0,False,0.0,,
local,agentskill-observability-paper,claude,top10_unit_call_share,,0,False,0.0,,
