source,path,status,sha256
generator script,script/paper_english_experiment_gap_audit.py,tracked_clean,b19c31833e07a3a2f0aa90cf870ca3cf1734d99c1971a9431b4a382a6a5d0652
English paper draft,docs/agentpprof-paper/main.tex,tracked_clean,d0cdbff3b1bef6b4aee1cd8c43a510785089d82ae8cc5a5f4c2a8b0c006ef969
Chinese paper draft,docs/visexp/paper/main.tex,tracked_clean,27b901cdeb4dfaa3d5684cf244b847ec09cbc623c7f4b495f71841096a29d1c3
evaluation ledger,docs/evaluation.md,tracked_clean,4c0d4bf691ffdee990db3124a72586f235b93162beb55bc198f928a2f7ee718e
design notes,docs/design.md,tracked_clean,b1d0f74e14bee64bbb245835daa8a3cb823a306a74c1d5fb150ceec04a0a2eb7
implementation notes,docs/implementation.md,tracked_clean,cc533d540c93197699bb9091de255441030e4cca954f0e0a992414c7230de394
R320 hidden-label benchmark,docs/visexp/out/operation-profile-accuracy-r320/profile-accuracy-report.json,tracked_clean,4baf9e91f444ec47a4d8d843ffc210e11fabf51b18dbc6113c7a2b2532a35786
R344 metric consistency,docs/visexp/out/operation-metric-consistency-r344/metric-consistency-report.json,tracked_clean,efd92f217e603babb4ed900ae8551ade316dd8cfe9c0eb46fd8974a1f84026fb
R355 oracle-depth adequacy,docs/visexp/out/operation-oracle-depth-adequacy-r355/oracle-depth-adequacy-report.json,tracked_clean,59b32c9cb9f00000984ae19376ac9aa411ad7b1c9a679ef3d0306017e5def00a
R366 field derivation,docs/visexp/out/operation-field-derivation-mechanism-r366/field-derivation-mechanism-report.json,tracked_clean,c29010e8f008498962dccf5c5494ed739a19020935739eb66db358e76afeb870
R368 trace-tree baseline,docs/visexp/out/paper-trace-tree-baseline-r368/trace-tree-baseline-report.json,tracked_clean,a261b64246f392a48b45c55cd43fb62c2d962ce6cbb86040697818d2edb2a81c
R375 claim gate,docs/visexp/out/paper-core-claim-gate-r375/core-claim-gate-report.json,tracked_clean,ef0085eb95e71921df924b6209eee1d3925cec402325b8feee84695b9cc624dc
R400 field suitability,docs/visexp/out/operation-field-suitability-r400/field-suitability-report.json,tracked_clean,8f85dddc0ed65f1de48ae62353454abd2d545c0748db6defc67c8e13afa1561f
AgentNet operations,docs/visexp/out/external-agent-trace-agentnet-r291/agentnet-operations.jsonl,tracked_clean,e03ba3d30e79f6ce3d6c5f75059dd3f66c8fd5016a82b4067909865507066172
AgentRewardBench operations,docs/visexp/out/external-agent-trace-agentreward-r288/agentreward-operations.jsonl,tracked_clean,ebefa409e182b53790fdf900820b3092b974e9ac84d29517ea8a5386c254118b
OSWorld-Human operations,docs/visexp/out/external-agent-trace-osworldhuman-r290/osworld-human-operations.jsonl,tracked_clean,d6b88ba65a089da4ab433f091d205f9a31286ae680a56f51baefcd7753bc84c3
SATraj-OS operations,docs/visexp/out/external-agent-trace-satraj-r289/satraj-operations.jsonl,tracked_clean,686c69e9159a62225b6640ee2aa7783ec5de83bd6b64b59b045038a30811520d
ScaleCUA operations,docs/visexp/out/external-agent-trace-scalecua-r292/scalecua-operations.jsonl,tracked_clean,8523780ec8f1bc3e6570a4e577d9754414d15c66c6916b7a355558a64e7fd6ea
R300 query utility operations,docs/visexp/out/operation-query-utility-r300/query-utility-operations.jsonl,tracked_clean,0f714298afa13996ab6b49995ec30d1ec47f7eb7c6adf13072720d102673b5e4
