claim_test,metric,value,denominator,interpretation
localized_positive_evidence,top5_positive_tasks,6,6,top operation-stack packet contains at least one positive group
strict_inspection_budget,top5_work_le_30pct,4,6,top five stack groups inspect <=30% of operations
first_positive_budget,first_positive_work_le_10pct,4,6,first positive appears within 10% operation work
less_work_than_flat,operation_stack_beats_flat_top5_work,6,6,operation-stack top-5 requires less operation work than flat summary
less_fragmented_than_fixed,operation_stack_fewer_groups_than_fixed,4,6,operation-stack has fewer ranked groups than fixed-session tree
actionable_counterfactual,nondefault_objective_rows,27,36,offline objective rows where a visible non-default knob improves the default
held_out_guardrail,selected_within_tolerance,35,60,"held-out policy selection is a partial proxy, not an exact action selector"
