task,dataset,query_family,operations,positives,prevalence,operation_stack_groups,evidence_groups_inspected,top_stack_positive_groups,top_stack_positive_operations,top_stack_group_ids,top1_positive,top5_positive,top5_recall,top5_precision,top5_lift,top5_work,first_positive_rank,first_positive_work,top5_work_le_30pct,first_positive_work_le_10pct,flat_top5_work,fixed_session_top5_recall,operation_stack_beats_flat_work,operation_stack_beats_fixed_recall,operation_stack_has_fewer_groups_than_fixed,baseline_counterpoints,nondefault_action_rows,default_best_rows,action_class_count,action_classes,median_gain_over_default,max_gain_over_default,optimization_action,useful_stack_fields,leave_task_within_tolerance,leave_task_exact_action,leave_task_beats_default,leave_dataset_within_tolerance,leave_dataset_exact_action,leave_dataset_beats_default,transfer_guardrail,packet_verdict
agentnet_incorrect_step,agentnet,step-quality,14718,874,0.059383,289,5,2,3,"[""fa456c553b90"", ""de2a13f0e38b"", ""af0396d069cf"", ""79ffe6d2264e"", ""8666ffb9fedf""]",False,True,0.003432,0.142857,2.405688,0.001427,3,0.000747,True,True,1.0,0.012586,True,False,True,"[""top5_recall->flat:width""]",3,3,3,"[""keep_default_operation_stack"", ""use_flat_full_recall_counterpoint"", ""use_raw_action_mapping_counterpoint""]",0.0528,288.0,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",5,1,2,5,1,2,held_out_metric_partial_not_action_exact,bounded_30pct_packet
agentnet_redundant_step,agentnet,step-quality,10067,733,0.072812,260,5,4,13,"[""898cd2b61815"", ""983755309b28"", ""a474ddcab872"", ""49d8042df902"", ""efdcf1234292""]",True,True,0.017735,0.144444,1.983796,0.00894,1,0.005066,True,True,1.0,0.012278,True,True,True,"[""top5_recall->flat:width"", ""first_positive->fixed_session:query_aware""]",4,2,4,"[""keep_default_operation_stack"", ""retune_operation_stack_ranker"", ""use_flat_full_recall_counterpoint"", ""use_raw_action_mapping_counterpoint""]",0.05715,259.0,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",5,2,3,5,2,3,held_out_metric_partial_not_action_exact,bounded_30pct_packet
agentreward_looping,agent-reward-bench,failure-looping,729,504,0.691358,40,5,5,328,"[""5f27e636831b"", ""0d3274153443"", ""c5747b954529"", ""460d3a6cf2f3"", ""9fc5e01b91c8""]",True,True,0.650794,0.911111,1.317857,0.493827,1,0.205761,False,False,1.0,0.238095,True,True,False,"[""top5_recall->flat:width"", ""first_positive->raw_action_stack:query_aware""]",4,2,4,"[""keep_default_operation_stack"", ""use_dataset_native_hierarchy"", ""use_flat_full_recall_counterpoint"", ""use_raw_action_mapping_counterpoint""]",0.1313,39.0,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",3,1,3,2,0,3,held_out_metric_partial_not_action_exact,actionable_budget_exception
agentreward_side_effect,agent-reward-bench,failure-side-effect,729,202,0.277092,40,5,2,23,"[""a42a1b14823a"", ""e53d9469b473"", ""16926d4c9455"", ""c19c6f08275b"", ""e51e8d3c7a62""]",True,True,0.113861,0.216981,0.783066,0.145405,1,0.064472,True,True,1.0,0.0,True,True,False,"[""top5_recall->flat:width"", ""top5_lift->raw_action_stack:query_aware""]",5,1,3,"[""drill_down_fixed_session"", ""keep_default_operation_stack"", ""use_flat_full_recall_counterpoint""]",0.64115,39.0,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",1,0,3,1,0,3,held_out_metric_partial_not_action_exact,bounded_30pct_packet
osworld_group_start,osworld-human,human-boundary,4011,764,0.190476,173,5,4,296,"[""9817a6cabf47"", ""0a92d6cb1708"", ""94b28e889508"", ""5aed3f66387f"", ""0056cebc209a""]",True,True,0.387435,0.181151,0.95104,0.40738,1,0.131139,False,False,1.0,0.034031,True,True,True,"[""top5_recall->flat:width"", ""top5_lift->fixed_session:query_aware"", ""first_positive->fixed_session:query_aware""]",6,0,4,"[""drill_down_fixed_session"", ""retune_operation_stack_ranker"", ""use_dataset_native_hierarchy"", ""use_flat_full_recall_counterpoint""]",0.12705,172.0,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",3,0,3,3,0,3,held_out_metric_partial_not_action_exact,actionable_budget_exception
satraj_unsafe,satraj-os-safety,safety,4285,622,0.145158,142,5,4,163,"[""c5bb19791fb5"", ""847a40ab973f"", ""b49bde8e900a"", ""36f1029928e4"", ""08411d07cf97""]",True,True,0.262058,0.905556,6.238433,0.042007,1,0.011202,True,True,1.0,0.057878,True,True,True,"[""top5_recall->flat:width"", ""first_positive->fixed_session:query_aware""]",5,1,4,"[""drill_down_fixed_session"", ""keep_default_operation_stack"", ""use_dataset_native_hierarchy"", ""use_flat_full_recall_counterpoint""]",0.21735,141.0,Use environment + phase + action stack fields; prioritize risky environments and write actions.,"analysis_task,dataset,environment,phase,action,repeat_signal,status",1,0,1,1,0,1,held_out_metric_partial_not_action_exact,bounded_30pct_packet
