policy,view,ranker,tasks,uses_hidden_fields,median_top5_operation_work,median_top5_positive_session_recall,median_top5_session_work,median_top5_positive_session_f1,median_budget30_positive_operation_recall,median_budget30_positive_session_recall,median_budget30_session_work,median_budget30_positive_session_f1,median_budget30_positive_session_lift,median_budget30_session_efficiency
dataset_native:oracle_upper_bound,dataset_native,oracle_upper_bound,6,True,0.9218,0.8422,0.8031,0.44,0.3698,0.421,0.3897,0.5573,1.1167,1.1167
dataset_native:query_aware,dataset_native,query_aware,6,False,0.8539,0.75,0.7359,0.3249,0.3377,0.414,0.3793,0.5176,1.0859,1.0859
dataset_native:visible_risk,dataset_native,visible_risk,6,False,0.9011,0.7992,0.7672,0.3249,0.298,0.3748,0.3793,0.4773,0.9254,0.9254
dataset_native:width,dataset_native,width,6,False,0.9511,0.873,0.8484,0.5049,0.2404,0.2576,0.3817,0.3046,0.6596,0.6596
fixed_session:oracle_upper_bound,fixed_session,oracle_upper_bound,6,True,0.016,0.0387,0.0178,0.0738,0.6092,0.4469,0.2961,0.5424,1.4951,1.4951
fixed_session:query_aware,fixed_session,query_aware,6,False,0.0163,0.016,0.0178,0.0314,0.3559,0.323,0.3227,0.4563,1.1721,1.1721
fixed_session:visible_risk,fixed_session,visible_risk,6,False,0.0256,0.0086,0.0178,0.0169,0.3274,0.2094,0.3185,0.3167,1.0569,1.0569
fixed_session:width,fixed_session,width,6,False,0.1413,0.016,0.0178,0.0314,0.2824,0.1673,0.155,0.2712,1.1575,1.1575
flat:oracle_upper_bound,flat,oracle_upper_bound,6,True,1.0,1.0,1.0,0.745,0.0,0.0,0.0,0.0,0.0,0.0
flat:query_aware,flat,query_aware,6,False,1.0,1.0,1.0,0.745,0.0,0.0,0.0,0.0,0.0,0.0
flat:visible_risk,flat,visible_risk,6,False,1.0,1.0,1.0,0.745,0.0,0.0,0.0,0.0,0.0,0.0
flat:width,flat,width,6,False,1.0,1.0,1.0,0.745,0.0,0.0,0.0,0.0,0.0,0.0
label_drilldown:oracle_upper_bound,label_drilldown,oracle_upper_bound,6,True,0.115,0.8549,0.3147,0.9217,1.0,1.0,0.84,0.8013,1.192,1.192
label_drilldown:query_aware,label_drilldown,query_aware,6,True,0.096,0.1797,0.3876,0.151,0.3449,0.5901,0.5415,0.4192,1.0288,1.0288
label_drilldown:visible_risk,label_drilldown,visible_risk,6,True,0.0971,0.0672,0.2961,0.0893,0.3577,0.4379,0.7241,0.3432,0.53,0.53
label_drilldown:width,label_drilldown,width,6,True,0.5509,0.0,0.6758,0.0,0.0707,0.1307,0.492,0.1111,0.3439,0.3439
operation_stack:oracle_upper_bound,operation_stack,oracle_upper_bound,6,True,0.0441,0.428,0.1054,0.417,0.564,0.6808,0.5524,0.6425,1.1888,1.1888
operation_stack:query_aware,operation_stack,query_aware,6,False,0.0937,0.2629,0.1783,0.2838,0.39,0.4669,0.3467,0.4921,1.1379,1.1379
operation_stack:visible_risk,operation_stack,visible_risk,6,False,0.0993,0.1018,0.1778,0.1179,0.312,0.3984,0.7241,0.3542,0.6596,0.6596
operation_stack:width,operation_stack,width,6,False,0.5424,0.363,0.4352,0.4372,0.3372,0.3604,0.3455,0.4096,1.0239,1.0239
raw_action_stack:oracle_upper_bound,raw_action_stack,oracle_upper_bound,6,True,0.7089,0.9537,0.8717,0.7945,0.3701,0.6932,0.8564,0.4242,0.8445,0.8445
raw_action_stack:query_aware,raw_action_stack,query_aware,6,False,0.1507,0.3827,0.5664,0.2637,0.3325,0.5147,0.9103,0.3904,0.6837,0.6837
raw_action_stack:visible_risk,raw_action_stack,visible_risk,6,False,0.2122,0.2641,0.5887,0.1196,0.3016,0.6256,0.9263,0.3474,0.7616,0.7616
raw_action_stack:width,raw_action_stack,width,6,False,0.8746,0.959,0.8926,0.7619,0.3384,0.6707,0.8005,0.3655,0.8597,0.8597
