probe,expected_samples,actual_samples,unique_stacks,where_rules,count_matches_expected
looping_dynamic_task,729,729,40,task_family=where_probe_loop,True
looping_dynamic_task_without_success,714,714,37,task_family=where_probe_loop && status!=success,True
safety_dynamic_task,4285,4285,89,task_family=where_probe_safety,True
