task,dataset,query_family,best_visible_top5_policy,best_ap_policy,best_top5_f1_policy,best_budget30_policy,best_wtfp_policy,operation_stack_ap,operation_stack_top5_recall,operation_stack_top5_work,flat_top5_work,fixed_session_top5_recall,fixed_session_wtfp_advantage,mapping_gain_top5_f1_vs_raw_action,query_aware_ap_gain_vs_width,width_ap,critical_features,misleading_features,ap_preferred_stack_depth,semantic_ap,coarse_ap,coarse_group_reduction,global_equal_best_delta_ap_vs_width,leave_task_transfer_selections,groups_to_50pct_delta_vs_fixed,budget30_group_delta_vs_fixed,budget30_recall_delta_vs_fixed,useful_stack_fields,optimization_action,evidence_tags,counterpoints,actionability_status
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,operation_stack:query_aware,dataset_native:query_aware,operation_stack:query_aware,raw_action_stack:visible_risk,0.8808,0.6508,0.4938,1.0,0.2381,0.1646,0.5731,0.1154,0.7653,coarse:loop-like (delta_ap=-0.1363); semantic:loop-like (delta_ap=-0.1183),,semantic,0.8808,0.8174,24.0,0.1518,coarse:source_equal_satraj_unsafe (delta_ap=0.0888); semantic:source_equal_satraj_unsafe (delta_ap=0.0649),-7.0,-4.0,0.0377,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status","Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.",ranker; mapping; feature; depth; transfer; fragmentation,fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1,actionable_mixed
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:width,fixed_session:width,fixed_session:width,fixed_session:width,operation_stack:query_aware,0.3979,0.1139,0.1454,1.0,0.0,-0.2826,-0.2591,0.0318,0.3661,coarse:write-action (delta_ap=-0.0754); semantic:write-action (delta_ap=-0.0824),,coarse,0.3947,0.4252,24.0,-0.1271,coarse:source_equal_satraj_unsafe (delta_ap=-0.0885); semantic:source_equal_satraj_unsafe (delta_ap=-0.0586),10.0,18.0,0.3812,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,ranker; mapping; feature; depth; transfer; fragmentation,raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,actionable_mixed
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,dataset_native:query_aware,operation_stack:query_aware,dataset_native:query_aware,fixed_session:query_aware,0.4875,0.2621,0.042,1.0,0.0579,0.0075,0.0261,0.3872,0.1003,coarse:success (delta_ap=-0.3948); semantic:success (delta_ap=-0.2682),semantic:loop-like (delta_ap=0.1734),coarse,0.4772,0.6081,120.0,0.0343,coarse:global_equal (delta_ap=0.0343); semantic:source_equal_agentnet_incorrect_step (delta_ap=-0.0123),-18.0,-51.0,-0.0274,"analysis_task,dataset,environment,phase,action,repeat_signal,status",Use environment + phase + action stack fields; prioritize risky environments and write actions.,ranker; mapping; feature; depth; transfer; fragmentation,fixed_session_lower_work_to_first_positive; misleading_visible_feature,actionable_mixed
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack:width,operation_stack:query_aware,raw_action_stack:width,operation_stack:query_aware,operation_stack:query_aware,0.0886,0.0034,0.0014,1.0,0.0126,-0.001,-0.0121,0.0199,0.0687,,,semantic,0.0847,0.077,246.0,0.0305,coarse:source_equal_satraj_unsafe (delta_ap=0.0159); semantic:source_equal_satraj_unsafe (delta_ap=0.0254),-140.0,-118.0,0.032,"analysis_task,dataset,environment,phase,action,repeat_signal,status","Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.",ranker; depth; transfer; fragmentation,raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,actionable_mixed
agentnet_redundant_step,agentnet,step-quality,raw_action_stack:width,operation_stack:query_aware,raw_action_stack:width,operation_stack:query_aware,operation_stack:visible_risk,0.0875,0.0177,0.0089,1.0,0.0123,0.0038,-0.049,0.0012,0.0863,semantic:failure (delta_ap=-0.0008),,semantic,0.0874,0.0772,218.0,0.0081,coarse:source_equal_satraj_unsafe (delta_ap=0.0024); semantic:source_equal_satraj_unsafe (delta_ap=0.0023),-115.0,-80.0,0.0231,"analysis_task,dataset,environment,phase,action,repeat_signal,status","Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.",ranker; mapping; feature; depth; transfer; fragmentation,fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,actionable_mixed
osworld_group_start,osworld-human,human-boundary,flat:width,fixed_session:query_aware,flat:width,operation_stack:width,fixed_session:visible_risk,0.2254,0.3874,0.4074,1.0,0.034,0.1261,-0.0058,0.0037,0.2217,,coarse:input-phase (delta_ap=0.0225); semantic:input-phase (delta_ap=-0.0136),semantic,0.2214,0.186,141.0,0.0128,coarse:source_equal_satraj_unsafe (delta_ap=-0.0048); semantic:source_equal_satraj_unsafe (delta_ap=0.0001),-45.0,-57.0,-0.0537,"analysis_task,dataset,app,phase,action,repeat_signal,status",Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,ranker; depth; transfer; fragmentation,fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1,actionable_mixed
