audit_id,audit_type,dimension,raw_tag,canonical_tag,reason,confidence,profile_similarity,support,risk_reasons,raw_top_processes,raw_top_effects,raw_top_paths,raw_top_prompts,raw_top_sessions,audit_label,audit_notes
R190-0001,overmerge_proxy,session,uxdesign,design,lexical+profile,0.859,0.818,1148,high_support_merge,rg=324; sed=258; wc=180; git=164; cargo=112; nl=78,read=1010; test=86; process=52,collector/src=616; none=178; docs/design=82; .rs=62; collector/tests=54; src=44,review=278; uxdesigncodx=224; docx=198; codexcheck=176; codexinteg=100; design=48,,,
R190-0002,overmerge_proxy,prompt,designcodex,design,lexical+profile,0.775,0.588,1074,high_support_merge,rg=376; sed=186; cargo=162; find=118; git=96; wc=34,read=834; test=152; process=84; repo=4,collector/src=638; collector/cargo.toml=160; collector/tests=84; docs/design=62; none=60; .rs=48,,design=1075,,
R190-0003,overmerge_proxy,prompt,testcodex,test,lexical+profile,0.807,0.698,982,high_support_merge,git=248; sed=183; rg=149; tool/tool=51; find=44; actplane=43,read=675; process=265; test=23; network=12; repo=7,none=204; bpf=124; collector/src=109; docs/corpus-test=75; docs/eval_scripts=72; docs/eval.md=50,,test=1010,,
R190-0004,overmerge_proxy,prompt,docupdate,docs,alias,0.96,0.0,446,dictionary_alias_needs_human_check;high_support_merge,git=144; tool/tool=84; rg=41; sed=35; find=33; tmp_mktemp=32,read=259; process=179; repo=4; test=4,none=162; script=94; readme.md=34; docs/feedback-design.md=18; collector/readme.md=16; yunwei37=16,,review=301; design=112; research=38,,
R190-0005,overmerge_proxy,prompt,designfix,design,alias,0.96,0.0,404,dictionary_alias_needs_human_check;high_support_merge,rg=180; nl=98; find=42; cargo=28; git=16; tool/subagent=16,read=340; process=36; test=28,collector/src=230; collector/tests=54; collector/cargo.toml=28; docs/design=28; none=18; collector/adapters=16,,design=406,,
R190-0006,overmerge_proxy,llm,uxdesign,design,lexical+profile,0.79,0.619,357,high_support_merge,,,,review=1152922522; docx=769754031; codexcheck=474901594; codexinteg=401430163; refactor=383636057; uxdesigncodx=302513465,uxdesign=4071308980; design=43,,
R190-0007,overmerge_proxy,prompt,eval,evaluate,alias,0.96,0.0,273,dictionary_alias_needs_human_check;high_support_merge,python3=60; sed=45; tool/tool=36; find=31; rg=22; cat=20,process=138; read=134; test=1,docs/corpus-test=92; none=44; docs/tmp=20; workspace=18; docs/eval.md=18; kernel=14,,test=266; research=12,,
R190-0008,overmerge_proxy,prompt,reviewbu,review,lexical+profile,0.797,0.64,254,high_support_merge,nl=110; rg=96; git=30; find=18,read=254,collector/src=138; none=30; frontend/src=18; collector/tests=8; .rs=8; collector/adapters=6,,reviewbu=255,,
R190-0009,overmerge_proxy,session,reviewbu,review,lexical+profile,0.807,0.668,254,high_support_merge,nl=110; rg=96; git=30; find=18,read=254,collector/src=138; none=30; frontend/src=18; collector/tests=8; .rs=8; collector/adapters=6,reviewbu=254,,,
R190-0010,overmerge_proxy,prompt,testcodexrun,test,lexical+profile,0.789,0.647,198,high_support_merge,find=42; python3=32; tool/tool=30; sed=28; git=16; llama-server=12,read=98; process=92; network=6; write=2,none=60; docs/eval_scripts=32; docs/corpus-rq1=18; docs/corpus=16; build=14; collector/src=10,,test=199,,
R190-0011,overmerge_proxy,prompt,analyzesess,analyze,lexical+profile,0.852,0.816,179,high_support_merge,rg=38; python3=29; sed=27; git=21; find=13; tool/tool=10,read=114; process=62; repo=3,docs/visexp=104; none=36; collector/src=8; paper=6; osdi-experiment-design=3; skills=2,,analyze=185,,
R190-0012,overmerge_proxy,prompt,docwrite,docs,alias,0.96,0.0,174,dictionary_alias_needs_human_check;high_support_merge,sed=76; rg=48; opencode=14; tool/plan=10; ls=4; git=4,read=140; process=32; test=2,bpf=34; none=32; collector/src=28; agentsight=22; .opencode=20; docs/tmp=8,,docwrite=92; docs=51; research=35,,
R190-0013,overmerge_proxy,prompt,doc,docs,alias,0.96,0.0,171,dictionary_alias_needs_human_check;high_support_merge,rg=36; sed=34; tool/tool=18; git=14; cargo=12; rm=12,read=98; process=54; test=12; write=7,bpfopt=42; none=37; tmp=15; runner=12; docs/tmp=7; bpfopt-loader-katran-bpftestrun=5,,research=127; license=39; test=8,,
R190-0014,overmerge_proxy,session,visdesign,design,lexical+profile,0.761,0.538,164,low_profile_similarity;high_support_merge,sed=36; cargo=16; python3=16; find=14; jq=14; nl=14,read=108; process=54; write=2,docs/design=84; none=20; frontend/src=20; collector/cargo.toml=16; docs/sample-snapshot.json=6; collector/target=2,docgen=100; visdesign=64,,,
