rank,behavior_key,total_weight,weight_share_pct,distinct_prompt_tags,top_prompt_tag,top_prompt_weight,top_prompt_share_pct,prompt_entropy_bits,top_prompt_tags
1,process:rg;effect:read;status:ok,32084,17.464,175,refactor,13890,43.293,3.213168,refactor=13890; review=6811; design=2922; analyze=981; test=911; benchmark=783; research=674; docs=530
2,process:sed;effect:read;status:ok,30606,16.66,180,refactor,13514,44.155,3.30759,refactor=13514; review=5006; design=2918; test=1213; analyze=1153; benchmark=1001; research=930; docs=494
3,process:git;effect:read;status:ok,17028,9.269,146,refactor,5625,33.034,3.887897,refactor=5625; review=3879; design=868; test=781; analyze=685; research=571; docs=365; explain=291
4,process:tool:tool;effect:process;status:ok,13242,7.208,97,refactor,6338,47.863,2.967027,refactor=6338; review=1869; design=1448; analyze=797; test=601; benchmark=251; ignored=206; debug=185
5,process:tool:tool;effect:process;status:observed,8138,4.43,58,refactor,4289,52.703,2.6039,refactor=4289; design=928; analyze=798; benchmark=600; test=521; review=251; debug=122; docs=96
6,process:find;effect:read;status:ok,7729,4.207,131,refactor,2827,36.577,3.605615,refactor=2827; review=1336; design=789; analyze=632; test=359; research=209; benchmark=145; designcodex=118
7,process:nl;effect:read;status:ok,7437,4.048,75,review,2959,39.788,2.824156,review=2959; refactor=2517; design=326; docs=208; test=138; research=120; benchmark=112; reviewbu=110
8,process:python3;effect:process;status:ok,4528,2.465,83,refactor,1830,40.415,3.410119,refactor=1830; analyze=773; review=403; test=227; research=204; design=164; docs=107; commitlog=74
9,process:cargo;effect:test;status:ok,3716,2.023,62,refactor,1346,36.222,3.569894,refactor=1346; review=644; research=250; design=188; commitlog=174; designcodex=141; explain=131; analyze=124
10,process:tool:read;effect:process;status:ok,3181,1.731,30,refactor,1717,53.977,2.497763,refactor=1717; review=565; test=206; design=124; docs=105; listfiles=52; workspace=48; build=43
11,process:grep;effect:read;status:ok,2391,1.301,30,refactor,1468,61.397,2.065065,refactor=1468; review=469; test=102; docs=62; design=46; explore=32; workspace=32; verify=30
12,process:wc;effect:read;status:ok,2322,1.264,54,refactor,1091,46.985,2.823265,refactor=1091; review=579; design=70; docx=64; test=56; codexcheck=54; research=48; docs=42
13,process:tail;effect:read;status:ok,2233,1.215,32,analyze,993,44.469,2.543908,analyze=993; refactor=375; design=340; test=213; docs=78; review=71; benchmark=52; compare=30
14,process:tool:plan;effect:process;status:observed,2158,1.175,52,refactor,912,42.261,3.223011,refactor=912; design=218; review=218; research=151; analyze=132; benchmark=93; test=85; explain=76
15,process:ls;effect:read;status:ok,2002,1.09,94,refactor,794,39.66,3.592985,refactor=794; review=259; design=207; test=128; analyze=103; docs=74; benchmark=55; research=43
16,process:jq;effect:read;status:ok,1959,1.066,30,refactor,664,33.895,2.829821,refactor=664; review=520; analyze=237; test=185; design=85; research=52; benchmark=42; compare=39
17,process:rg;effect:read;status:fail,1834,0.998,45,refactor,767,41.821,3.120585,refactor=767; review=365; design=154; analyze=87; test=62; docs=55; benchmark=43; research=42
18,process:cd;effect:process;status:ok,1637,0.891,25,refactor,417,25.473,3.222769,refactor=417; review=356; setup=172; test=152; lint=120; docs=118; build=92; serveevents=72
19,process:tool:tool;effect:process;status:fail,1616,0.88,42,refactor,952,58.911,2.313066,refactor=952; design=196; benchmark=143; analyze=88; test=67; review=56; docs=14; research=12
20,process:tool:plan;effect:process;status:ok,1615,0.879,62,refactor,786,48.669,2.785498,refactor=786; review=388; design=104; test=39; ignored=30; trace=27; debug=25; docs=19
21,process:docker;effect:process;status:ok,1580,0.86,23,analyze,1258,79.62,1.453141,analyze=1258; cleanup=73; refactor=48; review=46; test=39; cleanups=18; cachecontrol=15; diskfull=12
22,process:for;effect:process;status:ok,1491,0.812,51,refactor,714,47.887,2.966059,refactor=714; review=243; design=100; research=77; test=65; analyze=60; commitlog=28; ignored=22
23,process:git;effect:repo;status:ok,1371,0.746,40,refactor,301,21.955,3.914807,refactor=301; review=149; analyze=146; design=116; research=111; test=95; explain=81; docs=63
24,process:make;effect:process;status:ok,1358,0.739,25,review,547,40.28,2.262802,review=547; refactor=444; design=215; benchmark=27; ignored=21; validate=17; docs=12; debug=11
25,process:python3;effect:write;status:ok,1297,0.706,41,refactor,532,41.018,3.131069,refactor=532; analyze=247; review=116; test=56; design=54; ignored=46; merge=39; research=26
26,process:gh;effect:process;status:ok,1217,0.662,26,review,379,31.142,3.070361,review=379; test=206; deployed=159; commit=153; refactor=83; branding=58; metrics=47; design=33
27,process:tool:edit;effect:process;status:ok,1077,0.586,20,refactor,601,55.803,2.466801,refactor=601; build=76; review=75; docs=70; test=60; lint=50; setup=49; serveevents=35
28,process:tool:subagent;effect:process;status:observed,1003,0.546,16,review,220,21.934,2.956131,review=220; refactor=189; analyze=155; design=151; research=113; commitlog=90; refactorrepo=38; designcodex=8
29,process:ps;effect:process;status:ok,985,0.536,45,refactor,222,22.538,3.371166,refactor=222; analyze=220; design=134; review=132; test=102; trace=17; debug=15; serve=14
30,process:cat;effect:read;status:ok,933,0.508,39,refactor,378,40.514,3.20016,refactor=378; review=175; design=94; test=33; docs=33; analyze=27; eval=20; issue=18
31,process:cargo;effect:process;status:ok,887,0.483,51,refactor,261,29.425,3.941166,refactor=261; review=146; design=77; test=42; research=38; analyze=37; explain=34; report=21
32,process:tool:subagent;effect:process;status:ok,845,0.46,15,review,469,55.503,2.023685,review=469; refactor=218; costanalysis=38; setup=30; research=22; test=11; build=11; designcodex=10
33,process:make;effect:test;status:ok,697,0.379,25,review,255,36.585,2.555092,review=255; refactor=234; design=78; research=35; test=19; explain=11; ignored=8; maintain=7
34,process:rm;effect:process;status:ok,688,0.374,39,review,145,21.076,3.80861,review=145; refactor=119; design=112; test=62; analyze=37; explain=29; research=18; feedback=14
35,process:agentsight;effect:process;status:ok,678,0.369,27,review,259,38.201,3.073155,review=259; test=112; refactor=80; report=64; docs=33; metrics=20; merge=18; design=15
36,process:du;effect:process;status:ok,671,0.365,30,analyze,141,21.013,3.642716,analyze=141; review=110; refactor=96; diskfull=71; design=40; cleanup=36; cleanups=31; serve=28
37,process:df;effect:process;status:ok,659,0.359,20,design,210,31.866,2.656255,design=210; analyze=161; refactor=145; review=49; debug=26; cleanup=19; diskfull=10; cleanups=6
38,process:rustfmt;effect:process;status:ok,597,0.325,18,refactor,310,51.926,2.519296,refactor=310; review=86; codex=45; test=33; analyze=32; commit=26; merge=16; docs=12
39,process:llvm-objdump;effect:process;status:ok,471,0.256,15,refactor,243,51.592,2.357377,refactor=243; design=76; ignored=37; benchmark=32; debug=30; review=26; test=5; commitlog=5
40,process:set;effect:process;status:ok,431,0.235,27,refactor,129,29.93,3.432493,refactor=129; review=77; research=46; test=41; compare=21; design=17; codex=14; explain=13
