metric,actual,null_mean,null_p50,null_p95,null_max,one_sided_p_value,actual_gt_null_p95
prompt_gain_beyond_session_pct,8.419089,1.873022,1.872629,1.902686,1.928172,0.000999,True
prompt_top_behavior_purity_pct,20.195521,18.297636,18.295829,18.367163,18.436265,0.000999,True
