rank,prompt_tag,total_weight,weight_share_pct,distinct_behaviors,top_behavior,top_behavior_weight,top_behavior_share_pct,behavior_entropy_bits,top_behaviors
1,refactor,73162,39.824,491,process:rg;effect:read;status:ok,13890,18.985,4.591923,process:rg;effect:read;status:ok=13890; process:sed;effect:read;status:ok=13514; process:tool:tool;effect:process;status:ok=6338; process:git;effect:read;status:ok=5625; process:tool:tool;effect:process;status:observed=4289; process:find;effect:read;status:ok=2827; process:nl;effect:read;status:ok=2517; process:python3;effect:process;status:ok=1830
2,review,33267,18.108,346,process:rg;effect:read;status:ok,6811,20.474,4.578721,process:rg;effect:read;status:ok=6811; process:sed;effect:read;status:ok=5006; process:git;effect:read;status:ok=3879; process:nl;effect:read;status:ok=2959; process:tool:tool;effect:process;status:ok=1869; process:find;effect:read;status:ok=1336; process:cargo;effect:test;status:ok=644; process:wc;effect:read;status:ok=579
3,design,15705,8.549,195,process:rg;effect:read;status:ok,2922,18.606,4.663452,process:rg;effect:read;status:ok=2922; process:sed;effect:read;status:ok=2918; process:tool:tool;effect:process;status:ok=1448; process:tool:tool;effect:process;status:observed=928; process:git;effect:read;status:ok=868; process:find;effect:read;status:ok=789; process:tail;effect:read;status:ok=340; process:nl;effect:read;status:ok=326
4,analyze,11457,6.236,143,process:docker;effect:process;status:ok,1258,10.98,4.657921,process:docker;effect:process;status:ok=1258; process:sed;effect:read;status:ok=1153; process:tail;effect:read;status:ok=993; process:rg;effect:read;status:ok=981; process:tool:tool;effect:process;status:observed=798; process:tool:tool;effect:process;status:ok=797; process:python3;effect:process;status:ok=773; process:git;effect:read;status:ok=685
5,test,8012,4.361,225,process:sed;effect:read;status:ok,1213,15.14,5.025326,process:sed;effect:read;status:ok=1213; process:rg;effect:read;status:ok=911; process:git;effect:read;status:ok=781; process:tool:tool;effect:process;status:ok=601; process:tool:tool;effect:process;status:observed=521; process:find;effect:read;status:ok=359; process:python3;effect:process;status:ok=227; process:tail;effect:read;status:ok=213
6,research,4736,2.578,146,process:sed;effect:read;status:ok,930,19.637,4.619744,process:sed;effect:read;status:ok=930; process:rg;effect:read;status:ok=674; process:git;effect:read;status:ok=571; process:cargo;effect:test;status:ok=250; process:find;effect:read;status:ok=209; process:python3;effect:process;status:ok=204; process:tool:tool;effect:process;status:ok=167; process:tool:plan;effect:process;status:observed=151
7,benchmark,4033,2.195,78,process:sed;effect:read;status:ok,1001,24.82,3.868778,process:sed;effect:read;status:ok=1001; process:rg;effect:read;status:ok=783; process:tool:tool;effect:process;status:observed=600; process:tool:tool;effect:process;status:ok=251; process:find;effect:read;status:ok=145; process:tool:tool;effect:process;status:fail=143; process:nl;effect:read;status:ok=112; process:tool:plan;effect:process;status:observed=93
8,docs,3477,1.893,124,process:rg;effect:read;status:ok,530,15.243,4.894375,process:rg;effect:read;status:ok=530; process:sed;effect:read;status:ok=494; process:git;effect:read;status:ok=365; process:nl;effect:read;status:ok=208; process:cd;effect:process;status:ok=118; process:tool:tool;effect:process;status:ok=118; process:python3;effect:process;status:ok=107; process:tool:read;effect:process;status:ok=105
9,debug,1587,0.864,75,process:rg;effect:read;status:ok,352,22.18,4.116471,process:rg;effect:read;status:ok=352; process:sed;effect:read;status:ok=291; process:tool:tool;effect:process;status:ok=185; process:tool:tool;effect:process;status:observed=122; process:git;effect:read;status:ok=90; process:python3;effect:process;status:ok=54; process:nl;effect:read;status:ok=49; process:find;effect:read;status:ok=36
10,explain,1463,0.796,51,process:git;effect:read;status:ok,291,19.891,3.984541,process:git;effect:read;status:ok=291; process:sed;effect:read;status:ok=251; process:rg;effect:read;status:ok=191; process:cargo;effect:test;status:ok=131; process:git;effect:repo;status:ok=81; process:tool:plan;effect:process;status:observed=76; process:find;effect:read;status:ok=43; process:python3;effect:process;status:ok=38
11,trace,1401,0.763,96,process:sed;effect:read;status:ok,285,20.343,4.442835,process:sed;effect:read;status:ok=285; process:rg;effect:read;status:ok=254; process:git;effect:read;status:ok=199; process:tool:tool;effect:process;status:ok=82; process:cargo;effect:test;status:ok=47; process:find;effect:read;status:ok=41; process:nl;effect:read;status:ok=40; process:tool:plan;effect:process;status:ok=27
12,commitlog,1361,0.741,37,process:sed;effect:read;status:ok,262,19.251,3.873856,process:sed;effect:read;status:ok=262; process:rg;effect:read;status:ok=181; process:cargo;effect:test;status:ok=174; process:git;effect:read;status:ok=156; process:tool:subagent;effect:process;status:observed=90; process:python3;effect:process;status:ok=74; process:cargo;effect:test;status:fail=59; process:tool:plan;effect:process;status:observed=52
13,ignored,1221,0.665,40,process:sed;effect:read;status:ok,254,20.803,3.674419,process:sed;effect:read;status:ok=254; process:tool:tool;effect:process;status:ok=206; process:git;effect:read;status:ok=199; process:rg;effect:read;status:ok=149; process:python3;effect:process;status:ok=63; process:python3;effect:write;status:ok=46; process:llvm-objdump;effect:process;status:ok=37; process:tool:plan;effect:process;status:ok=30
14,designcodex,1074,0.585,19,process:rg;effect:read;status:ok,361,33.613,2.979455,process:rg;effect:read;status:ok=361; process:sed;effect:read;status:ok=186; process:cargo;effect:test;status:ok=141; process:find;effect:read;status:ok=118; process:git;effect:read;status:ok=92; process:wc;effect:read;status:ok=34; process:nl;effect:read;status:ok=28; process:perl;effect:process;status:ok=28
15,testcodex,982,0.535,67,process:git;effect:read;status:ok,241,24.542,4.068993,process:git;effect:read;status:ok=241; process:sed;effect:read;status:ok=182; process:rg;effect:read;status:ok=133; process:find;effect:read;status:ok=42; process:actplane;effect:process;status:ok=38; process:tool:tool;effect:process;status:ok=34; process:nl;effect:read;status:ok=20; process:python3;effect:process;status:ok=20
16,commit,739,0.402,52,process:git;effect:read;status:ok,227,30.717,3.620192,process:git;effect:read;status:ok=227; process:gh;effect:process;status:ok=153; process:sed;effect:read;status:ok=65; process:git;effect:repo;status:ok=43; process:rg;effect:read;status:ok=37; process:tool:tool;effect:process;status:ok=27; process:rustfmt;effect:process;status:ok=26; process:cargo;effect:process;status:ok=20
17,build,724,0.394,54,process:cd;effect:process;status:ok,92,12.707,4.406614,process:cd;effect:process;status:ok=92; process:git;effect:read;status:ok=91; process:tool:edit;effect:process;status:ok=76; process:rg;effect:read;status:ok=71; process:find;effect:read;status:ok=58; process:sed;effect:read;status:ok=44; process:tool:read;effect:process;status:ok=43; process:grep;effect:read;status:ok=25
18,validate,658,0.358,30,process:git;effect:read;status:ok,165,25.076,3.380984,process:git;effect:read;status:ok=165; process:tool:tool;effect:process;status:ok=134; process:rg;effect:read;status:ok=110; process:find;effect:read;status:ok=39; process:sed;effect:read;status:ok=36; process:nl;effect:read;status:ok=34; process:python3;effect:process;status:ok=28; process:make;effect:process;status:ok=17
19,feedback,567,0.309,72,process:sed;effect:read;status:ok,143,25.22,4.344192,process:sed;effect:read;status:ok=143; process:rg;effect:read;status:ok=101; process:git;effect:read;status:ok=47; process:find;effect:read;status:ok=32; process:cargo;effect:test;status:ok=20; process:tool:tool;effect:process;status:ok=16; process:rm;effect:process;status:ok=14; process:tool:tool;effect:process;status:observed=13
20,compare,535,0.291,40,process:tool:tool;effect:process;status:ok,116,21.682,3.970382,process:tool:tool;effect:process;status:ok=116; process:rg;effect:read;status:ok=80; process:sed;effect:read;status:ok=55; process:jq;effect:read;status:ok=39; process:python3;effect:process;status:ok=33; process:tail;effect:read;status:ok=30; process:find;effect:read;status:ok=22; process:git;effect:read;status:ok=22
21,branding,509,0.277,63,process:git;effect:read;status:ok,60,11.788,4.84646,process:git;effect:read;status:ok=60; process:gh;effect:process;status:ok=58; process:sed;effect:read;status:ok=58; process:tool:tool;effect:process;status:ok=27; process:tool:tool;effect:process;status:observed=26; process:find;effect:read;status:ok=25; process:git;effect:repo;status:ok=24; process:rg;effect:read;status:ok=17
22,setup,498,0.271,41,process:cd;effect:process;status:ok,172,34.538,3.647451,process:cd;effect:process;status:ok=172; process:cd;effect:network;status:ok=52; process:tool:edit;effect:process;status:ok=49; process:tool:read;effect:process;status:ok=38; process:git;effect:read;status:ok=32; process:tool:subagent;effect:process;status:ok=30; process:set;effect:process;status:observed=14; process:cargo;effect:test;status:ok=10
23,merge,472,0.257,49,process:git;effect:read;status:ok,95,20.127,4.340255,process:git;effect:read;status:ok=95; process:rg;effect:read;status:ok=52; process:sed;effect:read;status:ok=49; process:python3;effect:write;status:ok=39; process:gh;effect:process;status:ok=28; process:agentsight;effect:process;status:ok=18; process:git;effect:repo;status:ok=17; process:rustfmt;effect:process;status:ok=16
24,report,454,0.247,34,process:sed;effect:read;status:ok,85,18.722,3.704724,process:sed;effect:read;status:ok=85; process:git;effect:read;status:ok=80; process:agentsight;effect:process;status:ok=64; process:rg;effect:read;status:ok=47; process:tool:tool;effect:process;status:observed=43; process:cargo;effect:process;status:ok=21; process:sha256sum;effect:process;status:ok=18; process:cargo;effect:test;status:ok=11
25,docupdate,446,0.243,29,process:git;effect:read;status:ok,140,31.39,3.541354,process:git;effect:read;status:ok=140; process:tool:tool;effect:process;status:ok=57; process:sed;effect:read;status:ok=35; process:rg;effect:read;status:ok=34; process:find;effect:read;status:ok=33; process:tool:tool;effect:process;status:observed=27; process:tmp_mktemp;effect:process;status:ok=21; process:python3;effect:process;status:ok=18
26,capture,435,0.237,21,process:rg;effect:read;status:ok,145,33.333,3.442138,process:rg;effect:read;status:ok=145; process:git;effect:read;status:ok=49; process:nl;effect:read;status:ok=36; process:cargo;effect:test;status:ok=28; process:sed;effect:read;status:ok=28; process:rg;effect:read;status:fail=26; process:python3;effect:process;status:ok=23; process:find;effect:read;status:ok=15
27,designfix,404,0.22,18,process:rg;effect:read;status:ok,178,44.059,2.523691,process:rg;effect:read;status:ok=178; process:nl;effect:read;status:ok=96; process:find;effect:read;status:ok=42; process:cargo;effect:test;status:ok=25; process:git;effect:read;status:ok=16; process:perl;effect:process;status:ok=12; process:tool:subagent;effect:process;status:ok=8; process:tool:subagent;effect:process;status:observed=7
28,codex,402,0.219,16,process:git;effect:read;status:ok,126,31.343,2.919951,process:git;effect:read;status:ok=126; process:nl;effect:read;status:ok=78; process:rg;effect:read;status:ok=45; process:rustfmt;effect:process;status:ok=45; process:sed;effect:read;status:ok=44; process:cargo;effect:test;status:ok=20; process:set;effect:process;status:ok=14; process:make;effect:process;status:ok=7
29,deployed,401,0.218,28,process:gh;effect:process;status:ok,159,39.651,3.07342,process:gh;effect:process;status:ok=159; process:tool:tool;effect:process;status:ok=44; process:git;effect:read;status:ok=40; process:tool:tool;effect:process;status:observed=36; process:sed;effect:read;status:ok=30; process:rg;effect:read;status:ok=26; process:curl;effect:network;status:ok=18; process:git;effect:repo;status:ok=16
30,verify,379,0.206,27,process:rg;effect:read;status:ok,98,25.858,3.388021,process:rg;effect:read;status:ok=98; process:sed;effect:read;status:ok=88; process:git;effect:read;status:ok=35; process:tool:read;effect:process;status:ok=30; process:grep;effect:read;status:ok=30; process:find;effect:read;status:ok=23; process:python3;effect:process;status:ok=10; process:tool:tool;effect:process;status:ok=10
31,summary,292,0.159,24,process:sed;effect:read;status:ok,81,27.74,3.176646,process:sed;effect:read;status:ok=81; process:git;effect:read;status:ok=62; process:rg;effect:read;status:ok=58; process:cargo;effect:test;status:ok=15; process:rm;effect:process;status:ok=12; process:rm;effect:write;status:ok=12; process:tool:tool;effect:process;status:ok=8; process:du;effect:process;status:ok=8
