task,dataset,query_family,support_label,operation_stack_work,operation_stack_recall,operation_stack_lift,flat_work,fixed_session_work,fixed_session_recall,selective_vs_flat,high_lift_evidence,higher_recall_than_fixed,lower_work_than_fixed,selected_lift_ge_one,counterpoints
agentnet_incorrect_step,agentnet,step-quality,scoped_proxy_support,0.0014,0.0034,2.4057,1.0,0.0056,0.0126,True,True,False,True,True,low_selected_positive_recall
agentnet_redundant_step,agentnet,step-quality,strong_proxy_support,0.0089,0.0177,1.9838,1.0,0.0086,0.0123,True,True,True,False,True,fixed_session_uses_less_selected_work; fixed_session_reaches_first_positive_earlier; low_selected_positive_recall
agentreward_looping,agent-reward-bench,failure-looping,scoped_proxy_support,0.4938,0.6508,1.3179,1.0,0.2058,0.2381,True,False,True,False,True,fixed_session_uses_less_selected_work; fixed_session_reaches_first_positive_earlier; no_operation_stack_high_lift_group
agentreward_side_effect,agent-reward-bench,failure-side-effect,scoped_proxy_support,0.1454,0.1139,0.7831,1.0,0.1948,0.0,True,True,True,True,False,top5_packet_lift_below_prevalence
osworld_group_start,osworld-human,human-boundary,scoped_proxy_support,0.4074,0.3874,0.951,1.0,0.0172,0.0327,True,True,True,False,False,fixed_session_uses_less_selected_work; fixed_session_reaches_first_positive_earlier; top5_packet_lift_below_prevalence
satraj_unsafe,satraj-os-safety,safety,strong_proxy_support,0.042,0.2621,6.2384,1.0,0.0154,0.0579,True,True,True,False,True,fixed_session_uses_less_selected_work; fixed_session_reaches_first_positive_earlier
