default_policy,baseline_policy,target_recall,reach_wins,reach_ties,reach_losses,work_wins,work_ties,work_losses,group_wins,group_ties,group_losses,median_work_delta_default_minus_baseline,median_group_delta_default_minus_baseline
operation_stack:query_aware,flat:width,0.1,0,6,0,6,0,0,0,0,6,-0.9012,11.5
operation_stack:query_aware,flat:width,0.25,0,6,0,6,0,0,0,0,6,-0.8,15.0
operation_stack:query_aware,flat:width,0.5,0,5,1,5,0,1,0,0,6,-0.5007,59.0
operation_stack:query_aware,fixed_session:query_aware,0.1,0,6,0,2,3,1,5,0,1,0.0,-16.0
operation_stack:query_aware,fixed_session:query_aware,0.25,0,6,0,4,1,1,5,0,1,-0.0731,-37.5
operation_stack:query_aware,fixed_session:query_aware,0.5,0,5,1,0,3,3,4,0,2,0.0,-9.0
operation_stack:query_aware,dataset_native:query_aware,0.1,0,6,0,4,1,1,0,0,6,-0.0488,8.5
operation_stack:query_aware,dataset_native:query_aware,0.25,0,6,0,4,0,2,0,0,6,-0.072,14.5
operation_stack:query_aware,dataset_native:query_aware,0.5,1,4,1,2,1,3,1,0,5,0.0179,40.5
operation_stack:query_aware,raw_action_stack:query_aware,0.1,0,6,0,2,1,3,1,2,3,0.0001,1.5
operation_stack:query_aware,raw_action_stack:query_aware,0.25,0,6,0,3,1,2,2,0,4,-0.023,9.0
operation_stack:query_aware,raw_action_stack:query_aware,0.5,2,3,1,4,0,2,3,0,3,-0.4349,13.0
operation_stack:query_aware,operation_stack:width,0.1,0,6,0,3,1,2,0,0,6,-0.025,8.0
operation_stack:query_aware,operation_stack:width,0.25,1,5,0,3,2,1,1,0,5,0.0,16.0
operation_stack:query_aware,operation_stack:width,0.5,1,4,1,2,2,2,2,0,4,0.0,84.0
