projection_version,input_sha256,project,path_resolved_tool_calls,eligible_transitions,same_path,same_module,cross_module,same_path_share,same_module_share,cross_module_share,observed_module_returns,right_censored_modules,return_gap_median_calls,return_gap_p90_calls
rq6-path-target-v1,26466eb3a343ee6eb9a459a6c4690b8ae072b0317a775f6636093f0d3eb344cf,ActPlane,29482,29480,13679,12671,3130,0.46400949796472185,0.4298168249660787,0.10617367706919946,4137,45,4,42.0
rq6-path-target-v1,26466eb3a343ee6eb9a459a6c4690b8ae072b0317a775f6636093f0d3eb344cf,academic-writing-skills,514,513,178,276,59,0.3469785575048733,0.5380116959064327,0.11500974658869395,59,5,2,48.40000000000006
rq6-path-target-v1,26466eb3a343ee6eb9a459a6c4690b8ae072b0317a775f6636093f0d3eb344cf,agentsight,44261,44258,17771,20955,5532,0.40153192643137964,0.47347372226490125,0.1249943513037191,7573,53,3,39.0
rq6-path-target-v1,26466eb3a343ee6eb9a459a6c4690b8ae072b0317a775f6636093f0d3eb344cf,agentskill-observability-paper,470,469,374,85,10,0.7974413646055437,0.1812366737739872,0.021321961620469083,9,1,2,118.20000000000002
rq6-path-target-v1,26466eb3a343ee6eb9a459a6c4690b8ae072b0317a775f6636093f0d3eb344cf,bpf-developer-tutorial,1019,1016,288,657,71,0.28346456692913385,0.6466535433070866,0.06988188976377953,72,6,4.0,37.699999999999996
rq6-path-target-v1,26466eb3a343ee6eb9a459a6c4690b8ae072b0317a775f6636093f0d3eb344cf,eunomia.dev,2356,2354,685,1194,475,0.2909940526762957,0.5072217502124045,0.2017841971112999,572,14,4.0,32.799999999999955
