source,path,status,sha256
generator script,script/paper_entry_claim_path_audit.py,tracked_clean,8b9be97e9929002a628df78c742866bba7b3671a9a8a03ec149459aa70e8cd61
Chinese paper,docs/visexp/paper/main.tex,tracked_dirty_allowed,35df2f4b28205a4106d7cee0a0e1a7323516881c95fe12d1b2bc48c64ff329e4
English paper,docs/agentpprof-paper/main.tex,tracked_clean,f1a5afdb70b72aebeeece634956925260151a5e8f444d2fd3179506aefbe7e3c
evaluation ledger,docs/evaluation.md,tracked_dirty_allowed,b8f295595cb4401ce67d46b6c63a8d101018f9e694d774fcd4fe13bd6560b020
implementation doc,docs/implementation.md,tracked_clean,bc5b30d1b85f2d419b374fe0af6d847215774d0db42a4f6eabbce7284c4ecfc0
R360 core result tables,docs/visexp/out/paper-core-result-tables-r360/core-result-tables.json,tracked_dirty_allowed,ffe4eecf13f5263252898d5f8f24a408739f28416a7e4613887acef9c9896ded
R361 core claim evidence,docs/visexp/out/paper-core-claim-evidence-r361/core-claim-evidence.json,tracked_dirty_allowed,ffa070f0829a48447fb75c70c0c3154dc6bced392b0d52048da76b6c406585e0
R364 core experiment sufficiency,docs/visexp/out/paper-core-experiment-sufficiency-r364/core-experiment-sufficiency.json,tracked_dirty_allowed,347715fe61c1eadb9c9f01595e6475c913553d1a2c054c518091c19018ceca0e
R366 field derivation mechanism,docs/visexp/out/operation-field-derivation-mechanism-r366/field-derivation-mechanism-report.json,tracked_dirty_allowed,3d40bd28377fb90d06402cf3d0c281a49b48e69a662465cc008e941abc2c0cf3
