mode,description,bucket_count,row_count,total_support,support_preserved,raw_drilldown_available,candidate_overlay_rows,review_required_rows,review_required_support,active_merge_rows,hidden_other_rows,membership_source
raw,one bucket per raw semantic tag; no display-map overlay,1811,1811,482398,True,True,0,0,0,0,0,raw_tag
display,active R209 display map; deterministic aliases active; candidates inactive,1748,1811,482398,True,True,0,0,0,63,0,active_display_tag + display-drilldown
pending,display membership plus review/candidate overlays; no membership changes,1748,1811,482398,True,True,209,323,9293,63,0,same as display; overlays candidate_display_tag/requires_review
