comparison,claim_role,left_policy,right_policy,metric,metric_role,expected_direction,tasks,observed_mean_delta,observed_median_delta,ci95_low,ci95_high,bootstrap_directional_support,ci_supports_expected_direction,improved_tasks,worse_tasks,tied_tasks
operation_stack_query_aware_vs_flat_width,less_work_than_flat_and_better_budgeted_localization,operation_stack:query_aware,flat:width,average_precision,higher,higher,6,0.1219,0.0778,0.0406,0.2175,1.0,True,6,0,0
operation_stack_query_aware_vs_flat_width,less_work_than_flat_and_better_budgeted_localization,operation_stack:query_aware,flat:width,top5_work,lower,lower,6,-0.8168,-0.9063,-0.9653,-0.6568,1.0,True,6,0,0
operation_stack_query_aware_vs_flat_width,less_work_than_flat_and_better_budgeted_localization,operation_stack:query_aware,flat:width,budget30_recall,higher,higher,6,0.451,0.39,0.345,0.6143,1.0,True,6,0,0
operation_stack_query_aware_vs_flat_width,less_work_than_flat_and_better_budgeted_localization,operation_stack:query_aware,flat:width,work_to_first_positive,lower,lower,6,-0.9303,-0.9622,-0.9855,-0.865,1.0,True,6,0,0
operation_stack_query_aware_vs_flat_width,less_work_than_flat_and_better_budgeted_localization,operation_stack:query_aware,flat:width,top5_recall,counterpoint_lower,lower,6,-0.7608,-0.812,-0.9303,-0.5658,1.0,True,6,0,0
operation_stack_query_aware_vs_fixed_session_query_aware,less_fragmented_higher_top5_recall_than_fixed_session,operation_stack:query_aware,fixed_session:query_aware,top5_recall,higher,higher,6,0.1801,0.159,0.0542,0.3127,0.9992,True,5,1,0
operation_stack_query_aware_vs_fixed_session_query_aware,less_fragmented_higher_top5_recall_than_fixed_session,operation_stack:query_aware,fixed_session:query_aware,top5_f1,higher,higher,6,0.1702,0.1669,0.0549,0.287,0.9991,True,5,1,0
operation_stack_query_aware_vs_fixed_session_query_aware,less_fragmented_higher_top5_recall_than_fixed_session,operation_stack:query_aware,fixed_session:query_aware,groups,lower,lower,6,-178.0,-127.5,-340.0,-39.0,0.9989,True,4,2,0
operation_stack_query_aware_vs_fixed_session_query_aware,less_fragmented_higher_top5_recall_than_fixed_session,operation_stack:query_aware,fixed_session:query_aware,top5_work,counterpoint_mixed,,6,0.1086,0.0135,-0.0126,0.2476,,,,,0
operation_stack_query_aware_vs_fixed_session_query_aware,less_fragmented_higher_top5_recall_than_fixed_session,operation_stack:query_aware,fixed_session:query_aware,work_to_first_positive,counterpoint_mixed,,6,0.0031,0.0057,-0.119,0.1044,,,,,0
operation_stack_query_aware_vs_fixed_session_query_aware,less_fragmented_higher_top5_recall_than_fixed_session,operation_stack:query_aware,fixed_session:query_aware,average_precision,counterpoint_mixed,,6,-0.0099,-0.0002,-0.0337,0.0074,,,,,0
operation_stack_query_aware_vs_operation_stack_width,query_aware_ranker_improves_width_ranked_operation_stack,operation_stack:query_aware,operation_stack:width,average_precision,higher,higher,6,0.0932,0.0258,0.011,0.2184,1.0,True,6,0,0
operation_stack_query_aware_vs_operation_stack_width,query_aware_ranker_improves_width_ranked_operation_stack,operation_stack:query_aware,operation_stack:width,top5_work,lower,lower,6,-0.3101,-0.3038,-0.4209,-0.1997,1.0,True,6,0,0
operation_stack_query_aware_vs_operation_stack_width,query_aware_ranker_improves_width_ranked_operation_stack,operation_stack:query_aware,operation_stack:width,budget30_recall,higher,higher,6,0.1392,0.0599,-0.0264,0.3841,0.9189,False,5,1,0
operation_stack_query_aware_vs_operation_stack_width,query_aware_ranker_improves_width_ranked_operation_stack,operation_stack:query_aware,operation_stack:width,work_to_first_positive,lower,lower,6,-0.1566,-0.0856,-0.3512,-0.0292,1.0,True,5,0,1
operation_stack_query_aware_vs_operation_stack_width,query_aware_ranker_improves_width_ranked_operation_stack,operation_stack:query_aware,operation_stack:width,top5_f1,counterpoint_mixed,,6,-0.0045,-0.0755,-0.1491,0.1694,,,,,0
operation_stack_query_aware_vs_raw_action_stack_query_aware,mapping_depth_is_task_sensitive,operation_stack:query_aware,raw_action_stack:query_aware,average_precision,higher,higher,6,0.0202,0.0142,-0.042,0.0743,0.747,False,5,1,0
operation_stack_query_aware_vs_raw_action_stack_query_aware,mapping_depth_is_task_sensitive,operation_stack:query_aware,raw_action_stack:query_aware,budget30_recall,higher,higher,6,0.1068,0.1229,-0.0088,0.2168,0.9668,False,4,1,1
operation_stack_query_aware_vs_raw_action_stack_query_aware,mapping_depth_is_task_sensitive,operation_stack:query_aware,raw_action_stack:query_aware,top5_f1,counterpoint_mixed,,6,0.0455,-0.0089,-0.1282,0.2807,,,,,0
operation_stack_query_aware_vs_raw_action_stack_query_aware,mapping_depth_is_task_sensitive,operation_stack:query_aware,raw_action_stack:query_aware,top5_recall,counterpoint_mixed,,6,-0.0119,-0.0766,-0.1796,0.2281,,,,,0
